species,strain,reference_genome_accession,reference_identifier,gene_name,category,product_annotation,annotation_source,inclusion_rule,mapping_method,mapping_confidence
Bacillus subtilis,subsp. subtilis 168,GCF_000009045.1,BSU01070,rpoB,RNA polymerase,RNA polymerase (beta subunit),NCBI RefSeq GCF_000009045.1 GFF CDS product,curated structural RNA-polymerase subunit product; sigma factors excluded,reference-locus annotation,high
Bacillus subtilis,subsp. subtilis 168,GCF_000009045.1,BSU01080,rpoC,RNA polymerase,RNA polymerase (beta' subunit),NCBI RefSeq GCF_000009045.1 GFF CDS product,curated structural RNA-polymerase subunit product; sigma factors excluded,reference-locus annotation,high
Bacillus subtilis,subsp. subtilis 168,GCF_000009045.1,BSU01430,rpoA,RNA polymerase,RNA polymerase (alpha subunit),NCBI RefSeq GCF_000009045.1 GFF CDS product,curated structural RNA-polymerase subunit product; sigma factors excluded,reference-locus annotation,high
Bacillus subtilis,subsp. subtilis 168,GCF_000009045.1,BSU14540,rnpZA,RNA polymerase,omega 1 subunit of RNA polymerase,NCBI RefSeq GCF_000009045.1 GFF CDS product,curated structural RNA-polymerase subunit product; sigma factors excluded,reference-locus annotation,high
Bacillus subtilis,subsp. subtilis 168,GCF_000009045.1,BSU15690,rpoZ,RNA polymerase,omega subunit of RNA polymerase,NCBI RefSeq GCF_000009045.1 GFF CDS product,curated structural RNA-polymerase subunit product; sigma factors excluded,reference-locus annotation,high
Bacillus subtilis,subsp. subtilis 168,GCF_000009045.1,BSU37160,rpoE,RNA polymerase,RNA polymerase (delta subunit) and transcriptional repressor,NCBI RefSeq GCF_000009045.1 GFF CDS product,curated structural RNA-polymerase subunit product; sigma factors excluded,reference-locus annotation,high
Bacillus subtilis,subsp. subtilis 168,GCF_000009045.1,BSU00520,ctc,ribosomal protein,"ribosomal protein BL25 (Ctc), binding 5S RNA",NCBI RefSeq GCF_000009045.1 GFF CDS product,curated product annotation identifying an actual small- or large-subunit ribosomal protein,reference-locus annotation,high
Bacillus subtilis,subsp. subtilis 168,GCF_000009045.1,BSU00990,rpmGB,ribosomal protein,ribosomal protein L33,NCBI RefSeq GCF_000009045.1 GFF CDS product,curated product annotation identifying an actual small- or large-subunit ribosomal protein,reference-locus annotation,high
Bacillus subtilis,subsp. subtilis 168,GCF_000009045.1,BSU01020,rplK,ribosomal protein,ribosomal protein L11 (BL11),NCBI RefSeq GCF_000009045.1 GFF CDS product,curated product annotation identifying an actual small- or large-subunit ribosomal protein,reference-locus annotation,high
Bacillus subtilis,subsp. subtilis 168,GCF_000009045.1,BSU01030,rplA,ribosomal protein,ribosomal protein L1 (BL1),NCBI RefSeq GCF_000009045.1 GFF CDS product,curated product annotation identifying an actual small- or large-subunit ribosomal protein,reference-locus annotation,high
Bacillus subtilis,subsp. subtilis 168,GCF_000009045.1,BSU01040,rplJ,ribosomal protein,ribosomal protein L10 (BL5),NCBI RefSeq GCF_000009045.1 GFF CDS product,curated product annotation identifying an actual small- or large-subunit ribosomal protein,reference-locus annotation,high
Bacillus subtilis,subsp. subtilis 168,GCF_000009045.1,BSU01050,rplL,ribosomal protein,ribosomal protein L12 (BL9),NCBI RefSeq GCF_000009045.1 GFF CDS product,curated product annotation identifying an actual small- or large-subunit ribosomal protein,reference-locus annotation,high
Bacillus subtilis,subsp. subtilis 168,GCF_000009045.1,BSU01090,rulS,ribosomal protein,K-turn RNA binding protein; alternative ribosomal protein L7A,NCBI RefSeq GCF_000009045.1 GFF CDS product,curated product annotation identifying an actual small- or large-subunit ribosomal protein,reference-locus annotation,high
