dataset,metric,estimate,conf_low,conf_high,p_value,sig,species,dataset_clean
schmidt_2016,Mean Expression,-0.01849167365641555,-0.07177298912418557,0.03489487713628589,0.49722901317534784,N.S.,E. coli,Schmidt dataset
schmidt_2016,Growth-Dependent Slope,-0.023115955949475905,-0.07637388970046115,0.03027350447152346,0.3960699012879798,N.S.,E. coli,Schmidt dataset
peebo_2015,Mean Expression,0.020646722675531692,-0.05524111050278546,0.09629739051804209,0.5939738095412883,N.S.,E. coli,Peebo dataset
peebo_2015,Growth-Dependent Slope,-0.04545506209974106,-0.12084007887549379,0.030451237431266875,0.2403529622501764,N.S.,E. coli,Peebo dataset
li_2014_all,Mean Expression,-0.02119224580498548,-0.058819061402674545,0.01649469969154832,0.27036497529494136,N.S.,E. coli,Li dataset
li_2014_all,Growth-Dependent Slope,-0.13283168634761616,-0.16965645568857177,-0.09563650107721289,3.9585572277240205e-12,***,E. coli,Li dataset
valgepea_2013_prot,Mean Expression,0.002402481288618003,-0.06886601530382186,0.07364658073563124,0.9473843132278968,N.S.,E. coli,Valgepea dataset
valgepea_2013_prot,Growth-Dependent Slope,-0.055189589582695785,-0.12595097840385713,0.016130553108161905,0.12923809942774817,N.S.,E. coli,Valgepea dataset
Goelzer_2015,Mean Expression,-0.02397371986478447,-0.1539923525041079,0.10686101346957222,0.7200012754862097,N.S.,B. subtilis,Goelzer dataset
Goelzer_2015,Growth-Dependent Slope,0.0986636692771454,-0.03225200632109497,0.226250951448077,0.13924043507799896,N.S.,B. subtilis,Goelzer dataset
zhu_B_subtilis,Mean Expression,0.09212882581121813,0.0035763548066207324,0.1792476566581216,0.04150125792139545,*,B. subtilis,Zhu B. subtilis dataset
zhu_B_subtilis,Growth-Dependent Slope,0.010055585830347564,-0.07859608024287654,0.09854946120274106,0.8242928682867187,N.S.,B. subtilis,Zhu B. subtilis dataset
zhu_E_coli,Mean Expression,-0.003793540735281396,-0.06267259537023101,0.055111828495766804,0.8996273390049214,N.S.,E. coli,Zhu E. coli dataset
zhu_E_coli,Growth-Dependent Slope,0.04580967430502964,-0.013118774987841336,0.10442101631684504,0.12752651191900852,N.S.,E. coli,Zhu E. coli dataset
zhu_V_natriegens,Mean Expression,-0.23179446135563198,-0.3632071067383411,-0.09133923445363717,0.0014125413266680507,**,V. natriegens,Zhu V. natriegens dataset
zhu_V_natriegens,Growth-Dependent Slope,0.005675728425093672,-0.1379298614970599,0.14904759565519846,0.9385482705311932,N.S.,V. natriegens,Zhu V. natriegens dataset
