assay,cutoff,gene_filter,fc_mode,dataset,group,m_pairs,frac_raw,frac_bonf
proteomics,rel20_abs0.1,all,filtered,Goelzer_2015,oriC,10,0.1,0
proteomics,rel20_abs0.1,all,filtered,Goelzer_2015,ter,10,0.6,0.4
proteomics,rel20_abs0.1,all,filtered,li_2014_all,oriC,3,0.6666666666666666,0.6666666666666666
proteomics,rel20_abs0.1,all,filtered,li_2014_all,ter,3,0.6666666666666666,0.6666666666666666
proteomics,rel20_abs0.1,all,filtered,peebo_2015,oriC,184,0.44021739130434784,0.10326086956521739
proteomics,rel20_abs0.1,all,filtered,peebo_2015,ter,184,0.7119565217391305,0.29347826086956524
proteomics,rel20_abs0.1,all,filtered,schmidt_2016,oriC,136,0.49264705882352944,0.19852941176470587
proteomics,rel20_abs0.1,all,filtered,schmidt_2016,ter,136,0.5220588235294118,0.27205882352941174
proteomics,rel20_abs0.1,all,filtered,valgepea_2013_prot,oriC,6,0.5,0.5
proteomics,rel20_abs0.1,all,filtered,valgepea_2013_prot,ter,6,0.5,0.5
proteomics,rel20_abs0.1,all,filtered,zhu_B_subtilis,oriC,41,0.6829268292682927,0.4146341463414634
proteomics,rel20_abs0.1,all,filtered,zhu_B_subtilis,ter,41,0.5853658536585366,0.36585365853658536
proteomics,rel20_abs0.1,all,filtered,zhu_E_coli,oriC,46,0.45652173913043476,0.30434782608695654
proteomics,rel20_abs0.1,all,filtered,zhu_E_coli,ter,46,0.717391304347826,0.4782608695652174
proteomics,rel20_abs0.1,all,filtered,zhu_V_natriegens,oriC,50,0.3,0.14
proteomics,rel20_abs0.1,all,filtered,zhu_V_natriegens,ter,50,0.26,0.06
