assay,cutoff,gene_filter,fc_mode,dataset,group,m_pairs,frac_raw,frac_bonf
proteomics,rel20_abs0.1,all,unfiltered,Goelzer_2015,oriC,10,0.3,0.1
proteomics,rel20_abs0.1,all,unfiltered,Goelzer_2015,ter,10,0.8,0.3
proteomics,rel20_abs0.1,all,unfiltered,li_2014_all,oriC,3,1,1
proteomics,rel20_abs0.1,all,unfiltered,li_2014_all,ter,3,0.6666666666666666,0.6666666666666666
proteomics,rel20_abs0.1,all,unfiltered,peebo_2015,oriC,184,0.6141304347826086,0.33695652173913043
proteomics,rel20_abs0.1,all,unfiltered,peebo_2015,ter,184,0.75,0.5434782608695652
proteomics,rel20_abs0.1,all,unfiltered,schmidt_2016,oriC,136,0.5735294117647058,0.2426470588235294
proteomics,rel20_abs0.1,all,unfiltered,schmidt_2016,ter,136,0.6176470588235294,0.29411764705882354
proteomics,rel20_abs0.1,all,unfiltered,valgepea_2013_prot,oriC,6,0.8333333333333334,0.8333333333333334
proteomics,rel20_abs0.1,all,unfiltered,valgepea_2013_prot,ter,6,1,1
proteomics,rel20_abs0.1,all,unfiltered,zhu_B_subtilis,oriC,41,0.8780487804878049,0.7317073170731707
proteomics,rel20_abs0.1,all,unfiltered,zhu_B_subtilis,ter,41,0.8048780487804879,0.4878048780487805
proteomics,rel20_abs0.1,all,unfiltered,zhu_E_coli,oriC,46,0.6956521739130435,0.4782608695652174
proteomics,rel20_abs0.1,all,unfiltered,zhu_E_coli,ter,46,0.8478260869565217,0.717391304347826
proteomics,rel20_abs0.1,all,unfiltered,zhu_V_natriegens,oriC,50,0.54,0.16
proteomics,rel20_abs0.1,all,unfiltered,zhu_V_natriegens,ter,50,0.7,0.52
