assay,cutoff,gene_filter,fc_mode,dataset,group,m_pairs,frac_raw,frac_bonf
proteomics,rel0_abs0,high,filtered,Goelzer_2015,oriC,10,0.1,0
proteomics,rel0_abs0,high,filtered,Goelzer_2015,ter,10,0.5,0.2
proteomics,rel0_abs0,high,filtered,li_2014_all,oriC,3,0.6666666666666666,0.6666666666666666
proteomics,rel0_abs0,high,filtered,li_2014_all,ter,3,1,0.6666666666666666
proteomics,rel0_abs0,high,filtered,peebo_2015,oriC,249,0.3333333333333333,0.040160642570281124
proteomics,rel0_abs0,high,filtered,peebo_2015,ter,249,0.5823293172690763,0.18473895582329317
proteomics,rel0_abs0,high,filtered,schmidt_2016,oriC,188,0.3191489361702128,0.0851063829787234
proteomics,rel0_abs0,high,filtered,schmidt_2016,ter,188,0.3776595744680851,0.20212765957446807
proteomics,rel0_abs0,high,filtered,valgepea_2013_prot,oriC,10,0.6,0.5
proteomics,rel0_abs0,high,filtered,valgepea_2013_prot,ter,10,0.5,0.5
proteomics,rel0_abs0,high,filtered,zhu_B_subtilis,oriC,45,0.6888888888888889,0.37777777777777777
proteomics,rel0_abs0,high,filtered,zhu_B_subtilis,ter,45,0.6,0.26666666666666666
proteomics,rel0_abs0,high,filtered,zhu_E_coli,oriC,55,0.45454545454545453,0.2
proteomics,rel0_abs0,high,filtered,zhu_E_coli,ter,55,0.6909090909090909,0.43636363636363634
proteomics,rel0_abs0,high,filtered,zhu_V_natriegens,oriC,55,0.21818181818181817,0.12727272727272726
proteomics,rel0_abs0,high,filtered,zhu_V_natriegens,ter,55,0.03636363636363636,0
