assay,cutoff,gene_filter,fc_mode,dataset,group,m_pairs,frac_raw,frac_bonf
proteomics,rel0_abs0,high,unfiltered,Goelzer_2015,oriC,10,0,0
proteomics,rel0_abs0,high,unfiltered,Goelzer_2015,ter,10,0.4,0.1
proteomics,rel0_abs0,high,unfiltered,li_2014_all,oriC,3,0.6666666666666666,0.6666666666666666
proteomics,rel0_abs0,high,unfiltered,li_2014_all,ter,3,1,1
proteomics,rel0_abs0,high,unfiltered,peebo_2015,oriC,249,0.40160642570281124,0.05622489959839357
proteomics,rel0_abs0,high,unfiltered,peebo_2015,ter,249,0.6104417670682731,0.27309236947791166
proteomics,rel0_abs0,high,unfiltered,schmidt_2016,oriC,188,0.3617021276595745,0.12234042553191489
proteomics,rel0_abs0,high,unfiltered,schmidt_2016,ter,188,0.40425531914893614,0.20212765957446807
proteomics,rel0_abs0,high,unfiltered,valgepea_2013_prot,oriC,10,0.7,0.5
proteomics,rel0_abs0,high,unfiltered,valgepea_2013_prot,ter,10,0.5,0.5
proteomics,rel0_abs0,high,unfiltered,zhu_B_subtilis,oriC,45,0.8,0.4888888888888889
proteomics,rel0_abs0,high,unfiltered,zhu_B_subtilis,ter,45,0.7111111111111111,0.3111111111111111
proteomics,rel0_abs0,high,unfiltered,zhu_E_coli,oriC,55,0.6363636363636364,0.43636363636363634
proteomics,rel0_abs0,high,unfiltered,zhu_E_coli,ter,55,0.6909090909090909,0.4727272727272727
proteomics,rel0_abs0,high,unfiltered,zhu_V_natriegens,oriC,55,0.2727272727272727,0.14545454545454545
proteomics,rel0_abs0,high,unfiltered,zhu_V_natriegens,ter,55,0.09090909090909091,0
