assay,dataset,cutoff,gene_filter,fc_mode,n_total,group,p,n_genes,med_log2fc
proteomics,schmidt_2016,rel50_abs0.25,all,filtered,1308,oriC,0.3253547431629161,417,-0.05533280901881089
proteomics,schmidt_2016,rel50_abs0.25,all,filtered,1308,ter,0.20070938635777363,505,-0.04328833308453706
proteomics,schmidt_2016,rel50_abs0.25,all,filtered,1318,oriC,0.03241563847586535,421,-0.11013941577595926
proteomics,schmidt_2016,rel50_abs0.25,all,filtered,1318,ter,0.011381137300491477,507,-0.07613201287862964
proteomics,schmidt_2016,rel50_abs0.25,all,filtered,1306,oriC,0.01228706509006577,418,-0.14239343083984615
proteomics,schmidt_2016,rel50_abs0.25,all,filtered,1306,ter,5.334009953865692e-4,502,-0.1720736785799325
proteomics,schmidt_2016,rel50_abs0.25,all,filtered,1317,oriC,0.04598708240723544,419,-0.09398399305981142
proteomics,schmidt_2016,rel50_abs0.25,all,filtered,1317,ter,0.48100437099090665,505,-0.024505307771663713
proteomics,schmidt_2016,rel50_abs0.25,all,filtered,1306,oriC,0.1857179196060092,415,-0.07487159698449264
proteomics,schmidt_2016,rel50_abs0.25,all,filtered,1306,ter,0.2028262313589014,500,-0.04640631681835118
proteomics,schmidt_2016,rel50_abs0.25,all,filtered,1299,oriC,0.07444007173049152,415,-0.07793148092240887
proteomics,schmidt_2016,rel50_abs0.25,all,filtered,1299,ter,0.010644194188371071,495,-0.09162524071364005
proteomics,schmidt_2016,rel50_abs0.25,all,filtered,1330,oriC,0.41535709180972186,426,-0.04858337648005605
proteomics,schmidt_2016,rel50_abs0.25,all,filtered,1330,ter,0.8830047927305922,510,-0.004561557891400791
proteomics,schmidt_2016,rel50_abs0.25,all,filtered,1224,oriC,0.016129711283528823,389,-0.21401974559229128
proteomics,schmidt_2016,rel50_abs0.25,all,filtered,1224,ter,0.00729950718976438,470,-0.19496008017074334
proteomics,schmidt_2016,rel50_abs0.25,all,filtered,1248,oriC,0.47309971517190197,384,-0.03756547759630825
proteomics,schmidt_2016,rel50_abs0.25,all,filtered,1248,ter,0.03767287503270418,484,-0.08710349897040806
proteomics,schmidt_2016,rel50_abs0.25,all,filtered,1268,oriC,0.14798642494138864,404,-0.11252351636023952
proteomics,schmidt_2016,rel50_abs0.25,all,filtered,1268,ter,0.39761926142269505,482,-0.041059010763751874
proteomics,schmidt_2016,rel50_abs0.25,all,filtered,1233,oriC,0.18583161664866452,384,-0.13158241600553194
proteomics,schmidt_2016,rel50_abs0.25,all,filtered,1233,ter,0.1674990287124068,476,-0.10480030169626997
proteomics,schmidt_2016,rel50_abs0.25,all,filtered,1278,oriC,0.021295768623649562,406,-0.12126371332339064
proteomics,schmidt_2016,rel50_abs0.25,all,filtered,1278,ter,0.1074977785307563,489,-0.09932975666383624
proteomics,schmidt_2016,rel50_abs0.25,all,filtered,1250,oriC,0.8777791982505446,396,-0.07558950041538007
proteomics,schmidt_2016,rel50_abs0.25,all,filtered,1250,ter,0.16434406760202777,476,-0.13080936264861426
proteomics,schmidt_2016,rel50_abs0.25,all,filtered,1245,oriC,2.7162581474674856e-5,400,-0.2705369844998339
proteomics,schmidt_2016,rel50_abs0.25,all,filtered,1245,ter,7.753658162335032e-8,476,-0.41785419126192486
proteomics,schmidt_2016,rel50_abs0.25,all,filtered,1216,oriC,0.0012150524398885643,392,-0.22954751661794057
proteomics,schmidt_2016,rel50_abs0.25,all,filtered,1216,ter,4.292029750977147e-10,469,-0.4108663121014043
proteomics,schmidt_2016,rel50_abs0.25,all,filtered,1326,oriC,0.022842758063281815,422,-0.08080229053837867
proteomics,schmidt_2016,rel50_abs0.25,all,filtered,1326,ter,0.0209491926096872,511,-0.09114041060618346
proteomics,schmidt_2016,rel50_abs0.25,all,filtered,1313,oriC,0.027600011611421418,420,-0.1005594315259211
proteomics,schmidt_2016,rel50_abs0.25,all,filtered,1313,ter,0.008377851121031121,502,-0.1314799509059708
proteomics,schmidt_2016,rel50_abs0.25,all,filtered,1304,oriC,0.016399415161055142,417,-0.11368223570193325
proteomics,schmidt_2016,rel50_abs0.25,all,filtered,1304,ter,2.8137505451455194e-4,497,-0.16357327110598888
proteomics,schmidt_2016,rel50_abs0.25,all,filtered,1341,oriC,0.017765406609530937,429,-0.06771796751888295
proteomics,schmidt_2016,rel50_abs0.25,all,filtered,1341,ter,0.04275830415961748,515,-0.057882445646486945
proteomics,schmidt_2016,rel50_abs0.25,all,filtered,1237,oriC,0.007084822150558219,394,-0.23133385402841156
proteomics,schmidt_2016,rel50_abs0.25,all,filtered,1237,ter,0.0025711365034279407,477,-0.26171851143308467
proteomics,schmidt_2016,rel50_abs0.25,all,filtered,1262,oriC,0.2657736074481538,390,-0.06871901282499294
proteomics,schmidt_2016,rel50_abs0.25,all,filtered,1262,ter,5.258662977287819e-4,490,-0.15522935868791615
proteomics,schmidt_2016,rel50_abs0.25,all,filtered,1271,oriC,0.09767189282653395,408,-0.13556146182843362
proteomics,schmidt_2016,rel50_abs0.25,all,filtered,1271,ter,0.12781338152084812,482,-0.14126762881680288
proteomics,schmidt_2016,rel50_abs0.25,all,filtered,1227,oriC,0.17228515125909813,387,-0.15277321188977755
proteomics,schmidt_2016,rel50_abs0.25,all,filtered,1227,ter,0.02899514802827284,471,-0.13923453428321783
proteomics,schmidt_2016,rel50_abs0.25,all,filtered,1285,oriC,0.006590283216509735,410,-0.16526000188018217
proteomics,schmidt_2016,rel50_abs0.25,all,filtered,1285,ter,0.002814987082595533,491,-0.20054663359876376
proteomics,schmidt_2016,rel50_abs0.25,all,filtered,1250,oriC,0.6226752035295273,400,-0.09326371365373162
proteomics,schmidt_2016,rel50_abs0.25,all,filtered,1250,ter,0.045162221192123764,473,-0.1746116492775554
proteomics,schmidt_2016,rel50_abs0.25,all,filtered,1269,oriC,2.9088044077695286e-6,403,-0.28782298297681824
proteomics,schmidt_2016,rel50_abs0.25,all,filtered,1269,ter,8.70485464252892e-12,488,-0.50123289437685
proteomics,schmidt_2016,rel50_abs0.25,all,filtered,1237,oriC,7.502844258630698e-4,397,-0.2141257187901747
proteomics,schmidt_2016,rel50_abs0.25,all,filtered,1237,ter,3.379545382597512e-14,473,-0.5528662928807927
proteomics,schmidt_2016,rel50_abs0.25,all,filtered,1291,oriC,7.822556216848145e-4,415,-0.207379448484802
proteomics,schmidt_2016,rel50_abs0.25,all,filtered,1291,ter,0.05118626346982245,493,-0.08172614097735025
proteomics,schmidt_2016,rel50_abs0.25,all,filtered,1314,oriC,0.6605727650244618,416,-0.025180513055279567
proteomics,schmidt_2016,rel50_abs0.25,all,filtered,1314,ter,0.7721891464253047,507,0.036681958548918835
proteomics,schmidt_2016,rel50_abs0.25,all,filtered,1289,oriC,0.5333709508586073,409,-0.06933778621656295
proteomics,schmidt_2016,rel50_abs0.25,all,filtered,1289,ter,0.4297239713239979,492,0.012901343828354407
