assay,dataset,cutoff,gene_filter,fc_mode,n_total,group,p,n_genes,med_log2fc
proteomics,schmidt_2016,rel50_abs0.25,all,unfiltered,1350,oriC,0.17585655248508616,431,-0.08981974959837731
proteomics,schmidt_2016,rel50_abs0.25,all,unfiltered,1350,ter,0.16042307435697703,518,-0.05221032207025551
proteomics,schmidt_2016,rel50_abs0.25,all,unfiltered,1350,oriC,0.012975360039028673,431,-0.1252061038490136
proteomics,schmidt_2016,rel50_abs0.25,all,unfiltered,1350,ter,0.010809109368089126,518,-0.07711646543633827
proteomics,schmidt_2016,rel50_abs0.25,all,unfiltered,1350,oriC,0.005746029819767905,431,-0.15488195207527308
proteomics,schmidt_2016,rel50_abs0.25,all,unfiltered,1350,ter,2.2052474585826585e-4,518,-0.19083951610691355
proteomics,schmidt_2016,rel50_abs0.25,all,unfiltered,1350,oriC,0.018370326094002163,431,-0.12201337961651967
proteomics,schmidt_2016,rel50_abs0.25,all,unfiltered,1350,ter,0.4675500364278923,518,-0.027577322206666522
proteomics,schmidt_2016,rel50_abs0.25,all,unfiltered,1350,oriC,0.0667099019116238,431,-0.11440426904042493
proteomics,schmidt_2016,rel50_abs0.25,all,unfiltered,1350,ter,0.1473838154303051,518,-0.05780726069196979
proteomics,schmidt_2016,rel50_abs0.25,all,unfiltered,1350,oriC,0.03093757046125532,431,-0.09673338956505106
proteomics,schmidt_2016,rel50_abs0.25,all,unfiltered,1350,ter,0.002840265562485254,518,-0.14411219538088327
proteomics,schmidt_2016,rel50_abs0.25,all,unfiltered,1350,oriC,0.34597989459734496,431,-0.055746755365913975
proteomics,schmidt_2016,rel50_abs0.25,all,unfiltered,1350,ter,0.9070381677900108,518,-0.004561557891400791
proteomics,schmidt_2016,rel50_abs0.25,all,unfiltered,1350,oriC,9.911252817644909e-5,431,-0.3549909178473566
proteomics,schmidt_2016,rel50_abs0.25,all,unfiltered,1350,ter,5.464294260040181e-4,518,-0.29435402199488886
proteomics,schmidt_2016,rel50_abs0.25,all,unfiltered,1350,oriC,0.06798275982045897,431,-0.10219942029371097
proteomics,schmidt_2016,rel50_abs0.25,all,unfiltered,1350,ter,0.0061913815250239715,518,-0.16380880426271044
proteomics,schmidt_2016,rel50_abs0.25,all,unfiltered,1350,oriC,0.007045489754926766,431,-0.22889419827335
proteomics,schmidt_2016,rel50_abs0.25,all,unfiltered,1350,ter,0.0904096165155633,518,-0.11610234936372077
proteomics,schmidt_2016,rel50_abs0.25,all,unfiltered,1350,oriC,0.007045489754926766,431,-0.2944235651241428
proteomics,schmidt_2016,rel50_abs0.25,all,unfiltered,1350,ter,0.009358048015500706,518,-0.18997272614328303
proteomics,schmidt_2016,rel50_abs0.25,all,unfiltered,1350,oriC,0.001351415899289485,431,-0.1671285654099514
proteomics,schmidt_2016,rel50_abs0.25,all,unfiltered,1350,ter,0.030094026276158377,518,-0.16795997232438165
proteomics,schmidt_2016,rel50_abs0.25,all,unfiltered,1350,oriC,0.17340219750738137,431,-0.21903804176334365
proteomics,schmidt_2016,rel50_abs0.25,all,unfiltered,1350,ter,0.004107374098343067,518,-0.20721299161473894
proteomics,schmidt_2016,rel50_abs0.25,all,unfiltered,1350,oriC,5.419800120924725e-7,431,-0.3612411236274777
proteomics,schmidt_2016,rel50_abs0.25,all,unfiltered,1350,ter,3.300108094389645e-9,518,-0.4549405443016015
proteomics,schmidt_2016,rel50_abs0.25,all,unfiltered,1350,oriC,2.886727124900741e-5,431,-0.3735476180699359
proteomics,schmidt_2016,rel50_abs0.25,all,unfiltered,1350,ter,2.479396049768171e-12,518,-0.4734719159108017
proteomics,schmidt_2016,rel50_abs0.25,all,unfiltered,1350,oriC,0.01061360965538915,431,-0.09670744378733533
proteomics,schmidt_2016,rel50_abs0.25,all,unfiltered,1350,ter,0.0156585661252076,518,-0.09747115206682572
proteomics,schmidt_2016,rel50_abs0.25,all,unfiltered,1350,oriC,0.0173626149475408,431,-0.1051670651042084
proteomics,schmidt_2016,rel50_abs0.25,all,unfiltered,1350,ter,0.00908183083268222,518,-0.13452017714545128
proteomics,schmidt_2016,rel50_abs0.25,all,unfiltered,1350,oriC,0.007086451820301039,431,-0.12755736388617767
proteomics,schmidt_2016,rel50_abs0.25,all,unfiltered,1350,ter,6.574263603377724e-5,518,-0.19808701115558697
proteomics,schmidt_2016,rel50_abs0.25,all,unfiltered,1350,oriC,0.013874994983248314,431,-0.0685975551038143
proteomics,schmidt_2016,rel50_abs0.25,all,unfiltered,1350,ter,0.03889664537038552,518,-0.065812875803491
proteomics,schmidt_2016,rel50_abs0.25,all,unfiltered,1350,oriC,1.60830977916417e-4,431,-0.3092975930276619
proteomics,schmidt_2016,rel50_abs0.25,all,unfiltered,1350,ter,1.2037191285778919e-4,518,-0.35034345592356897
proteomics,schmidt_2016,rel50_abs0.25,all,unfiltered,1350,oriC,0.06246290186500355,431,-0.1541476834081874
proteomics,schmidt_2016,rel50_abs0.25,all,unfiltered,1350,ter,7.763687157637246e-5,518,-0.21200659886498405
proteomics,schmidt_2016,rel50_abs0.25,all,unfiltered,1350,oriC,0.006733213091102854,431,-0.20593941007103347
proteomics,schmidt_2016,rel50_abs0.25,all,unfiltered,1350,ter,0.01930376177682751,518,-0.20174308151119252
proteomics,schmidt_2016,rel50_abs0.25,all,unfiltered,1350,oriC,0.008941050185755585,431,-0.25623742354294393
proteomics,schmidt_2016,rel50_abs0.25,all,unfiltered,1350,ter,6.753592327247606e-4,518,-0.26134075156588565
proteomics,schmidt_2016,rel50_abs0.25,all,unfiltered,1350,oriC,8.853333019369485e-4,431,-0.20310155712773614
proteomics,schmidt_2016,rel50_abs0.25,all,unfiltered,1350,ter,7.125052410529213e-4,518,-0.25424137957703086
proteomics,schmidt_2016,rel50_abs0.25,all,unfiltered,1350,oriC,0.12681982050077187,431,-0.1463668572223179
proteomics,schmidt_2016,rel50_abs0.25,all,unfiltered,1350,ter,6.914759641920337e-4,518,-0.2868990358955451
proteomics,schmidt_2016,rel50_abs0.25,all,unfiltered,1350,oriC,1.6639228976416802e-7,431,-0.33693069624903527
proteomics,schmidt_2016,rel50_abs0.25,all,unfiltered,1350,ter,5.532136344362274e-12,518,-0.5399250458614978
proteomics,schmidt_2016,rel50_abs0.25,all,unfiltered,1350,oriC,5.5696505170645844e-5,431,-0.32924025721392197
proteomics,schmidt_2016,rel50_abs0.25,all,unfiltered,1350,ter,3.894773980557644e-15,518,-0.5976824712189401
proteomics,schmidt_2016,rel50_abs0.25,all,unfiltered,1350,oriC,1.0346481456044772e-4,431,-0.22222698623661974
proteomics,schmidt_2016,rel50_abs0.25,all,unfiltered,1350,ter,0.021900982548170182,518,-0.09698172230014124
proteomics,schmidt_2016,rel50_abs0.25,all,unfiltered,1350,oriC,0.7377161502259468,431,-0.02264581855809433
proteomics,schmidt_2016,rel50_abs0.25,all,unfiltered,1350,ter,0.9943815645203297,518,0.022142456189074587
proteomics,schmidt_2016,rel50_abs0.25,all,unfiltered,1350,oriC,0.2019759366565566,431,-0.10615092118933404
proteomics,schmidt_2016,rel50_abs0.25,all,unfiltered,1350,ter,0.7382373753428724,518,-0.0017055109078270786
proteomics,schmidt_2016,rel50_abs0.25,all,unfiltered,1350,oriC,0.06450172698459973,431,-0.1299302640030355
proteomics,schmidt_2016,rel50_abs0.25,all,unfiltered,1350,ter,0.39239841707165257,518,-0.029003063124411706
proteomics,schmidt_2016,rel50_abs0.25,all,unfiltered,1350,oriC,0.13918286098682198,431,-0.04828004496068029
proteomics,schmidt_2016,rel50_abs0.25,all,unfiltered,1350,ter,0.9709775795981311,518,-0.002179477668257831
proteomics,schmidt_2016,rel50_abs0.25,all,unfiltered,1350,oriC,0.9548492032620549,431,-0.03715961750509124
proteomics,schmidt_2016,rel50_abs0.25,all,unfiltered,1350,ter,0.9763590154668466,518,-0.012688083071863136
proteomics,schmidt_2016,rel50_abs0.25,all,unfiltered,1350,oriC,6.318731844768848e-5,431,-0.1917431128418632
