assay,dataset,cutoff,gene_filter,fc_mode,n_total,group,p,n_genes,med_log2fc
proteomics,schmidt_2016,rel0_abs0,high,filtered,913,oriC,0.9933412215694718,283,0.00932562691418669
proteomics,schmidt_2016,rel0_abs0,high,filtered,913,ter,0.054616584298802784,348,0.035740357139357484
proteomics,schmidt_2016,rel0_abs0,high,filtered,911,oriC,0.4291433057512919,283,-0.03155150250654902
proteomics,schmidt_2016,rel0_abs0,high,filtered,911,ter,0.1816921735745068,347,-0.06465418843727351
proteomics,schmidt_2016,rel0_abs0,high,filtered,910,oriC,0.007337467903997864,283,-0.14191794534540902
proteomics,schmidt_2016,rel0_abs0,high,filtered,910,ter,0.02103170004105566,348,-0.08780213110327187
proteomics,schmidt_2016,rel0_abs0,high,filtered,912,oriC,0.6056162682025424,283,0.00812101974237196
proteomics,schmidt_2016,rel0_abs0,high,filtered,912,ter,0.4708333687716185,347,0.041800809091555244
proteomics,schmidt_2016,rel0_abs0,high,filtered,907,oriC,0.8569936719020432,282,-0.005997852390697915
proteomics,schmidt_2016,rel0_abs0,high,filtered,907,ter,0.4869761017509201,348,-0.010977064011669957
proteomics,schmidt_2016,rel0_abs0,high,filtered,911,oriC,0.2908460241051965,283,-0.04682468104629415
proteomics,schmidt_2016,rel0_abs0,high,filtered,911,ter,0.047291601251230726,348,-0.045440708551731684
proteomics,schmidt_2016,rel0_abs0,high,filtered,910,oriC,0.16122046474455046,283,-0.064330659453152
proteomics,schmidt_2016,rel0_abs0,high,filtered,910,ter,0.009315039253194705,347,-0.14877943408566283
proteomics,schmidt_2016,rel0_abs0,high,filtered,913,oriC,0.26920729793308595,283,-0.013895899721370331
proteomics,schmidt_2016,rel0_abs0,high,filtered,913,ter,0.817867284198234,348,0.02362533769590859
proteomics,schmidt_2016,rel0_abs0,high,filtered,902,oriC,0.9506408300440288,279,-0.018368542362321525
proteomics,schmidt_2016,rel0_abs0,high,filtered,902,ter,0.4858542807959242,345,-0.023632301182553384
proteomics,schmidt_2016,rel0_abs0,high,filtered,909,oriC,0.4198831090838586,283,-0.014419935218315498
proteomics,schmidt_2016,rel0_abs0,high,filtered,909,ter,0.04666460717561107,346,-0.07478294031675488
proteomics,schmidt_2016,rel0_abs0,high,filtered,911,oriC,0.8279360284564028,283,0.015203084134162888
proteomics,schmidt_2016,rel0_abs0,high,filtered,911,ter,0.9094913199207169,348,0.03094442035997246
proteomics,schmidt_2016,rel0_abs0,high,filtered,867,oriC,0.27738512974533697,270,-0.11873523061768694
proteomics,schmidt_2016,rel0_abs0,high,filtered,867,ter,0.11220123279497247,331,-0.14291844886955965
proteomics,schmidt_2016,rel0_abs0,high,filtered,882,oriC,0.8086303348356507,272,0.0016212782795428982
proteomics,schmidt_2016,rel0_abs0,high,filtered,882,ter,0.1094156693983114,338,-0.08418393250865736
proteomics,schmidt_2016,rel0_abs0,high,filtered,884,oriC,0.6708202029552441,274,-0.06737721321987505
proteomics,schmidt_2016,rel0_abs0,high,filtered,884,ter,0.6615663032211725,338,-0.018005334092560176
proteomics,schmidt_2016,rel0_abs0,high,filtered,871,oriC,0.9770729547318296,268,-0.05990644302654557
proteomics,schmidt_2016,rel0_abs0,high,filtered,871,ter,0.5075654161460936,333,-0.04641042210238721
proteomics,schmidt_2016,rel0_abs0,high,filtered,894,oriC,0.3024777925563908,277,-0.0769398905357944
proteomics,schmidt_2016,rel0_abs0,high,filtered,894,ter,0.30313204451407055,339,-0.09068640308431293
proteomics,schmidt_2016,rel0_abs0,high,filtered,880,oriC,0.5140646898525134,273,0.08771054214992242
proteomics,schmidt_2016,rel0_abs0,high,filtered,880,ter,0.6211131956838855,333,-0.0825508388765725
proteomics,schmidt_2016,rel0_abs0,high,filtered,872,oriC,1.7703691827461584e-4,269,-0.289357752948961
proteomics,schmidt_2016,rel0_abs0,high,filtered,872,ter,2.1197298765574875e-5,336,-0.3492609220345454
proteomics,schmidt_2016,rel0_abs0,high,filtered,854,oriC,0.0015235913398439975,265,-0.29602311388275176
proteomics,schmidt_2016,rel0_abs0,high,filtered,854,ter,6.4545585518993254e-9,331,-0.5048614233102917
proteomics,schmidt_2016,rel0_abs0,high,filtered,911,oriC,0.8740099335226719,283,-0.0040276538501725166
proteomics,schmidt_2016,rel0_abs0,high,filtered,911,ter,0.0057583595081056056,347,-0.10638164740817455
proteomics,schmidt_2016,rel0_abs0,high,filtered,909,oriC,0.013595807159723977,283,-0.14065463279183835
proteomics,schmidt_2016,rel0_abs0,high,filtered,909,ter,5.096512656422094e-4,348,-0.13185828398231156
proteomics,schmidt_2016,rel0_abs0,high,filtered,913,oriC,0.002208408529389991,283,-0.06332232495006072
proteomics,schmidt_2016,rel0_abs0,high,filtered,913,ter,0.07061155130199454,348,-0.020815857427615506
proteomics,schmidt_2016,rel0_abs0,high,filtered,908,oriC,0.955726877147461,283,0.03290242063309014
proteomics,schmidt_2016,rel0_abs0,high,filtered,908,ter,0.015887055674898242,347,-0.041780968730611386
proteomics,schmidt_2016,rel0_abs0,high,filtered,912,oriC,0.15105567531190547,283,-0.065120270043960607
proteomics,schmidt_2016,rel0_abs0,high,filtered,912,ter,0.002605651876601482,348,-0.10223446323261565
proteomics,schmidt_2016,rel0_abs0,high,filtered,912,oriC,0.10411520233015349,283,-0.10295597002223215
proteomics,schmidt_2016,rel0_abs0,high,filtered,912,ter,1.002914444288914e-4,348,-0.17357257416239036
proteomics,schmidt_2016,rel0_abs0,high,filtered,911,oriC,0.2062946842039448,283,-0.034200751209669644
proteomics,schmidt_2016,rel0_abs0,high,filtered,911,ter,0.08531542080393587,348,-0.037741444875004734
proteomics,schmidt_2016,rel0_abs0,high,filtered,908,oriC,0.4499735878658449,281,-0.04939083403925671
proteomics,schmidt_2016,rel0_abs0,high,filtered,908,ter,0.06880749681067197,348,-0.0680859031866345
proteomics,schmidt_2016,rel0_abs0,high,filtered,910,oriC,0.18380390719551212,283,-0.0699592749599171
proteomics,schmidt_2016,rel0_abs0,high,filtered,910,ter,0.004785539951149579,347,-0.09270382605785635
proteomics,schmidt_2016,rel0_abs0,high,filtered,911,oriC,0.31502097959105085,283,-0.04203866421707868
proteomics,schmidt_2016,rel0_abs0,high,filtered,911,ter,0.1348065346521402,348,-0.03277300241110524
proteomics,schmidt_2016,rel0_abs0,high,filtered,874,oriC,0.19874660395424668,273,-0.1420665059103354
proteomics,schmidt_2016,rel0_abs0,high,filtered,874,ter,0.06518348204060413,333,-0.1750932006447081
proteomics,schmidt_2016,rel0_abs0,high,filtered,887,oriC,0.9139785166062444,271,-0.034215779608813925
proteomics,schmidt_2016,rel0_abs0,high,filtered,887,ter,0.005570956417169885,341,-0.13424291093449617
proteomics,schmidt_2016,rel0_abs0,high,filtered,883,oriC,0.6162363420387788,274,-0.0860279077915539
proteomics,schmidt_2016,rel0_abs0,high,filtered,883,ter,0.42697948990002255,336,-0.03940612879874525
proteomics,schmidt_2016,rel0_abs0,high,filtered,867,oriC,0.9902081092376197,267,-0.06415263770442892
proteomics,schmidt_2016,rel0_abs0,high,filtered,867,ter,0.20805365461287256,331,-0.09511227707129845
proteomics,schmidt_2016,rel0_abs0,high,filtered,898,oriC,0.21749280009132224,279,-0.11057787425370764
proteomics,schmidt_2016,rel0_abs0,high,filtered,898,ter,0.03493324712696941,340,-0.15375183420380018
proteomics,schmidt_2016,rel0_abs0,high,filtered,881,oriC,0.5548647545890419,273,0.0035183975003059455
proteomics,schmidt_2016,rel0_abs0,high,filtered,881,ter,0.2498762599490232,333,-0.08780892932826621
