assay,dataset,cutoff,gene_filter,fc_mode,n_total,group,p,n_genes,med_log2fc
proteomics,schmidt_2016,rel50_abs0.25,high,filtered,907,oriC,0.8569936719020432,282,-0.005997852390697915
proteomics,schmidt_2016,rel50_abs0.25,high,filtered,907,ter,0.4869761017509201,348,-0.010977064011669957
proteomics,schmidt_2016,rel50_abs0.25,high,filtered,911,oriC,0.2908460241051965,283,-0.04682468104629415
proteomics,schmidt_2016,rel50_abs0.25,high,filtered,911,ter,0.047291601251230726,348,-0.045440708551731684
proteomics,schmidt_2016,rel50_abs0.25,high,filtered,910,oriC,0.16122046474455046,283,-0.064330659453152
proteomics,schmidt_2016,rel50_abs0.25,high,filtered,910,ter,0.009315039253194705,347,-0.14877943408566283
proteomics,schmidt_2016,rel50_abs0.25,high,filtered,913,oriC,0.26920729793308595,283,-0.013895899721370331
proteomics,schmidt_2016,rel50_abs0.25,high,filtered,913,ter,0.817867284198234,348,0.02362533769590859
proteomics,schmidt_2016,rel50_abs0.25,high,filtered,902,oriC,0.9506408300440288,279,-0.018368542362321525
proteomics,schmidt_2016,rel50_abs0.25,high,filtered,902,ter,0.4858542807959242,345,-0.023632301182553384
proteomics,schmidt_2016,rel50_abs0.25,high,filtered,909,oriC,0.4198831090838586,283,-0.014419935218315498
proteomics,schmidt_2016,rel50_abs0.25,high,filtered,909,ter,0.04666460717561107,346,-0.07478294031675488
proteomics,schmidt_2016,rel50_abs0.25,high,filtered,911,oriC,0.8279360284564028,283,0.015203084134162888
proteomics,schmidt_2016,rel50_abs0.25,high,filtered,911,ter,0.9094913199207169,348,0.03094442035997246
proteomics,schmidt_2016,rel50_abs0.25,high,filtered,867,oriC,0.27738512974533697,270,-0.11873523061768694
proteomics,schmidt_2016,rel50_abs0.25,high,filtered,867,ter,0.11220123279497247,331,-0.14291844886955965
proteomics,schmidt_2016,rel50_abs0.25,high,filtered,882,oriC,0.8086303348356507,272,0.0016212782795428982
proteomics,schmidt_2016,rel50_abs0.25,high,filtered,882,ter,0.1094156693983114,338,-0.08418393250865736
proteomics,schmidt_2016,rel50_abs0.25,high,filtered,884,oriC,0.6708202029552441,274,-0.06737721321987505
proteomics,schmidt_2016,rel50_abs0.25,high,filtered,884,ter,0.6615663032211725,338,-0.018005334092560176
proteomics,schmidt_2016,rel50_abs0.25,high,filtered,871,oriC,0.9770729547318296,268,-0.05990644302654557
proteomics,schmidt_2016,rel50_abs0.25,high,filtered,871,ter,0.5075654161460936,333,-0.04641042210238721
proteomics,schmidt_2016,rel50_abs0.25,high,filtered,894,oriC,0.3024777925563908,277,-0.0769398905357944
proteomics,schmidt_2016,rel50_abs0.25,high,filtered,894,ter,0.30313204451407055,339,-0.09068640308431293
proteomics,schmidt_2016,rel50_abs0.25,high,filtered,880,oriC,0.5140646898525134,273,0.08771054214992242
proteomics,schmidt_2016,rel50_abs0.25,high,filtered,880,ter,0.6211131956838855,333,-0.0825508388765725
proteomics,schmidt_2016,rel50_abs0.25,high,filtered,872,oriC,1.7703691827461584e-4,269,-0.289357752948961
proteomics,schmidt_2016,rel50_abs0.25,high,filtered,872,ter,2.1197298765574875e-5,336,-0.3492609220345454
proteomics,schmidt_2016,rel50_abs0.25,high,filtered,854,oriC,0.0015235913398439975,265,-0.29602311388275176
proteomics,schmidt_2016,rel50_abs0.25,high,filtered,854,ter,6.4545585518993254e-9,331,-0.5048614233102917
proteomics,schmidt_2016,rel50_abs0.25,high,filtered,911,oriC,0.2062946842039448,283,-0.034200751209669644
proteomics,schmidt_2016,rel50_abs0.25,high,filtered,911,ter,0.08531542080393587,348,-0.037741444875004734
proteomics,schmidt_2016,rel50_abs0.25,high,filtered,908,oriC,0.4499735878658449,281,-0.04939083403925671
proteomics,schmidt_2016,rel50_abs0.25,high,filtered,908,ter,0.06880749681067197,348,-0.0680859031866345
proteomics,schmidt_2016,rel50_abs0.25,high,filtered,910,oriC,0.18380390719551212,283,-0.0699592749599171
proteomics,schmidt_2016,rel50_abs0.25,high,filtered,910,ter,0.004785539951149579,347,-0.09270382605785635
proteomics,schmidt_2016,rel50_abs0.25,high,filtered,911,oriC,0.31502097959105085,283,-0.04203866421707868
proteomics,schmidt_2016,rel50_abs0.25,high,filtered,911,ter,0.1348065346521402,348,-0.03277300241110524
proteomics,schmidt_2016,rel50_abs0.25,high,filtered,874,oriC,0.19874660395424668,273,-0.1420665059103354
proteomics,schmidt_2016,rel50_abs0.25,high,filtered,874,ter,0.06518348204060413,333,-0.1750932006447081
proteomics,schmidt_2016,rel50_abs0.25,high,filtered,887,oriC,0.9139785166062444,271,-0.034215779608813925
proteomics,schmidt_2016,rel50_abs0.25,high,filtered,887,ter,0.005570956417169885,341,-0.13424291093449617
proteomics,schmidt_2016,rel50_abs0.25,high,filtered,883,oriC,0.6162363420387788,274,-0.0860279077915539
proteomics,schmidt_2016,rel50_abs0.25,high,filtered,883,ter,0.42697948990002255,336,-0.03940612879874525
proteomics,schmidt_2016,rel50_abs0.25,high,filtered,867,oriC,0.9902081092376197,267,-0.06415263770442892
proteomics,schmidt_2016,rel50_abs0.25,high,filtered,867,ter,0.20805365461287256,331,-0.09511227707129845
proteomics,schmidt_2016,rel50_abs0.25,high,filtered,898,oriC,0.21749280009132224,279,-0.11057787425370764
proteomics,schmidt_2016,rel50_abs0.25,high,filtered,898,ter,0.03493324712696941,340,-0.15375183420380018
proteomics,schmidt_2016,rel50_abs0.25,high,filtered,881,oriC,0.5548647545890419,273,0.0035183975003059455
proteomics,schmidt_2016,rel50_abs0.25,high,filtered,881,ter,0.2498762599490232,333,-0.08780892932826621
proteomics,schmidt_2016,rel50_abs0.25,high,filtered,881,oriC,3.585158092363373e-5,267,-0.2834814690642635
proteomics,schmidt_2016,rel50_abs0.25,high,filtered,881,ter,2.9681912602215596e-8,343,-0.4237858226750643
proteomics,schmidt_2016,rel50_abs0.25,high,filtered,869,oriC,0.0014161378582156882,266,-0.28929707349514855
proteomics,schmidt_2016,rel50_abs0.25,high,filtered,869,ter,1.6636131838944236e-12,340,-0.6248782688037424
proteomics,schmidt_2016,rel50_abs0.25,high,filtered,888,oriC,0.06230886246824084,278,-0.13170664504688656
proteomics,schmidt_2016,rel50_abs0.25,high,filtered,888,ter,0.17845329650404437,340,-0.05007313094201837
proteomics,schmidt_2016,rel50_abs0.25,high,filtered,899,oriC,0.6466771992280536,278,0.005797518777654941
proteomics,schmidt_2016,rel50_abs0.25,high,filtered,899,ter,0.7975466061419243,344,0.04954731117729716
proteomics,schmidt_2016,rel50_abs0.25,high,filtered,896,oriC,0.8974023154263897,278,-0.024722159844045143
proteomics,schmidt_2016,rel50_abs0.25,high,filtered,896,ter,0.4546837801269753,342,0.09396839396641901
proteomics,schmidt_2016,rel50_abs0.25,high,filtered,883,oriC,0.7604330147716061,275,-0.07133548825621472
proteomics,schmidt_2016,rel50_abs0.25,high,filtered,883,ter,0.8191123487917422,336,-0.005236313227507925
proteomics,schmidt_2016,rel50_abs0.25,high,filtered,900,oriC,0.6020277068962365,281,-0.034492628744217206
proteomics,schmidt_2016,rel50_abs0.25,high,filtered,900,ter,0.9855477562417679,341,0.028107425216823346
proteomics,schmidt_2016,rel50_abs0.25,high,filtered,895,oriC,0.2808799196781858,277,0.04417960523365233
proteomics,schmidt_2016,rel50_abs0.25,high,filtered,895,ter,0.40130609111879734,341,0.05822431633560789
proteomics,schmidt_2016,rel50_abs0.25,high,filtered,879,oriC,5.171911434100186e-4,273,-0.1980897089601779
proteomics,schmidt_2016,rel50_abs0.25,high,filtered,879,ter,1.608268295484732e-4,335,-0.27085997133487505
proteomics,schmidt_2016,rel50_abs0.25,high,filtered,863,oriC,5.58549859288779e-4,267,-0.2742918633838444
proteomics,schmidt_2016,rel50_abs0.25,high,filtered,863,ter,3.1369994863582834e-9,335,-0.4608750477241558
proteomics,schmidt_2016,rel50_abs0.25,high,filtered,894,oriC,0.17385903470644623,282,-0.12242819019151577
proteomics,schmidt_2016,rel50_abs0.25,high,filtered,894,ter,0.721991199292716,339,-0.06415471002057654
proteomics,schmidt_2016,rel50_abs0.25,high,filtered,905,oriC,0.2163887761399978,279,0.052143381852942323
proteomics,schmidt_2016,rel50_abs0.25,high,filtered,905,ter,0.972484809191227,347,0.019569188297801316
proteomics,schmidt_2016,rel50_abs0.25,high,filtered,902,oriC,0.48706676561808315,280,-0.0029541427499499935
proteomics,schmidt_2016,rel50_abs0.25,high,filtered,902,ter,0.28990552062231895,344,0.07780545785916224
proteomics,schmidt_2016,rel50_abs0.25,high,filtered,896,oriC,0.94650890038145,279,-0.05411706384536451
proteomics,schmidt_2016,rel50_abs0.25,high,filtered,896,ter,0.04192350838446351,341,0.05188175233627181
proteomics,schmidt_2016,rel50_abs0.25,high,filtered,905,oriC,0.7476512678549698,282,-0.007789742605708002
proteomics,schmidt_2016,rel50_abs0.25,high,filtered,905,ter,0.9386282436186697,343,0.0064351617991282506
proteomics,schmidt_2016,rel50_abs0.25,high,filtered,898,oriC,0.07732935578901608,280,0.10466706682027435
proteomics,schmidt_2016,rel50_abs0.25,high,filtered,898,ter,0.24526060114919898,340,0.035779012497778345
proteomics,schmidt_2016,rel50_abs0.25,high,filtered,891,oriC,0.025631525542539526,274,-0.10232638398260172
proteomics,schmidt_2016,rel50_abs0.25,high,filtered,891,ter,5.85679157553565e-5,344,-0.24986713161719018
proteomics,schmidt_2016,rel50_abs0.25,high,filtered,884,oriC,0.0590964512267784,271,-0.09250688158899734
proteomics,schmidt_2016,rel50_abs0.25,high,filtered,884,ter,1.752501144944841e-9,344,-0.5029893468620236
proteomics,schmidt_2016,rel50_abs0.25,high,filtered,867,oriC,0.8739417794934525,268,-0.05818830441970797
proteomics,schmidt_2016,rel50_abs0.25,high,filtered,867,ter,0.8740233176382927,330,-0.05742340587985942
proteomics,schmidt_2016,rel50_abs0.25,high,filtered,901,oriC,0.511902378529314,282,-0.015385486806299623
proteomics,schmidt_2016,rel50_abs0.25,high,filtered,901,ter,0.059019765795348324,340,-0.12502178925356572
proteomics,schmidt_2016,rel50_abs0.25,high,filtered,888,oriC,0.22036505634900685,274,0.04608375990610453
proteomics,schmidt_2016,rel50_abs0.25,high,filtered,888,ter,0.5340499593572455,337,-0.06873047896202468
proteomics,schmidt_2016,rel50_abs0.25,high,filtered,886,oriC,1.166096701333716e-4,272,-0.2647780066194261
proteomics,schmidt_2016,rel50_abs0.25,high,filtered,886,ter,1.0516331675648536e-7,342,-0.4292331711406978
proteomics,schmidt_2016,rel50_abs0.25,high,filtered,870,oriC,0.0018929052013656922,268,-0.22397335343469005
proteomics,schmidt_2016,rel50_abs0.25,high,filtered,870,ter,1.3935675519509926e-12,339,-0.601823674715137
proteomics,schmidt_2016,rel50_abs0.25,high,filtered,906,oriC,0.9825381493895311,282,-0.04310914493375784
proteomics,schmidt_2016,rel50_abs0.25,high,filtered,906,ter,0.8304333816754071,345,-0.05979994059130729
proteomics,schmidt_2016,rel50_abs0.25,high,filtered,896,oriC,1.155742800968959e-6,276,-0.24510467321277774
proteomics,schmidt_2016,rel50_abs0.25,high,filtered,896,ter,1.980160046001685e-6,345,-0.2940517912822761
proteomics,schmidt_2016,rel50_abs0.25,high,filtered,885,oriC,2.2837157757132432e-4,273,-0.31598350143033194
proteomics,schmidt_2016,rel50_abs0.25,high,filtered,885,ter,4.113582578765524e-10,340,-0.39448365221595516
proteomics,schmidt_2016,rel50_abs0.25,high,filtered,897,oriC,4.932866698368941e-6,275,-0.23630138001385179
proteomics,schmidt_2016,rel50_abs0.25,high,filtered,897,ter,5.194637775950664e-7,346,-0.27652493888286145
proteomics,schmidt_2016,rel50_abs0.25,high,filtered,879,oriC,4.4999329834384587e-4,268,-0.2126989899823004
proteomics,schmidt_2016,rel50_abs0.25,high,filtered,879,ter,3.0424635958554313e-11,342,-0.4180163139609202
proteomics,schmidt_2016,rel50_abs0.25,high,filtered,892,oriC,7.776215433209079e-4,273,-0.13253539538648937
proteomics,schmidt_2016,rel50_abs0.25,high,filtered,892,ter,4.7784535613320435e-5,346,-0.19455754461133337
proteomics,schmidt_2016,rel50_abs0.25,high,filtered,884,oriC,0.002787782634551847,269,-0.14137999212367724
proteomics,schmidt_2016,rel50_abs0.25,high,filtered,884,ter,2.695110073137387e-8,343,-0.4099018297099364
proteomics,schmidt_2016,rel50_abs0.25,high,filtered,900,oriC,1.6741342199791586e-6,276,-0.2435089803833901
proteomics,schmidt_2016,rel50_abs0.25,high,filtered,900,ter,1.7287859749068853e-9,345,-0.3207774039303239
proteomics,schmidt_2016,rel50_abs0.25,high,filtered,885,oriC,4.516564799239194e-5,270,-0.26671667272459787
proteomics,schmidt_2016,rel50_abs0.25,high,filtered,885,ter,4.3307919675715745e-15,343,-0.5785878267869867
proteomics,schmidt_2016,rel50_abs0.25,high,filtered,898,oriC,1.789064064758822e-5,276,-0.1828630953519507
