assay,dataset,gene_filter,n_genes,term,estimate,se,p,p_wald_diff,R2_efron_full,vif
proteomics,schmidt_2016,all,1350,z_slope,-0.05515240949512383,0.030563456927380193,0.07114962071909421,0.8372403713518409,-6.030152211522477e-5,1.0221919664044001
proteomics,schmidt_2016,all,1350,z_mean,-0.04695656012816282,0.030560269123188894,0.12441013131328893,0.8372403713518409,-6.030152211522477e-5,1.0221919664044001
proteomics,schmidt_2016,high,913,z_slope,-0.08793095331834175,0.03672780612832834,0.01666007674480229,0.44439683000838837,0.0014946336869667842,1.0181218734751345
proteomics,schmidt_2016,high,913,z_mean,-0.05098489458384786,0.03670294724853051,0.1647954636454676,0.44439683000838837,0.0014946336869667842,1.0181218734751345
proteomics,peebo_2015,all,669,z_slope,-0.09389640708026019,0.04317636248671992,0.029651264893669906,0.03137525374830795,3.5042021419673386e-4,1.047153594747161
proteomics,peebo_2015,all,669,z_mean,0.05076763283851363,0.04313013103116946,0.23916340851425744,0.03137525374830795,3.5042021419673386e-4,1.047153594747161
proteomics,peebo_2015,high,519,z_slope,-0.046415963794748355,0.04809754711906386,0.3345257465103465,0.22263246787272864,-3.1390947976484007e-4,1.0106140895271092
proteomics,peebo_2015,high,519,z_mean,0.04069659224425496,0.04809182315141559,0.3974262034961867,0.22263246787272864,-3.1390947976484007e-4,1.0106140895271092
proteomics,li_2014_all,all,2707,z_slope,-0.1610080242179117,0.023257214527839985,4.424023109995165e-12,5.560341446421016e-6,0.01848081795909995,1.2003741983550174
proteomics,li_2014_all,all,2707,z_mean,0.01602513036946,0.023191460649273403,0.4895701188784498,5.560341446421016e-6,0.01848081795909995,1.2003741983550174
proteomics,li_2014_all,high,1319,z_slope,-0.07510033412316057,0.03050677788305911,0.013825754473919772,0.00888289311653287,0.00505923550186449,1.0062248580589042
proteomics,li_2014_all,high,1319,z_mean,0.04214863098090012,0.030490293472927893,0.1668604981039125,0.00888289311653287,0.00505923550186449,1.0062248580589042
proteomics,valgepea_2013_prot,all,757,z_slope,-0.1576242887891701,0.042717852921418706,2.2434876026405695e-4,0.009288250425710229,-6.807827753398943e-4,1.1299841140454203
proteomics,valgepea_2013_prot,all,757,z_mean,0.02401033278351579,0.042616993297193435,0.5731638349712134,0.009288250425710229,-6.807827753398943e-4,1.1299841140454203
proteomics,valgepea_2013_prot,high,713,z_slope,-0.0698534252234515,0.04189430223516954,0.09544027427430724,0.18558887326931084,-0.003908506169171266,1.037740379592497
proteomics,valgepea_2013_prot,high,713,z_mean,0.01568760169018019,0.041853423947869416,0.7077925383822465,0.18558887326931084,-0.003908506169171266,1.037740379592497
proteomics,Goelzer_2015,all,226,z_slope,0.08123642307115865,0.07465420549756326,0.27652032445342384,0.4940730769329159,0.008050128620729402,1.0132999899699953
proteomics,Goelzer_2015,all,226,z_mean,0.013333241959328569,0.0745946262585703,0.8581397702934733,0.4940730769329159,0.008050128620729402,1.0132999899699953
proteomics,Goelzer_2015,high,166,z_slope,0.010804794304963186,0.0885815801001087,0.9029183162010369,0.5204531368015568,0.007640434237006222,1.0203689487887055
proteomics,Goelzer_2015,high,166,z_mean,-0.06382746665023314,0.08863160379534861,0.4714366934717027,0.5204531368015568,0.007640434237006222,1.0203689487887055
proteomics,zhu_B_subtilis,all,490,z_slope,-0.07798352523698195,0.05886151847263883,0.18521615913803063,0.040858136285372014,0.008433860148181371,1.3961761926721037
proteomics,zhu_B_subtilis,all,490,z_mean,0.1329187013330256,0.05891799021805486,0.024070933648400884,0.040858136285372014,0.008433860148181371,1.3961761926721037
proteomics,zhu_B_subtilis,high,215,z_slope,-0.011146352209728039,0.08674244662114056,0.8977537742563385,0.7576978260157656,0.0036789234936495108,1.2874626465368035
proteomics,zhu_B_subtilis,high,215,z_mean,-0.0570739954849462,0.08677150496521946,0.5106985057105038,0.7576978260157656,0.0036789234936495108,1.2874626465368035
proteomics,zhu_E_coli,all,1108,z_slope,0.0512500775322147,0.04272960463878644,0.2303707219127143,0.29005448101114434,9.858823219914825e-4,1.6524538757061447
proteomics,zhu_E_coli,all,1108,z_mean,0.012277468821921994,0.04272068946665656,0.7738142571008506,0.29005448101114434,9.858823219914825e-4,1.6524538757061447
proteomics,zhu_E_coli,high,727,z_slope,0.01401849838835363,0.04168489962150143,0.7366470621079948,0.184795429330609,0.009552205769538191,1.0399414772274016
proteomics,zhu_E_coli,high,727,z_mean,0.09954129485842889,0.04173243550001745,0.017068626809117082,0.184795429330609,0.009552205769538191,1.0399414772274016
proteomics,zhu_V_natriegens,all,187,z_slope,-0.03959444243673047,0.0761101183730447,0.6029062489018338,0.03873897326879854,0.051881686309314,1.0169236780255522
proteomics,zhu_V_natriegens,all,187,z_mean,-0.24780685101238778,0.07675180924815754,0.0012436398982303863,0.03873897326879854,0.051881686309314,1.0169236780255522
proteomics,zhu_V_natriegens,high,124,z_slope,-0.07131667381434377,0.09077858294597775,0.432095285854448,0.8241066481097112,0.016207757243408616,1.0333250514159504
proteomics,zhu_V_natriegens,high,124,z_mean,-0.10242046398783969,0.09146969908680559,0.2628330411412181,0.8241066481097112,0.016207757243408616,1.0333250514159504
