dataset,metric,estimate,conf_low,conf_high,p_value,sig,species,dataset_clean
schmidt_2016,Mean Expression,-0.07149329980910837,-0.11450539496561939,-0.028213660745657173,0.001222293410768483,**,E. coli,Schmidt dataset
schmidt_2016,Growth-Dependent Slope,-0.0787675945854473,-0.12171892640770655,-0.03552182006091413,3.657764608612428e-4,***,E. coli,Schmidt dataset
peebo_2015,Mean Expression,-0.029771643606042314,-0.0888297579400941,0.029495067854462695,0.3247663647214035,N.S.,E. coli,Peebo dataset
peebo_2015,Growth-Dependent Slope,-0.06732070826712258,-0.12603300728438088,-0.008138437107173518,0.025834038602247828,*,E. coli,Peebo dataset
li_2014_all,Mean Expression,-0.07561959439935968,-0.10740150995731826,-0.04368328866985579,3.6411590935519806e-6,***,E. coli,Li dataset
li_2014_all,Growth-Dependent Slope,-0.14884958995689745,-0.18003308016597697,-0.11736721735704123,5.516804291836071e-20,***,E. coli,Li dataset
valgepea_2013_prot,Mean Expression,-0.07189587133623589,-0.1278951613935338,-0.015439620209874803,0.012620820398200044,*,E. coli,Valgepea dataset
valgepea_2013_prot,Growth-Dependent Slope,-0.07379567035434713,-0.12977339386578593,-0.017349040973355108,0.010455738508568707,*,E. coli,Valgepea dataset
Goelzer_2015,Mean Expression,-0.07814141183567892,-0.13939796621452635,-0.016289085830130372,0.013352941366004813,*,B. subtilis,Goelzer dataset
Goelzer_2015,Growth-Dependent Slope,0.020787554038243405,-0.04119663760962531,0.08261235433214523,0.5110093300058912,N.S.,B. subtilis,Goelzer dataset
zhu_B_subtilis,Mean Expression,0.003343776722922785,-0.043163471262222516,0.04983656437321907,0.8879834094367147,N.S.,B. subtilis,Zhu B. subtilis dataset
zhu_B_subtilis,Growth-Dependent Slope,-0.026959764100741593,-0.07336832298841203,0.019565300419616096,0.2560061464817883,N.S.,B. subtilis,Zhu B. subtilis dataset
zhu_E_coli,Mean Expression,-0.07840272370671157,-0.12533988338086413,-0.03111537644833037,0.0011755555596932913,**,E. coli,Zhu E. coli dataset
zhu_E_coli,Growth-Dependent Slope,0.056346732194588724,0.008967696660791044,0.10347334281805402,0.019795273470349355,*,E. coli,Zhu E. coli dataset
zhu_V_natriegens,Mean Expression,-0.17540141433602266,-0.22496884640469508,-0.12492848058595676,1.95628855462239e-11,***,V. natriegens,Zhu V. natriegens dataset
zhu_V_natriegens,Growth-Dependent Slope,0.0034795317166136535,-0.04813281765145865,0.05507334972229276,0.8949350385317034,N.S.,V. natriegens,Zhu V. natriegens dataset
