dataset,n_conditions,replicate,n_genes_used,beta_slope,beta_mean,beta_diff
E. coli Consensus,5,2,1682,-0.08621685045897803,-0.04689412619428117,-0.039322724264696865
E. coli Consensus,5,4,1682,-0.07956906383416523,-0.03714487187373912,-0.042424191960426114
E. coli Consensus,5,7,1058,-0.036273396200749417,4.907756581369823e-4,-0.0367641718588864
E. coli Consensus,5,10,1077,-0.02165256651029126,-6.936080643604464e-4,-0.020958958445930813
E. coli Consensus,5,11,1082,-0.10154438170031713,-0.025459837744686898,-0.07608454395563023
E. coli Consensus,5,12,1085,-0.07034199969094626,0.020061510287835198,-0.09040350997878147
E. coli Consensus,5,13,1053,0.06025008214961101,-0.06121604613656988,0.12146612828618089
E. coli Consensus,5,14,1682,-0.09667087666583969,-0.049866652897897226,-0.046804223767942466
E. coli Consensus,5,15,1085,-0.05425976079103429,-0.05083140808545257,-0.0034283527055817206
E. coli Consensus,5,16,1682,-0.08665806533160585,-0.050800323428764574,-0.03585774190284127
E. coli Consensus,5,17,1084,-0.0015925307799499195,-0.025886587713485534,0.024294056933535615
E. coli Consensus,5,18,1682,-0.11853481132803888,-0.06351153091299151,-0.055023280415047365
E. coli Consensus,5,19,1086,-0.06922339359494015,0.012590992397986295,-0.08181438599292644
E. coli Consensus,5,24,1083,-0.08290496797041318,-0.01531634901050974,-0.06758861895990344
E. coli Consensus,5,28,1083,-0.08004376266880382,-0.03125601566436382,-0.04878774700444
E. coli Consensus,5,29,1682,-0.06943431896269714,-0.03342091098378716,-0.03601340797890998
E. coli Consensus,5,30,1552,0.06874890428837449,-0.02701949823554504,0.09576840252391954
E. coli Consensus,5,31,1085,-0.01679934028202305,0.005058912506397026,-0.021858252788420077
E. coli Consensus,5,37,1552,0.09498063559505493,-0.015165251478929706,0.11014588707398464
E. coli Consensus,5,38,1682,-0.008339395028299038,-0.0446209646883225,0.036281569660023466
E. coli Consensus,5,42,1086,-0.13182313166382292,-0.05265391283666018,-0.07916921882716274
E. coli Consensus,5,43,1082,-0.08508518620233325,-0.024641363643721517,-0.060443822558611734
E. coli Consensus,5,45,1086,-0.09921286250965099,-0.028210099223413544,-0.07100276328623745
E. coli Consensus,5,46,1682,-0.09365217588117525,-0.050964973432799994,-0.042687202448375254
E. coli Consensus,5,47,1082,-0.017896058566855912,-0.00947209349079941,-0.008423965076056502
E. coli Consensus,5,53,1085,-0.045698032324939505,-0.02270055218162062,-0.022997480143318885
E. coli Consensus,5,54,1085,-0.06433677778113582,-0.01703412144821095,-0.04730265633292487
E. coli Consensus,5,57,1682,-0.1281157999273789,-0.07157902615349158,-0.056536773773887314
E. coli Consensus,5,58,1075,-0.04383087651624798,0.014419630913738877,-0.05825050742998686
E. coli Consensus,5,59,1086,0.004540869569640755,-0.02312798109222158,0.027668850661862334
E. coli Consensus,5,60,1074,-0.047671799693573054,0.002908806285019809,-0.05058060597859286
E. coli Consensus,5,62,1081,-0.08396552731183525,-0.07937644373605914,-0.004589083575776115
E. coli Consensus,5,63,1682,-0.14339191179783664,-0.08293637600267025,-0.060455535795166396
E. coli Consensus,5,65,1080,-0.02085301432005251,-0.0198493881941283,-0.001003626125924209
E. coli Consensus,5,66,1085,-0.10872539010043641,-0.019124362401995342,-0.08960102769844107
E. coli Consensus,5,67,1063,0.005918928593385441,0.006464357331887568,-5.454287385021272e-4
E. coli Consensus,5,68,1682,-0.08541155035923464,-0.04070495464535166,-0.04470659571388298
E. coli Consensus,5,69,1552,0.08311296101372403,-0.015654684377056787,0.09876764539078083
E. coli Consensus,5,70,1086,-0.02622048836329869,-0.00948586729657251,-0.01673462106672618
E. coli Consensus,5,73,1085,-0.021838779273725878,-0.005225778474499254,-0.016613000799226625
E. coli Consensus,5,75,1086,-0.10587587956595568,0.024075284197385378,-0.12995116376334107
E. coli Consensus,5,77,1061,0.0017298148422084745,-0.010495466182262245,0.01222528102447072
E. coli Consensus,5,78,1086,-0.09482235869978822,-0.004581460511877262,-0.09024089818791096
E. coli Consensus,5,81,1081,0.08027977491018326,-0.05518236666403277,0.13546214157421604
E. coli Consensus,5,83,1084,-0.0847062921307329,-0.06357562918599412,-0.02113066294473878
E. coli Consensus,5,85,1085,-0.04844154388429779,-0.024044975200784392,-0.0243965686835134
E. coli Consensus,5,86,998,-0.02090008427537056,-0.05712134205240507,0.03622125777703451
E. coli Consensus,5,88,1682,-0.1524557677979838,-0.07075904089840991,-0.0816967268995739
E. coli Consensus,5,90,1085,0.021154763206228402,-0.020878341437975366,0.04203310464420377
E. coli Consensus,5,91,1682,0.032304531120802324,-0.05533754193518474,0.08764207305598706
E. coli Consensus,5,94,1072,0.08546425778890407,-0.05159167243138516,0.13705593022028922
E. coli Consensus,5,95,1552,0.07560755868036974,-0.014806175315350346,0.09041373399572009
E. coli Consensus,5,96,1547,-0.006359283105768543,-0.04626051078614027,0.03990122768037173
E. coli Consensus,5,98,1080,-0.059681254913230175,-9.870395037573998e-4,-0.058694215409472776
E. coli Consensus,5,100,1080,-0.05474953777912547,0.019689820248191943,-0.07443935802731741
E. coli Consensus,10,1,1695,-0.058666164334264304,-0.04883596606937867,-0.009830198264885633
E. coli Consensus,10,2,1086,-0.02695508896593607,-0.004744837040149446,-0.02221025192578662
E. coli Consensus,10,3,1695,-0.03256589448518743,-0.03976601478656751,0.007200120301380078
E. coli Consensus,10,4,1695,-0.08170422577502003,-0.05514874852502799,-0.026555477249992035
E. coli Consensus,10,5,1695,-0.00946929707659516,-0.04186664565426951,0.032397348577674345
E. coli Consensus,10,6,1083,-0.02643567944021574,0.01006846221968862,-0.03650414165990436
E. coli Consensus,10,7,1626,-0.09563357832525027,-0.029226500567995136,-0.06640707775725513
E. coli Consensus,10,8,1699,-0.09829083123423771,-0.090187460883322,-0.008103370350915712
E. coli Consensus,10,9,1695,-0.061273510089574414,-0.04544739685417292,-0.015826113235401493
E. coli Consensus,10,10,1682,-0.030281079762517055,-0.05143620153605259,0.021155121773535537
E. coli Consensus,10,11,1695,-0.08166321201064468,-0.05655045654140708,-0.0251127554692376
E. coli Consensus,10,12,1627,-0.1070591883897472,-0.146825709289663,0.03976652089991578
E. coli Consensus,10,13,1627,-0.014878866792593322,-0.08916106426620296,0.07428219747360965
E. coli Consensus,10,14,1695,-0.084948196563844,-0.057606358517014886,-0.027341838046829117
E. coli Consensus,10,15,1700,-0.05815810562683941,-0.09029904322893767,0.03214093760209826
