dataset,n_conditions,metric_raw,mean_val,se_val,metric_label
B. subtilis Consensus,5,beta_diff,0.12691204496786948,0.01670161023925093,Difference (Slope - Mean)
B. subtilis Consensus,5,beta_mean,-0.13765684461313593,0.007644147162624242,Mean (Expression)
B. subtilis Consensus,5,beta_slope,-0.010744799645266468,0.010821518295967582,Slope (Growth)
B. subtilis Consensus,6,beta_diff,0.07225565553635628,0.01357404876160279,Difference (Slope - Mean)
B. subtilis Consensus,6,beta_mean,-0.11362592453700131,0.006371630334069213,Mean (Expression)
B. subtilis Consensus,6,beta_slope,-0.04137026900064503,0.008741671809417453,Slope (Growth)
B. subtilis Consensus,7,beta_diff,0.049589589732066335,0.00796376648615749,Difference (Slope - Mean)
B. subtilis Consensus,7,beta_mean,-0.10391495549229297,0.00445422336600845,Mean (Expression)
B. subtilis Consensus,7,beta_slope,-0.054325365760226646,0.005945396857855397,Slope (Growth)
B. subtilis Consensus,8,beta_diff,0.03480034035851523,0.007050225754320816,Difference (Slope - Mean)
B. subtilis Consensus,8,beta_mean,-0.09103724261078787,0.0035352171163977562,Mean (Expression)
B. subtilis Consensus,8,beta_slope,-0.056236902252272646,0.004431157076720915,Slope (Growth)
B. subtilis Consensus,9,beta_diff,0.02930013126130393,0.005643435004867368,Difference (Slope - Mean)
B. subtilis Consensus,9,beta_mean,-0.09091647346743881,0.002853029857298385,Mean (Expression)
B. subtilis Consensus,9,beta_slope,-0.06161634220613487,0.004203345387654618,Slope (Growth)
B. subtilis Consensus,10,beta_diff,0.028639966976014005,0.0049059952474716055,Difference (Slope - Mean)
B. subtilis Consensus,10,beta_mean,-0.08631660793898997,0.002410062594723569,Mean (Expression)
B. subtilis Consensus,10,beta_slope,-0.057676640962975964,0.003576937956192231,Slope (Growth)
B. subtilis Consensus,11,beta_diff,0.023556220551669282,0.004664814378008713,Difference (Slope - Mean)
B. subtilis Consensus,11,beta_mean,-0.08456636284986346,0.002374685826739756,Mean (Expression)
B. subtilis Consensus,11,beta_slope,-0.06101014229819418,0.003381708295499392,Slope (Growth)
B. subtilis Consensus,12,beta_diff,0.026105918959575234,0.004426294714121165,Difference (Slope - Mean)
B. subtilis Consensus,12,beta_mean,-0.08345753929913813,0.0021391353448905145,Mean (Expression)
B. subtilis Consensus,12,beta_slope,-0.0573516203395629,0.0030351619512583045,Slope (Growth)
B. subtilis Consensus,13,beta_diff,0.01579859493384888,0.004007819143879325,Difference (Slope - Mean)
B. subtilis Consensus,13,beta_mean,-0.07783333909593015,0.0018567298911015561,Mean (Expression)
B. subtilis Consensus,13,beta_slope,-0.062034744162081275,0.0025899464291753885,Slope (Growth)
B. subtilis Consensus,14,beta_diff,0.009261756377360065,0.0025551034069150225,Difference (Slope - Mean)
B. subtilis Consensus,14,beta_mean,-0.07212827239736329,0.0012283614513585903,Mean (Expression)
B. subtilis Consensus,14,beta_slope,-0.06286651602000322,0.0015778843271167023,Slope (Growth)
B. subtilis Consensus,15,beta_diff,0.0013336931570522015,0,Difference (Slope - Mean)
B. subtilis Consensus,15,beta_mean,-0.06887971235426435,0,Mean (Expression)
B. subtilis Consensus,15,beta_slope,-0.06754601919721215,0,Slope (Growth)
E. coli Consensus,5,beta_diff,-0.014908733286590049,0.008603989281714046,Difference (Slope - Mean)
E. coli Consensus,5,beta_mean,-0.027667407891344354,0.0036325635368069367,Mean (Expression)
E. coli Consensus,5,beta_slope,-0.0425761411779344,0.008453106802012441,Slope (Growth)
E. coli Consensus,10,beta_diff,-0.022799062500316245,0.004741861602428006,Difference (Slope - Mean)
E. coli Consensus,10,beta_mean,-0.05323782122995398,0.0028085941649489796,Mean (Expression)
E. coli Consensus,10,beta_slope,-0.07603688373027022,0.004569710510386559,Slope (Growth)
E. coli Consensus,15,beta_diff,-0.03456129163107453,0.004059176996846265,Difference (Slope - Mean)
E. coli Consensus,15,beta_mean,-0.06555147372632954,0.001825673894467527,Mean (Expression)
E. coli Consensus,15,beta_slope,-0.10011276535740407,0.004122883175058106,Slope (Growth)
E. coli Consensus,20,beta_diff,-0.05347416292376026,0.003135308365179728,Difference (Slope - Mean)
E. coli Consensus,20,beta_mean,-0.0678766737506189,0.0016325791269858503,Mean (Expression)
E. coli Consensus,20,beta_slope,-0.12135083667437917,0.003026217460775881,Slope (Growth)
E. coli Consensus,25,beta_diff,-0.06528906263142482,0.003498864578902872,Difference (Slope - Mean)
E. coli Consensus,25,beta_mean,-0.07020355058868565,0.001560095959252785,Mean (Expression)
E. coli Consensus,25,beta_slope,-0.13549261322011047,0.0034692971376628487,Slope (Growth)
E. coli Consensus,30,beta_diff,-0.0835643724986755,0.004046821377731616,Difference (Slope - Mean)
E. coli Consensus,30,beta_mean,-0.063447653423155,0.0013349609943372849,Mean (Expression)
E. coli Consensus,30,beta_slope,-0.1470120259218305,0.00371241385001573,Slope (Growth)
E. coli Consensus,35,beta_diff,-0.0899895440486539,0.0030055340972645977,Difference (Slope - Mean)
E. coli Consensus,35,beta_mean,-0.06711067684517809,0.0014563310721359946,Mean (Expression)
E. coli Consensus,35,beta_slope,-0.157100220893832,0.002583997596277672,Slope (Growth)
E. coli Consensus,40,beta_diff,-0.1130156941501558,0.0037413471797248373,Difference (Slope - Mean)
E. coli Consensus,40,beta_mean,-0.05950150354337604,0.0012575181829427937,Mean (Expression)
E. coli Consensus,40,beta_slope,-0.17251719769353185,0.003063593216208488,Slope (Growth)
E. coli Consensus,45,beta_diff,-0.11953167020209118,0.0031773105561046532,Difference (Slope - Mean)
E. coli Consensus,45,beta_mean,-0.06068236915845729,0.001127558184220867,Mean (Expression)
E. coli Consensus,45,beta_slope,-0.18021403936054847,0.0024544953713567215,Slope (Growth)
E. coli Consensus,50,beta_diff,-0.14231467825221075,0.0030293173995281316,Difference (Slope - Mean)
E. coli Consensus,50,beta_mean,-0.05482034635266164,9.343656575714867e-4,Mean (Expression)
E. coli Consensus,50,beta_slope,-0.1971350246048724,0.002303601940645953,Slope (Growth)
E. coli Consensus,55,beta_diff,-0.1501466482459376,0.002593135458854906,Difference (Slope - Mean)
E. coli Consensus,55,beta_mean,-0.05438749118441338,6.861180449126602e-4,Mean (Expression)
E. coli Consensus,55,beta_slope,-0.20453413943035095,0.0020087339884665096,Slope (Growth)
E. coli Consensus,60,beta_diff,-0.1602437350786446,0.0017883170849559526,Difference (Slope - Mean)
E. coli Consensus,60,beta_mean,-0.053171035550022824,5.011288311382486e-4,Mean (Expression)
E. coli Consensus,60,beta_slope,-0.2134147706286674,0.0013159801814761152,Slope (Growth)
E. coli Consensus,62,beta_diff,-0.16729565397036428,0,Difference (Slope - Mean)
E. coli Consensus,62,beta_mean,-0.051998738031285886,0,Mean (Expression)
E. coli Consensus,62,beta_slope,-0.21929439200165016,0,Slope (Growth)
V. natriegens,5,beta_diff,0.21092317062129995,0.008504471330008812,Difference (Slope - Mean)
V. natriegens,5,beta_mean,-0.2032414558609702,0.003131729869792034,Mean (Expression)
V. natriegens,5,beta_slope,0.007681714760329731,0.0071621404073025086,Slope (Growth)
V. natriegens,6,beta_diff,0.2058949390679533,0.0065014116081403076,Difference (Slope - Mean)
V. natriegens,6,beta_mean,-0.19648573686243206,0.0026433550364033938,Mean (Expression)
V. natriegens,6,beta_slope,0.00940920220552125,0.006135801209447534,Slope (Growth)
V. natriegens,7,beta_diff,0.20391013982837553,0.005971326917184603,Difference (Slope - Mean)
V. natriegens,7,beta_mean,-0.192585293702208,0.0021913683612112787,Mean (Expression)
V. natriegens,7,beta_slope,0.011324846126167515,0.005250295836821469,Slope (Growth)
V. natriegens,8,beta_diff,0.18662820459358065,0.004695165873787078,Difference (Slope - Mean)
V. natriegens,8,beta_mean,-0.18706272229116794,0.0015798970961009638,Mean (Expression)
V. natriegens,8,beta_slope,-4.3451769758731255e-4,0.0041925635874605965,Slope (Growth)
V. natriegens,9,beta_diff,0.18892719800472887,0.0040597315582192985,Difference (Slope - Mean)
V. natriegens,9,beta_mean,-0.18211263867999541,0.001183225496443522,Mean (Expression)
V. natriegens,9,beta_slope,0.0068145593247334645,0.003610889886077384,Slope (Growth)
