dataset,species,dataset_type,outcome_raw,outcome_label,gene_class,filter_mode,estimate,std_error,residual_df,t_statistic,p_value,confidence_interval_low,confidence_interval_high,n_obs,p_value_fdr
E. coli consensus,E. coli,Consensus,Mean_Str,Mean promoter strength,Core,Full (All Genes),-0.07615098054180566,0.08854412100114409,2680,-0.8600342934210359,0.3898470651664151,-0.24977268067012193,0.0974707195865106,2684,0.6237553042662642
E. coli consensus,E. coli,Consensus,Mean_Str,Mean promoter strength,Accessory,Full (All Genes),0.1803916045599496,0.04713094693500865,2680,3.827455552902451,1.3243588085473735e-4,0.08797490830737824,0.27280830081252094,2684,0.0010594870468378988
E. coli consensus,E. coli,Consensus,Mean_Str,Mean promoter strength,Core,Excl. Trans/Transl (Sensitivity),-0.01532139617839535,0.08952931976426581,2647,-0.1711327218696309,0.864132487267947,-0.19087591173982027,0.1602331193830296,2651,0.9917461070817164
E. coli consensus,E. coli,Consensus,Mean_Str,Mean promoter strength,Accessory,Excl. Trans/Transl (Sensitivity),0.18034981026284377,0.0465719139604312,2647,3.872501577153862,1.103322387507504e-4,0.08902877916800969,0.27167084135767783,2651,9.709237010066036e-4
E. coli consensus,E. coli,Consensus,Diff_Promoter,Growth dependence in promoter strength,Core,Full (All Genes),-1.5674132694087084e-4,0.10543749775950194,2680,-0.0014865804886454207,0.9988139914570369,-0.20690381172864183,0.20659032907476008,2684,0.9988139914570369
E. coli consensus,E. coli,Consensus,Diff_Promoter,Growth dependence in promoter strength,Accessory,Full (All Genes),-0.0279078171382698,0.05612308367484918,2680,-0.49726093633690194,0.6190458466209987,-0.13795674070198288,0.08214110642544327,2684,0.8646989603594902
E. coli consensus,E. coli,Consensus,Diff_Promoter,Growth dependence in promoter strength,Core,Excl. Trans/Transl (Sensitivity),0.03680726141507046,0.10794367425971538,2647,0.34098581197552347,0.7331413248769458,-0.17485523632846958,0.2484697591586105,2651,0.9086822054812849
E. coli consensus,E. coli,Consensus,Diff_Promoter,Growth dependence in promoter strength,Accessory,Excl. Trans/Transl (Sensitivity),-0.02503909301910732,0.056150806500406075,2647,-0.44592579483121475,0.6556873198707827,-0.13514299707553656,0.08506481103732194,2651,0.8742497598277101
E. coli consensus,E. coli,Consensus,mean_ln,Mean expression,Core,Full (All Genes),-1.0928100807943595,0.3106561378909622,3716,-3.5177482351175273,4.404358492883662e-4,-1.7018833070922064,-0.4837368544965127,3720,0.002981411902875094
E. coli consensus,E. coli,Consensus,mean_ln,Mean expression,Accessory,Full (All Genes),-0.0075735193151837965,0.1749045313283869,3716,-0.043300875384208064,0.9654640198677917,-0.3504917951732468,0.3353447565428792,3720,0.9988139914570369
E. coli consensus,E. coli,Consensus,mean_ln,Mean expression,Core,Excl. Trans/Transl (Sensitivity),-0.38939893883959464,0.3156213001010673,3656,-1.2337536747833637,0.21737401321887287,-1.0082101838656987,0.22941230618650932,3660,0.4448584456572282
