dataset,species,dataset_type,outcome_raw,outcome_label,filter_mode,term,estimate,std_error,residual_df,t_statistic,p_value,confidence_interval_low,confidence_interval_high,n_obs,p_value_fdr
E. coli consensus,E. coli,Consensus,Mean_Str,Mean promoter strength,Full (All Genes),norm_pos:binary_core_accessory_mainaccessory,0.25654258510175526,0.10030646800110071,2680,2.557587663229654,0.010594681512870434,0.059856692110704685,0.45322847809280586,2684,0.11654149664157477
E. coli consensus,E. coli,Consensus,Mean_Str,Mean promoter strength,Excl. Trans/Transl (Sensitivity),norm_pos:binary_core_accessory_mainaccessory,0.19567120644123911,0.10091799773771722,2647,1.938912887964569,0.052618103906495864,-0.0022149190305331135,0.39355733191301134,2651,0.2315196571885818
E. coli consensus,E. coli,Consensus,Diff_Promoter,Growth dependence in promoter strength,Full (All Genes),norm_pos:binary_core_accessory_mainaccessory,-0.027751075811328928,0.11944398877699576,2680,-0.23233547452221076,0.8162952013410516,-0.2619627678704954,0.20646061624783751,2684,0.930997102197774
E. coli consensus,E. coli,Consensus,Diff_Promoter,Growth dependence in promoter strength,Excl. Trans/Transl (Sensitivity),norm_pos:binary_core_accessory_mainaccessory,-0.061846354434177776,0.1216747709401316,2647,-0.5082923432385866,0.6112906951117221,-0.3004336186364003,0.1767409097680447,2651,0.8319179778326975
E. coli consensus,E. coli,Consensus,mean_ln,Mean expression,Full (All Genes),norm_pos:binary_core_accessory_mainaccessory,1.0852365614791757,0.356509230018706,3716,3.0440630146440624,0.0023504057578004798,0.3862636443283518,1.7842094786299996,3720,0.051708926671610554
E. coli consensus,E. coli,Consensus,mean_ln,Mean expression,Excl. Trans/Transl (Sensitivity),norm_pos:binary_core_accessory_mainaccessory,0.38747776572356346,0.3597191101037992,3656,1.077167586708847,0.28147647275635657,-0.3177922217954488,1.0927477532425758,3660,0.5877936397879164
E. coli consensus,E. coli,Consensus,slope,Growth slope,Full (All Genes),norm_pos:binary_core_accessory_mainaccessory,0.3191625459269981,0.20487071858197078,3716,1.5578729265758788,0.11934853069968347,-0.08250751405577422,0.7208326059097705,3720,0.409197024331612
E. coli consensus,E. coli,Consensus,slope,Growth slope,Excl. Trans/Transl (Sensitivity),norm_pos:binary_core_accessory_mainaccessory,0.056163468119290065,0.20932163616133373,3656,0.2683118150099033,0.7884744500714514,-0.354235266827997,0.46656220306657714,3660,0.930997102197774
B. subtilis consensus,B. subtilis,Consensus,mean_ln,Mean expression,Full (All Genes),norm_pos:binary_core_accessory_mainaccessory,1.1240548329678415,0.5734758038461976,1818,1.960073686507802,0.05013972727615808,-6.858954694015651e-4,2.2487955614050845,1822,0.2315196571885818
B. subtilis consensus,B. subtilis,Consensus,mean_ln,Mean expression,Excl. Trans/Transl (Sensitivity),norm_pos:binary_core_accessory_mainaccessory,0.4023551072263151,0.5698616034113134,1761,0.7060575845393537,0.4802457226048429,-0.7153213002298442,1.5200315146824745,1765,0.7531644671118811
B. subtilis consensus,B. subtilis,Consensus,slope,Growth slope,Full (All Genes),norm_pos:binary_core_accessory_mainaccessory,0.701345378767603,0.5672360335833142,1818,1.2364259977228529,0.2164599674984469,-0.4111574772019839,1.8138482347371898,1822,0.567724990150605
B. subtilis consensus,B. subtilis,Consensus,slope,Growth slope,Excl. Trans/Transl (Sensitivity),norm_pos:binary_core_accessory_mainaccessory,0.31490033469406703,0.5732744134275629,1761,0.5493012200061442,0.5828683956833611,-0.8094696580386895,1.4392703274268237,1765,0.8272970777441255
Schmidt (E. coli),E. coli,Individual,mean_ln,Mean expression,Full (All Genes),norm_pos:binary_core_accessory_mainaccessory,0.8386638209291757,0.4260292274200882,2036,1.9685593545022373,0.04913918187850823,0.0031651952561884134,1.674162446602163,2040,0.2315196571885818
