assay,cutoff,gene_filter,fc_mode,dataset,group,m_pairs,frac_raw,frac_bonf
proteomics,rel0_abs0,all,filtered,Goelzer_2015,oriC,10,0.3,0.2
proteomics,rel0_abs0,all,filtered,Goelzer_2015,ter,10,0.6,0.6
proteomics,rel0_abs0,all,filtered,li_2014_all,oriC,3,0.6666666666666666,0.6666666666666666
proteomics,rel0_abs0,all,filtered,li_2014_all,ter,3,0.6666666666666666,0.6666666666666666
proteomics,rel0_abs0,all,filtered,peebo_2015,oriC,249,0.6827309236947792,0.30120481927710846
proteomics,rel0_abs0,all,filtered,peebo_2015,ter,249,0.6506024096385542,0.357429718875502
proteomics,rel0_abs0,all,filtered,schmidt_2016,oriC,188,0.5531914893617021,0.2127659574468085
proteomics,rel0_abs0,all,filtered,schmidt_2016,ter,188,0.4574468085106383,0.24468085106382978
proteomics,rel0_abs0,all,filtered,valgepea_2013_prot,oriC,10,0.6,0.4
proteomics,rel0_abs0,all,filtered,valgepea_2013_prot,ter,10,0.5,0.5
proteomics,rel0_abs0,all,filtered,zhu_B_subtilis,oriC,45,0.7111111111111111,0.5555555555555556
proteomics,rel0_abs0,all,filtered,zhu_B_subtilis,ter,45,0.8222222222222222,0.5333333333333333
proteomics,rel0_abs0,all,filtered,zhu_E_coli,oriC,55,0.5818181818181818,0.2909090909090909
proteomics,rel0_abs0,all,filtered,zhu_E_coli,ter,55,0.6545454545454545,0.43636363636363634
proteomics,rel0_abs0,all,filtered,zhu_V_natriegens,oriC,55,0.5454545454545454,0.2
proteomics,rel0_abs0,all,filtered,zhu_V_natriegens,ter,55,0.23636363636363636,0.12727272727272726
