assay,cutoff,gene_filter,fc_mode,dataset,group,m_pairs,frac_raw,frac_bonf
proteomics,rel0_abs0,all,unfiltered,Goelzer_2015,oriC,10,0.4,0.1
proteomics,rel0_abs0,all,unfiltered,Goelzer_2015,ter,10,0.5,0.3
proteomics,rel0_abs0,all,unfiltered,li_2014_all,oriC,3,1,1
proteomics,rel0_abs0,all,unfiltered,li_2014_all,ter,3,0.6666666666666666,0.6666666666666666
proteomics,rel0_abs0,all,unfiltered,peebo_2015,oriC,249,0.4538152610441767,0.20481927710843373
proteomics,rel0_abs0,all,unfiltered,peebo_2015,ter,249,0.7068273092369478,0.4819277108433735
proteomics,rel0_abs0,all,unfiltered,schmidt_2016,oriC,188,0.5372340425531915,0.19680851063829788
proteomics,rel0_abs0,all,unfiltered,schmidt_2016,ter,188,0.44148936170212766,0.24468085106382978
proteomics,rel0_abs0,all,unfiltered,valgepea_2013_prot,oriC,10,0.3,0.1
proteomics,rel0_abs0,all,unfiltered,valgepea_2013_prot,ter,10,0.8,0.7
proteomics,rel0_abs0,all,unfiltered,zhu_B_subtilis,oriC,45,0.7555555555555555,0.6444444444444445
proteomics,rel0_abs0,all,unfiltered,zhu_B_subtilis,ter,45,0.7555555555555555,0.5555555555555556
proteomics,rel0_abs0,all,unfiltered,zhu_E_coli,oriC,55,0.8,0.6181818181818182
proteomics,rel0_abs0,all,unfiltered,zhu_E_coli,ter,55,0.8181818181818182,0.7636363636363637
proteomics,rel0_abs0,all,unfiltered,zhu_V_natriegens,oriC,55,0.5636363636363636,0.2727272727272727
proteomics,rel0_abs0,all,unfiltered,zhu_V_natriegens,ter,55,0.7818181818181819,0.6181818181818182
