assay,cutoff,gene_filter,fc_mode,dataset,group,m_pairs,frac_raw,frac_bonf
proteomics,rel50_abs0.25,all,unfiltered,Goelzer_2015,oriC,8,0.375,0
proteomics,rel50_abs0.25,all,unfiltered,Goelzer_2015,ter,8,0.375,0.25
proteomics,rel50_abs0.25,all,unfiltered,li_2014_all,oriC,2,1,1
proteomics,rel50_abs0.25,all,unfiltered,li_2014_all,ter,2,1,1
proteomics,rel50_abs0.25,all,unfiltered,peebo_2015,oriC,97,0.27835051546391754,0.12371134020618557
proteomics,rel50_abs0.25,all,unfiltered,peebo_2015,ter,97,0.8969072164948454,0.7525773195876289
proteomics,rel50_abs0.25,all,unfiltered,schmidt_2016,oriC,75,0.4266666666666667,0.09333333333333334
proteomics,rel50_abs0.25,all,unfiltered,schmidt_2016,ter,75,0.6133333333333333,0.48
proteomics,rel50_abs0.25,all,unfiltered,valgepea_2013_prot,oriC,3,0,0
proteomics,rel50_abs0.25,all,unfiltered,valgepea_2013_prot,ter,3,1,1
proteomics,rel50_abs0.25,all,unfiltered,zhu_B_subtilis,oriC,29,0.7586206896551724,0.6551724137931034
proteomics,rel50_abs0.25,all,unfiltered,zhu_B_subtilis,ter,29,0.7586206896551724,0.6896551724137931
proteomics,rel50_abs0.25,all,unfiltered,zhu_E_coli,oriC,33,0.8181818181818182,0.696969696969697
proteomics,rel50_abs0.25,all,unfiltered,zhu_E_coli,ter,33,0.9090909090909091,0.8787878787878788
proteomics,rel50_abs0.25,all,unfiltered,zhu_V_natriegens,oriC,36,0.5,0.2222222222222222
proteomics,rel50_abs0.25,all,unfiltered,zhu_V_natriegens,ter,36,0.75,0.5555555555555556
