assay,cutoff,gene_filter,fc_mode,dataset,group,m_pairs,frac_raw,frac_bonf
proteomics,rel50_abs0.25,high,filtered,Goelzer_2015,oriC,8,0.375,0.25
proteomics,rel50_abs0.25,high,filtered,Goelzer_2015,ter,8,0.625,0.625
proteomics,rel50_abs0.25,high,filtered,li_2014_all,oriC,2,0.5,0.5
proteomics,rel50_abs0.25,high,filtered,li_2014_all,ter,2,1,1
proteomics,rel50_abs0.25,high,filtered,peebo_2015,oriC,97,0.8556701030927835,0.30927835051546393
proteomics,rel50_abs0.25,high,filtered,peebo_2015,ter,97,0.845360824742268,0.6082474226804123
proteomics,rel50_abs0.25,high,filtered,schmidt_2016,oriC,75,0.6266666666666667,0.29333333333333333
proteomics,rel50_abs0.25,high,filtered,schmidt_2016,ter,75,0.5733333333333334,0.49333333333333335
proteomics,rel50_abs0.25,high,filtered,valgepea_2013_prot,oriC,3,0.6666666666666666,0.6666666666666666
proteomics,rel50_abs0.25,high,filtered,valgepea_2013_prot,ter,3,0.3333333333333333,0.3333333333333333
proteomics,rel50_abs0.25,high,filtered,zhu_B_subtilis,oriC,29,0.6551724137931034,0.5517241379310345
proteomics,rel50_abs0.25,high,filtered,zhu_B_subtilis,ter,29,0.6896551724137931,0.3793103448275862
proteomics,rel50_abs0.25,high,filtered,zhu_E_coli,oriC,33,0.6060606060606061,0.36363636363636365
proteomics,rel50_abs0.25,high,filtered,zhu_E_coli,ter,33,0.6363636363636364,0.45454545454545453
proteomics,rel50_abs0.25,high,filtered,zhu_V_natriegens,oriC,36,0.5,0.16666666666666666
proteomics,rel50_abs0.25,high,filtered,zhu_V_natriegens,ter,36,0.1388888888888889,0.05555555555555555
