assay,cutoff,gene_filter,fc_mode,dataset,group,m_pairs,frac_raw,frac_bonf
proteomics,rel50_abs0.25,high,unfiltered,Goelzer_2015,oriC,8,0.625,0
proteomics,rel50_abs0.25,high,unfiltered,Goelzer_2015,ter,8,0.375,0.125
proteomics,rel50_abs0.25,high,unfiltered,li_2014_all,oriC,2,0,0
proteomics,rel50_abs0.25,high,unfiltered,li_2014_all,ter,2,1,1
proteomics,rel50_abs0.25,high,unfiltered,peebo_2015,oriC,97,0.7628865979381443,0.14432989690721648
proteomics,rel50_abs0.25,high,unfiltered,peebo_2015,ter,97,0.8969072164948454,0.7010309278350515
proteomics,rel50_abs0.25,high,unfiltered,schmidt_2016,oriC,75,0.5466666666666666,0.24
proteomics,rel50_abs0.25,high,unfiltered,schmidt_2016,ter,75,0.5333333333333333,0.49333333333333335
proteomics,rel50_abs0.25,high,unfiltered,valgepea_2013_prot,oriC,3,0.6666666666666666,0.6666666666666666
proteomics,rel50_abs0.25,high,unfiltered,valgepea_2013_prot,ter,3,0.3333333333333333,0.3333333333333333
proteomics,rel50_abs0.25,high,unfiltered,zhu_B_subtilis,oriC,29,0.5517241379310345,0.3448275862068966
proteomics,rel50_abs0.25,high,unfiltered,zhu_B_subtilis,ter,29,0.7586206896551724,0.6206896551724138
proteomics,rel50_abs0.25,high,unfiltered,zhu_E_coli,oriC,33,0.5151515151515151,0.18181818181818182
proteomics,rel50_abs0.25,high,unfiltered,zhu_E_coli,ter,33,0.6666666666666666,0.5454545454545454
proteomics,rel50_abs0.25,high,unfiltered,zhu_V_natriegens,oriC,36,0.5,0.19444444444444445
proteomics,rel50_abs0.25,high,unfiltered,zhu_V_natriegens,ter,36,0.5555555555555556,0.19444444444444445
