assay,dataset,cutoff,gene_filter,fc_mode,n_total,group,p,n_genes,med_log2fc
proteomics,schmidt_2016,rel50_abs0.25,all,filtered,1998,oriC,7.120078715919614e-4,699,0.09244590233551787
proteomics,schmidt_2016,rel50_abs0.25,all,filtered,1998,ter,0.5206545254833412,645,-0.007425843436084714
proteomics,schmidt_2016,rel50_abs0.25,all,filtered,2005,oriC,0.0821719421934744,701,0.005299119645303609
proteomics,schmidt_2016,rel50_abs0.25,all,filtered,2005,ter,0.050633500254346236,646,-0.0219224788597093
proteomics,schmidt_2016,rel50_abs0.25,all,filtered,1985,oriC,0.5412755159144162,699,-0.033516928728672034
proteomics,schmidt_2016,rel50_abs0.25,all,filtered,1985,ter,0.0018190270481394403,639,-0.11284872049154572
proteomics,schmidt_2016,rel50_abs0.25,all,filtered,2000,oriC,0.02074143646308827,700,0.03304926919587153
proteomics,schmidt_2016,rel50_abs0.25,all,filtered,2000,ter,0.49864719024875775,642,0.006421615793058977
proteomics,schmidt_2016,rel50_abs0.25,all,filtered,1990,oriC,4.2687299596534905e-4,694,0.05259278560726122
proteomics,schmidt_2016,rel50_abs0.25,all,filtered,1990,ter,0.5004667512240734,638,-0.01566560099467048
proteomics,schmidt_2016,rel50_abs0.25,all,filtered,1983,oriC,0.18947961423623524,695,-0.0035365477564746825
proteomics,schmidt_2016,rel50_abs0.25,all,filtered,1983,ter,0.07926598734550576,634,-0.03920492910442934
proteomics,schmidt_2016,rel50_abs0.25,all,filtered,2021,oriC,0.0015931566722311846,709,0.05147558946803361
proteomics,schmidt_2016,rel50_abs0.25,all,filtered,2021,ter,0.7502492714534045,649,0.005295859435091148
proteomics,schmidt_2016,rel50_abs0.25,all,filtered,1882,oriC,0.4874574600033711,666,-0.07234924825580293
proteomics,schmidt_2016,rel50_abs0.25,all,filtered,1882,ter,0.3524270054372263,601,-0.12630960023481316
proteomics,schmidt_2016,rel50_abs0.25,all,filtered,1915,oriC,0.0015658349094790098,662,0.06929539502821405
proteomics,schmidt_2016,rel50_abs0.25,all,filtered,1915,ter,0.4024793944450314,619,-0.05177898708279219
proteomics,schmidt_2016,rel50_abs0.25,all,filtered,1936,oriC,8.757566685985065e-4,677,0.06345346556456351
proteomics,schmidt_2016,rel50_abs0.25,all,filtered,1936,ter,0.8850403817100976,618,-0.018332727176779903
proteomics,schmidt_2016,rel50_abs0.25,all,filtered,1894,oriC,0.047668268384353535,657,-0.009398070774767293
proteomics,schmidt_2016,rel50_abs0.25,all,filtered,1894,ter,0.6652022055205494,607,-0.01592599540826062
proteomics,schmidt_2016,rel50_abs0.25,all,filtered,1951,oriC,0.05089563802126818,682,0.004803249935798495
proteomics,schmidt_2016,rel50_abs0.25,all,filtered,1951,ter,0.19510412625425552,625,-0.05429441868440187
proteomics,schmidt_2016,rel50_abs0.25,all,filtered,1916,oriC,2.155621363872633e-4,672,0.1343245251827821
proteomics,schmidt_2016,rel50_abs0.25,all,filtered,1916,ter,0.9339993436124008,611,-0.05840548167682545
proteomics,schmidt_2016,rel50_abs0.25,all,filtered,1911,oriC,0.4996938414799611,671,-0.061825125368003046
proteomics,schmidt_2016,rel50_abs0.25,all,filtered,1911,ter,1.6293062541716066e-8,609,-0.3606904176928284
proteomics,schmidt_2016,rel50_abs0.25,all,filtered,1872,oriC,0.1339959086524406,659,0.038907136974357645
proteomics,schmidt_2016,rel50_abs0.25,all,filtered,1872,ter,9.826207848705847e-11,600,-0.35303774303020335
proteomics,schmidt_2016,rel50_abs0.25,all,filtered,2012,oriC,0.015072419061180705,704,0.007995162603984508
proteomics,schmidt_2016,rel50_abs0.25,all,filtered,2012,ter,0.18309820648989467,650,-0.041827200989554225
proteomics,schmidt_2016,rel50_abs0.25,all,filtered,1999,oriC,0.0025025073522009136,700,0.02482009198975829
