assay,dataset,cutoff,gene_filter,fc_mode,n_total,group,p,n_genes,med_log2fc
proteomics,schmidt_2016,rel0_abs0,all,unfiltered,2043,oriC,0.18368002513671802,714,0.007825629021172767
proteomics,schmidt_2016,rel0_abs0,all,unfiltered,2043,ter,0.005036466826944004,659,0.033034060386915344
proteomics,schmidt_2016,rel0_abs0,all,unfiltered,2043,oriC,0.38763792305509875,714,-0.004331592084266318
proteomics,schmidt_2016,rel0_abs0,all,unfiltered,2043,ter,0.10137444809806606,659,-0.06170687360842344
proteomics,schmidt_2016,rel0_abs0,all,unfiltered,2043,oriC,0.0032327774259159666,714,-0.11184659978356176
proteomics,schmidt_2016,rel0_abs0,all,unfiltered,2043,ter,0.005869393408738728,659,-0.09861414511497413
proteomics,schmidt_2016,rel0_abs0,all,unfiltered,2043,oriC,0.09492769327464529,714,0.013281272183277518
proteomics,schmidt_2016,rel0_abs0,all,unfiltered,2043,ter,0.32475384941067564,659,0.002533194939165952
proteomics,schmidt_2016,rel0_abs0,all,unfiltered,2043,oriC,0.002402326430386314,714,0.07391101175224973
proteomics,schmidt_2016,rel0_abs0,all,unfiltered,2043,ter,0.455765012825892,659,-0.013975150370909689
proteomics,schmidt_2016,rel0_abs0,all,unfiltered,2043,oriC,0.14441156780606065,714,-0.01045952438914641
proteomics,schmidt_2016,rel0_abs0,all,unfiltered,2043,ter,0.055471145989346375,659,-0.021408501018674884
proteomics,schmidt_2016,rel0_abs0,all,unfiltered,2043,oriC,0.6991123456821979,714,-0.050937931693161194
proteomics,schmidt_2016,rel0_abs0,all,unfiltered,2043,ter,0.001091881041169397,659,-0.12636346358807216
proteomics,schmidt_2016,rel0_abs0,all,unfiltered,2043,oriC,0.04417760421635943,714,0.02561903525694987
proteomics,schmidt_2016,rel0_abs0,all,unfiltered,2043,ter,0.4790726616920528,659,0.006269333332959552
proteomics,schmidt_2016,rel0_abs0,all,unfiltered,2043,oriC,0.0018541719759721268,714,0.03711047926687111
proteomics,schmidt_2016,rel0_abs0,all,unfiltered,2043,ter,0.4292783404962387,659,-0.017839809250337974
proteomics,schmidt_2016,rel0_abs0,all,unfiltered,2043,oriC,0.3562707532685682,714,-0.013912915873710113
proteomics,schmidt_2016,rel0_abs0,all,unfiltered,2043,ter,0.0339104705593935,659,-0.06549213776169631
proteomics,schmidt_2016,rel0_abs0,all,unfiltered,2043,oriC,0.002248115839718782,714,0.05037314770712796
proteomics,schmidt_2016,rel0_abs0,all,unfiltered,2043,ter,0.7161853112942818,659,0.00989518109197275
proteomics,schmidt_2016,rel0_abs0,all,unfiltered,2043,oriC,0.5801220647767479,714,-0.1268818379847689
proteomics,schmidt_2016,rel0_abs0,all,unfiltered,2043,ter,0.09913392903500388,659,-0.17184054863745926
proteomics,schmidt_2016,rel0_abs0,all,unfiltered,2043,oriC,0.031664733556935096,714,0.02294372488951245
proteomics,schmidt_2016,rel0_abs0,all,unfiltered,2043,ter,0.17008790882022265,659,-0.08947386926288083
proteomics,schmidt_2016,rel0_abs0,all,unfiltered,2043,oriC,0.03635503810756098,714,0.011305785886082824
proteomics,schmidt_2016,rel0_abs0,all,unfiltered,2043,ter,0.39774705554575135,659,-0.05485531774487401
proteomics,schmidt_2016,rel0_abs0,all,unfiltered,2043,oriC,0.4542367697735296,714,-0.08168657951303485
proteomics,schmidt_2016,rel0_abs0,all,unfiltered,2043,ter,0.5285140700458655,659,-0.04931584474747806
proteomics,schmidt_2016,rel0_abs0,all,unfiltered,2043,oriC,0.2850477018935329,714,-0.031234543629916116
proteomics,schmidt_2016,rel0_abs0,all,unfiltered,2043,ter,0.0786636005699419,659,-0.10041770808751435
proteomics,schmidt_2016,rel0_abs0,all,unfiltered,2043,oriC,0.006196595299990748,714,0.06587280618840702
proteomics,schmidt_2016,rel0_abs0,all,unfiltered,2043,ter,0.20101919272523172,659,-0.13179500227752836
proteomics,schmidt_2016,rel0_abs0,all,unfiltered,2043,oriC,0.9570390494400245,714,-0.08743855100438601
proteomics,schmidt_2016,rel0_abs0,all,unfiltered,2043,ter,1.739885984927075e-9,659,-0.3746719925234891
proteomics,schmidt_2016,rel0_abs0,all,unfiltered,2043,oriC,0.4444534659940742,714,-0.01067990201256458
proteomics,schmidt_2016,rel0_abs0,all,unfiltered,2043,ter,3.975115852405853e-13,659,-0.4108663121014043
proteomics,schmidt_2016,rel0_abs0,all,unfiltered,2043,oriC,0.21736703702980054,714,0.00698397033842524
proteomics,schmidt_2016,rel0_abs0,all,unfiltered,2043,ter,6.994418328588238e-5,659,-0.16089956942710576
proteomics,schmidt_2016,rel0_abs0,all,unfiltered,2043,oriC,5.326067617915967e-4,714,-0.11228745716380165
proteomics,schmidt_2016,rel0_abs0,all,unfiltered,2043,ter,4.553902804413246e-6,659,-0.15153363587363625
proteomics,schmidt_2016,rel0_abs0,all,unfiltered,2043,oriC,0.10912861275556927,714,-0.03757116052657415
proteomics,schmidt_2016,rel0_abs0,all,unfiltered,2043,ter,0.004759204620262933,659,-0.032631068565304865
proteomics,schmidt_2016,rel0_abs0,all,unfiltered,2043,oriC,6.140183086671234e-4,714,0.06630932507782461
