assay,dataset,cutoff,gene_filter,fc_mode,n_total,group,p,n_genes,med_log2fc
proteomics,schmidt_2016,rel50_abs0.25,all,unfiltered,2043,oriC,0.002402326430386314,714,0.07391101175224973
proteomics,schmidt_2016,rel50_abs0.25,all,unfiltered,2043,ter,0.455765012825892,659,-0.013975150370909689
proteomics,schmidt_2016,rel50_abs0.25,all,unfiltered,2043,oriC,0.14441156780606065,714,-0.01045952438914641
proteomics,schmidt_2016,rel50_abs0.25,all,unfiltered,2043,ter,0.055471145989346375,659,-0.021408501018674884
proteomics,schmidt_2016,rel50_abs0.25,all,unfiltered,2043,oriC,0.6991123456821979,714,-0.050937931693161194
proteomics,schmidt_2016,rel50_abs0.25,all,unfiltered,2043,ter,0.001091881041169397,659,-0.12636346358807216
proteomics,schmidt_2016,rel50_abs0.25,all,unfiltered,2043,oriC,0.04417760421635943,714,0.02561903525694987
proteomics,schmidt_2016,rel50_abs0.25,all,unfiltered,2043,ter,0.4790726616920528,659,0.006269333332959552
proteomics,schmidt_2016,rel50_abs0.25,all,unfiltered,2043,oriC,0.0018541719759721268,714,0.03711047926687111
proteomics,schmidt_2016,rel50_abs0.25,all,unfiltered,2043,ter,0.4292783404962387,659,-0.017839809250337974
proteomics,schmidt_2016,rel50_abs0.25,all,unfiltered,2043,oriC,0.3562707532685682,714,-0.013912915873710113
proteomics,schmidt_2016,rel50_abs0.25,all,unfiltered,2043,ter,0.0339104705593935,659,-0.06549213776169631
proteomics,schmidt_2016,rel50_abs0.25,all,unfiltered,2043,oriC,0.002248115839718782,714,0.05037314770712796
proteomics,schmidt_2016,rel50_abs0.25,all,unfiltered,2043,ter,0.7161853112942818,659,0.00989518109197275
proteomics,schmidt_2016,rel50_abs0.25,all,unfiltered,2043,oriC,0.5801220647767479,714,-0.1268818379847689
proteomics,schmidt_2016,rel50_abs0.25,all,unfiltered,2043,ter,0.09913392903500388,659,-0.17184054863745926
proteomics,schmidt_2016,rel50_abs0.25,all,unfiltered,2043,oriC,0.031664733556935096,714,0.02294372488951245
proteomics,schmidt_2016,rel50_abs0.25,all,unfiltered,2043,ter,0.17008790882022265,659,-0.08947386926288083
proteomics,schmidt_2016,rel50_abs0.25,all,unfiltered,2043,oriC,0.03635503810756098,714,0.011305785886082824
proteomics,schmidt_2016,rel50_abs0.25,all,unfiltered,2043,ter,0.39774705554575135,659,-0.05485531774487401
proteomics,schmidt_2016,rel50_abs0.25,all,unfiltered,2043,oriC,0.4542367697735296,714,-0.08168657951303485
proteomics,schmidt_2016,rel50_abs0.25,all,unfiltered,2043,ter,0.5285140700458655,659,-0.04931584474747806
proteomics,schmidt_2016,rel50_abs0.25,all,unfiltered,2043,oriC,0.2850477018935329,714,-0.031234543629916116
proteomics,schmidt_2016,rel50_abs0.25,all,unfiltered,2043,ter,0.0786636005699419,659,-0.10041770808751435
proteomics,schmidt_2016,rel50_abs0.25,all,unfiltered,2043,oriC,0.006196595299990748,714,0.06587280618840702
