assay,dataset,cutoff,gene_filter,fc_mode,n_total,group,p,n_genes,med_log2fc
proteomics,schmidt_2016,rel20_abs0.1,high,filtered,1461,oriC,0.04801274557046276,519,0.05040122069989233
proteomics,schmidt_2016,rel20_abs0.1,high,filtered,1461,ter,0.36620520015711827,451,-0.013079140800819827
proteomics,schmidt_2016,rel20_abs0.1,high,filtered,1462,oriC,0.18844401981751135,519,-0.04598531680047225
proteomics,schmidt_2016,rel20_abs0.1,high,filtered,1462,ter,0.03272701407283708,454,-0.05146948898387527
proteomics,schmidt_2016,rel20_abs0.1,high,filtered,1465,oriC,0.005913578411056933,519,0.03849945294006711
proteomics,schmidt_2016,rel20_abs0.1,high,filtered,1465,ter,0.3353197669982077,453,0.04205148978762437
proteomics,schmidt_2016,rel20_abs0.1,high,filtered,1458,oriC,4.092003259611301e-5,517,0.16464078725283052
proteomics,schmidt_2016,rel20_abs0.1,high,filtered,1458,ter,0.7704935211597638,454,0.028655185188965954
proteomics,schmidt_2016,rel20_abs0.1,high,filtered,1463,oriC,0.0036252430311905282,519,0.06407637222824124
proteomics,schmidt_2016,rel20_abs0.1,high,filtered,1463,ter,0.09282864205358371,454,-0.00932675182561827
proteomics,schmidt_2016,rel20_abs0.1,high,filtered,1460,oriC,0.06252240424799443,519,0.0603910679420926
proteomics,schmidt_2016,rel20_abs0.1,high,filtered,1460,ter,0.017912325465012032,451,-0.0964603775865497
proteomics,schmidt_2016,rel20_abs0.1,high,filtered,1464,oriC,7.378903598642047e-4,519,0.09721990793743872
proteomics,schmidt_2016,rel20_abs0.1,high,filtered,1464,ter,0.3285273994846231,453,0.061343031293440535
proteomics,schmidt_2016,rel20_abs0.1,high,filtered,1452,oriC,2.7885178048194246e-6,513,0.17745724853476758
proteomics,schmidt_2016,rel20_abs0.1,high,filtered,1452,ter,0.7401515895864841,451,0.029831599995827594
proteomics,schmidt_2016,rel20_abs0.1,high,filtered,1458,oriC,0.018456190612014745,518,0.06752319671479778
proteomics,schmidt_2016,rel20_abs0.1,high,filtered,1458,ter,0.1841345870777607,450,-0.026870911667467842
proteomics,schmidt_2016,rel20_abs0.1,high,filtered,1464,oriC,2.523428797200921e-5,519,0.1046824572034998
proteomics,schmidt_2016,rel20_abs0.1,high,filtered,1464,ter,0.7249947483853245,454,0.041246932984312354
proteomics,schmidt_2016,rel20_abs0.1,high,filtered,1410,oriC,0.038123317965046234,505,0.020337477486347632
proteomics,schmidt_2016,rel20_abs0.1,high,filtered,1410,ter,0.9485890350533634,433,-0.03801460700445041
proteomics,schmidt_2016,rel20_abs0.1,high,filtered,1428,oriC,2.6587154337944438e-5,507,0.1119170285182825
proteomics,schmidt_2016,rel20_abs0.1,high,filtered,1428,ter,0.7382220075067436,441,-0.011623063746815966
proteomics,schmidt_2016,rel20_abs0.1,high,filtered,1431,oriC,2.135254437727353e-5,506,0.15335525933946076
proteomics,schmidt_2016,rel20_abs0.1,high,filtered,1431,ter,0.8776439713294237,444,0.016742090551016775
proteomics,schmidt_2016,rel20_abs0.1,high,filtered,1415,oriC,0.001215532862407096,502,0.07071342905220933
proteomics,schmidt_2016,rel20_abs0.1,high,filtered,1415,ter,0.3195405729974653,435,0.051221773467577024
proteomics,schmidt_2016,rel20_abs0.1,high,filtered,1442,oriC,0.0012595837040629576,512,0.07037911740350346
proteomics,schmidt_2016,rel20_abs0.1,high,filtered,1442,ter,0.40765798199256775,443,-0.048722467569386585
proteomics,schmidt_2016,rel20_abs0.1,high,filtered,1428,oriC,6.554611540478891e-6,509,0.19203343625679664
proteomics,schmidt_2016,rel20_abs0.1,high,filtered,1428,ter,0.3546767867515595,437,-0.002539191108259729
proteomics,schmidt_2016,rel20_abs0.1,high,filtered,1416,oriC,0.09379146731540287,502,0.017449804342326007
proteomics,schmidt_2016,rel20_abs0.1,high,filtered,1416,ter,5.245550644509565e-6,437,-0.2811428540564306
proteomics,schmidt_2016,rel20_abs0.1,high,filtered,1393,oriC,0.03491166467600034,497,0.0928237509273661
proteomics,schmidt_2016,rel20_abs0.1,high,filtered,1393,ter,9.334806799863363e-10,431,-0.438562434560557
proteomics,schmidt_2016,rel20_abs0.1,high,filtered,1466,oriC,0.9571865664408593,519,-0.02071334055995418
proteomics,schmidt_2016,rel20_abs0.1,high,filtered,1466,ter,0.007750592006441394,454,-0.024209371170331027
proteomics,schmidt_2016,rel20_abs0.1,high,filtered,1460,oriC,2.337381806013798e-5,519,0.11797677304158065
proteomics,schmidt_2016,rel20_abs0.1,high,filtered,1460,ter,0.0370609281507529,453,-0.022215627342874106
proteomics,schmidt_2016,rel20_abs0.1,high,filtered,1464,oriC,0.006014742252006538,519,0.05194640607432069
proteomics,schmidt_2016,rel20_abs0.1,high,filtered,1464,ter,0.0014083440637114352,454,-0.06717751487103021
proteomics,schmidt_2016,rel20_abs0.1,high,filtered,1462,oriC,0.13495962821716978,519,-0.003257732423217969
proteomics,schmidt_2016,rel20_abs0.1,high,filtered,1462,ter,5.7821797064135316e-05,452,-0.1416159043456408
proteomics,schmidt_2016,rel20_abs0.1,high,filtered,1463,oriC,3.6471080223147523e-4,519,0.10361163746020936
proteomics,schmidt_2016,rel20_abs0.1,high,filtered,1463,ter,0.4242682199233338,454,0.001758263431458183
proteomics,schmidt_2016,rel20_abs0.1,high,filtered,1459,oriC,1.7361543676695185e-5,516,0.1014478992912814
proteomics,schmidt_2016,rel20_abs0.1,high,filtered,1459,ter,0.11795902739387652,454,-0.02993105577239656
proteomics,schmidt_2016,rel20_abs0.1,high,filtered,1459,oriC,0.043955016086437655,518,0.03901340216092663
proteomics,schmidt_2016,rel20_abs0.1,high,filtered,1459,ter,0.006390105591469529,451,-0.06297324018380414
proteomics,schmidt_2016,rel20_abs0.1,high,filtered,1464,oriC,6.098963809351573e-4,519,0.047337625386765544
proteomics,schmidt_2016,rel20_abs0.1,high,filtered,1464,ter,0.09947315691824149,454,-0.019187300984327974
proteomics,schmidt_2016,rel20_abs0.1,high,filtered,1418,oriC,0.12346135779377937,509,-0.034852448702278854
proteomics,schmidt_2016,rel20_abs0.1,high,filtered,1418,ter,0.985250892716752,435,-0.06236764251201111
proteomics,schmidt_2016,rel20_abs0.1,high,filtered,1437,oriC,2.7601524982590842e-5,507,0.09680458964732053
proteomics,schmidt_2016,rel20_abs0.1,high,filtered,1437,ter,0.07457738006788206,445,-0.08189242053758371
proteomics,schmidt_2016,rel20_abs0.1,high,filtered,1431,oriC,4.677066175294899e-5,507,0.10858277015943223
proteomics,schmidt_2016,rel20_abs0.1,high,filtered,1431,ter,0.8349124227231592,442,0.01215511819460215
proteomics,schmidt_2016,rel20_abs0.1,high,filtered,1412,oriC,0.002369995977209777,501,0.06435935282965127
proteomics,schmidt_2016,rel20_abs0.1,high,filtered,1412,ter,0.6686953462494217,433,-0.002025051555867022
proteomics,schmidt_2016,rel20_abs0.1,high,filtered,1448,oriC,0.0054029892723756676,515,0.032635032709820766
proteomics,schmidt_2016,rel20_abs0.1,high,filtered,1448,ter,0.032290880083612646,444,-0.11230984783065798
proteomics,schmidt_2016,rel20_abs0.1,high,filtered,1429,oriC,5.202347434736453e-6,509,0.15945315346436367
proteomics,schmidt_2016,rel20_abs0.1,high,filtered,1429,ter,0.6768363355072415,437,-0.013293787312555684
proteomics,schmidt_2016,rel20_abs0.1,high,filtered,1429,oriC,0.08729105265964385,502,0.012872482397573833
proteomics,schmidt_2016,rel20_abs0.1,high,filtered,1429,ter,2.647615161087505e-9,446,-0.3398961213334991
proteomics,schmidt_2016,rel20_abs0.1,high,filtered,1411,oriC,0.04332682973818826,499,0.03805059391873827
proteomics,schmidt_2016,rel20_abs0.1,high,filtered,1411,ter,1.848542965106075e-13,442,-0.5061433205467267
proteomics,schmidt_2016,rel20_abs0.1,high,filtered,1460,oriC,7.731555074683865e-6,519,0.13118949699140886
proteomics,schmidt_2016,rel20_abs0.1,high,filtered,1460,ter,0.3922816866653662,453,0.06591057384147532
proteomics,schmidt_2016,rel20_abs0.1,high,filtered,1464,oriC,2.4172070617322334e-4,519,0.07683399437929854
proteomics,schmidt_2016,rel20_abs0.1,high,filtered,1464,ter,0.8618914553975316,453,0.06546021622047153
proteomics,schmidt_2016,rel20_abs0.1,high,filtered,1464,oriC,0.02827452549942846,519,0.019568777266437524
proteomics,schmidt_2016,rel20_abs0.1,high,filtered,1464,ter,0.12623582051044047,453,-0.01727960185211777
proteomics,schmidt_2016,rel20_abs0.1,high,filtered,1465,oriC,3.713249485335081e-5,519,0.08518415269843509
proteomics,schmidt_2016,rel20_abs0.1,high,filtered,1465,ter,0.055942409319836885,453,0.10978761918383889
proteomics,schmidt_2016,rel20_abs0.1,high,filtered,1457,oriC,4.900716099797914e-7,515,0.1124879376987156
proteomics,schmidt_2016,rel20_abs0.1,high,filtered,1457,ter,0.2758389382567504,453,0.060587023994496995
