assay,dataset,cutoff,gene_filter,fc_mode,n_total,group,p,n_genes,med_log2fc
proteomics,schmidt_2016,rel0_abs0,high,unfiltered,1466,oriC,0.03683843739111815,519,0.023637496857249786
proteomics,schmidt_2016,rel0_abs0,high,unfiltered,1466,ter,0.00987543415378559,454,0.04732298422424176
proteomics,schmidt_2016,rel0_abs0,high,unfiltered,1466,oriC,0.04801274557046276,519,0.05040122069989233
proteomics,schmidt_2016,rel0_abs0,high,unfiltered,1466,ter,0.3392600465171573,454,-0.01811355653868328
proteomics,schmidt_2016,rel0_abs0,high,unfiltered,1466,oriC,0.18844401981751135,519,-0.04598531680047225
proteomics,schmidt_2016,rel0_abs0,high,unfiltered,1466,ter,0.03272701407283708,454,-0.05146948898387527
proteomics,schmidt_2016,rel0_abs0,high,unfiltered,1466,oriC,0.005913578411056933,519,0.03849945294006711
proteomics,schmidt_2016,rel0_abs0,high,unfiltered,1466,ter,0.30486420092997446,454,0.0421757158647377
proteomics,schmidt_2016,rel0_abs0,high,unfiltered,1466,oriC,7.815885100790497e-5,519,0.16239739780245696
proteomics,schmidt_2016,rel0_abs0,high,unfiltered,1466,ter,0.7704935211597638,454,0.028655185188965954
proteomics,schmidt_2016,rel0_abs0,high,unfiltered,1466,oriC,0.0036252430311905282,519,0.06407637222824124
proteomics,schmidt_2016,rel0_abs0,high,unfiltered,1466,ter,0.09282864205358371,454,-0.00932675182561827
proteomics,schmidt_2016,rel0_abs0,high,unfiltered,1466,oriC,0.06252240424799443,519,0.0603910679420926
proteomics,schmidt_2016,rel0_abs0,high,unfiltered,1466,ter,0.016428250230643128,454,-0.10169196335701021
proteomics,schmidt_2016,rel0_abs0,high,unfiltered,1466,oriC,7.378903598642047e-4,519,0.09721990793743872
proteomics,schmidt_2016,rel0_abs0,high,unfiltered,1466,ter,0.313538478389714,454,0.06423434339501519
proteomics,schmidt_2016,rel0_abs0,high,unfiltered,1466,oriC,6.431356828664175e-6,519,0.17536211912804484
proteomics,schmidt_2016,rel0_abs0,high,unfiltered,1466,ter,0.5992064981418292,454,0.02074283017674458
proteomics,schmidt_2016,rel0_abs0,high,unfiltered,1466,oriC,0.021667637703127424,519,0.06399511902719067
proteomics,schmidt_2016,rel0_abs0,high,unfiltered,1466,ter,0.1564315613200504,454,-0.028803920882958415
proteomics,schmidt_2016,rel0_abs0,high,unfiltered,1466,oriC,2.523428797200921e-5,519,0.1046824572034998
proteomics,schmidt_2016,rel0_abs0,high,unfiltered,1466,ter,0.7249947483853245,454,0.041246932984312354
proteomics,schmidt_2016,rel0_abs0,high,unfiltered,1466,oriC,0.253453389967059,519,-0.003917892177421581
proteomics,schmidt_2016,rel0_abs0,high,unfiltered,1466,ter,0.6446623847695607,454,-0.058900804947654775
proteomics,schmidt_2016,rel0_abs0,high,unfiltered,1466,oriC,3.037605993969433e-4,519,0.10581273115444115
proteomics,schmidt_2016,rel0_abs0,high,unfiltered,1466,ter,0.5770369717299263,454,-0.012757732072470523
proteomics,schmidt_2016,rel0_abs0,high,unfiltered,1466,oriC,7.863768846458133e-4,519,0.11454445903562177
proteomics,schmidt_2016,rel0_abs0,high,unfiltered,1466,ter,0.7087022684740953,454,-0.0013310213161119087
proteomics,schmidt_2016,rel0_abs0,high,unfiltered,1466,oriC,0.021835421798431003,519,0.048728275786942735
proteomics,schmidt_2016,rel0_abs0,high,unfiltered,1466,ter,0.9279292935021719,454,0.018948162496583966
proteomics,schmidt_2016,rel0_abs0,high,unfiltered,1466,oriC,0.00598797011689909,519,0.06279677127668282
proteomics,schmidt_2016,rel0_abs0,high,unfiltered,1466,ter,0.33083599419630466,454,-0.051749742862491344
proteomics,schmidt_2016,rel0_abs0,high,unfiltered,1466,oriC,8.775011877708229e-5,519,0.17937697922766957
proteomics,schmidt_2016,rel0_abs0,high,unfiltered,1466,ter,0.8871336562184483,454,-0.055300558049468415
proteomics,schmidt_2016,rel0_abs0,high,unfiltered,1466,oriC,0.1979538542286691,519,0.007502335044559719
proteomics,schmidt_2016,rel0_abs0,high,unfiltered,1466,ter,5.220352223519003e-7,454,-0.30025349065253504
proteomics,schmidt_2016,rel0_abs0,high,unfiltered,1466,oriC,0.19907727694367802,519,0.02341430862016229
proteomics,schmidt_2016,rel0_abs0,high,unfiltered,1466,ter,3.698802698777645e-12,454,-0.47185794419478777
proteomics,schmidt_2016,rel0_abs0,high,unfiltered,1466,oriC,0.041451483437561346,519,0.05097674765245837
proteomics,schmidt_2016,rel0_abs0,high,unfiltered,1466,ter,0.00832896406458608,454,-0.07077123323312948
proteomics,schmidt_2016,rel0_abs0,high,unfiltered,1466,oriC,0.046641294809271004,519,-0.05235682589434072
proteomics,schmidt_2016,rel0_abs0,high,unfiltered,1466,ter,1.4407689163703518e-4,454,-0.11265583055829217
proteomics,schmidt_2016,rel0_abs0,high,unfiltered,1466,oriC,0.9571865664408593,519,-0.02071334055995418
proteomics,schmidt_2016,rel0_abs0,high,unfiltered,1466,ter,0.007750592006441394,454,-0.024209371170331027
proteomics,schmidt_2016,rel0_abs0,high,unfiltered,1466,oriC,2.337381806013798e-5,519,0.11797677304158065
proteomics,schmidt_2016,rel0_abs0,high,unfiltered,1466,ter,0.031861673333398614,454,-0.022498821305878994
proteomics,schmidt_2016,rel0_abs0,high,unfiltered,1466,oriC,0.006014742252006538,519,0.05194640607432069
proteomics,schmidt_2016,rel0_abs0,high,unfiltered,1466,ter,0.0014083440637114352,454,-0.06717751487103021
proteomics,schmidt_2016,rel0_abs0,high,unfiltered,1466,oriC,0.13495962821716978,519,-0.003257732423217969
proteomics,schmidt_2016,rel0_abs0,high,unfiltered,1466,ter,6.532828526088458e-5,454,-0.1416159043456408
proteomics,schmidt_2016,rel0_abs0,high,unfiltered,1466,oriC,3.6471080223147523e-4,519,0.10361163746020936
proteomics,schmidt_2016,rel0_abs0,high,unfiltered,1466,ter,0.4242682199233338,454,0.001758263431458183
proteomics,schmidt_2016,rel0_abs0,high,unfiltered,1466,oriC,1.3894900016245475e-5,519,0.10225518631458962
proteomics,schmidt_2016,rel0_abs0,high,unfiltered,1466,ter,0.11795902739387652,454,-0.02993105577239656
proteomics,schmidt_2016,rel0_abs0,high,unfiltered,1466,oriC,0.04811198971306526,519,0.037022689838439496
proteomics,schmidt_2016,rel0_abs0,high,unfiltered,1466,ter,0.006144509592857875,454,-0.06568043319774516
proteomics,schmidt_2016,rel0_abs0,high,unfiltered,1466,oriC,6.098963809351573e-4,519,0.047337625386765544
proteomics,schmidt_2016,rel0_abs0,high,unfiltered,1466,ter,0.09947315691824149,454,-0.019187300984327974
proteomics,schmidt_2016,rel0_abs0,high,unfiltered,1466,oriC,0.3759259210117242,519,-0.05427487104522547
proteomics,schmidt_2016,rel0_abs0,high,unfiltered,1466,ter,0.5755728480415135,454,-0.08000866962408654
proteomics,schmidt_2016,rel0_abs0,high,unfiltered,1466,oriC,2.0457669636123554e-4,519,0.08673351069185897
proteomics,schmidt_2016,rel0_abs0,high,unfiltered,1466,ter,0.055696644816116685,454,-0.08852083265111632
proteomics,schmidt_2016,rel0_abs0,high,unfiltered,1466,oriC,0.001182136417257531,519,0.08564271068108437
proteomics,schmidt_2016,rel0_abs0,high,unfiltered,1466,ter,0.3904824875406826,454,-0.020280766710389017
proteomics,schmidt_2016,rel0_abs0,high,unfiltered,1466,oriC,0.03689130009112415,519,0.03171819260922518
proteomics,schmidt_2016,rel0_abs0,high,unfiltered,1466,ter,0.6588317064426643,454,-0.03608131040970272
proteomics,schmidt_2016,rel0_abs0,high,unfiltered,1466,oriC,0.011543435331525131,519,0.02244586897871822
proteomics,schmidt_2016,rel0_abs0,high,unfiltered,1466,ter,0.029355799930270474,454,-0.11469751678296687
proteomics,schmidt_2016,rel0_abs0,high,unfiltered,1466,oriC,7.279980458821686e-5,519,0.1343563424595949
proteomics,schmidt_2016,rel0_abs0,high,unfiltered,1466,ter,0.6397970366327146,454,-0.031372338196113306
proteomics,schmidt_2016,rel0_abs0,high,unfiltered,1466,oriC,0.17495705618436408,519,-0.0022890339248179607
proteomics,schmidt_2016,rel0_abs0,high,unfiltered,1466,ter,1.0265633385236656e-9,454,-0.3501902890166567
proteomics,schmidt_2016,rel0_abs0,high,unfiltered,1466,oriC,0.22386634499067,519,-0.010539727676405453
proteomics,schmidt_2016,rel0_abs0,high,unfiltered,1466,ter,1.9005723333690362e-14,454,-0.5362177732999184
proteomics,schmidt_2016,rel0_abs0,high,unfiltered,1466,oriC,1.171380798449029e-6,519,-0.10075244077872643
proteomics,schmidt_2016,rel0_abs0,high,unfiltered,1466,ter,0.051319868327926746,454,-0.03451614837624546
proteomics,schmidt_2016,rel0_abs0,high,unfiltered,1466,oriC,0.07444405505931326,519,-0.044195121561230954
proteomics,schmidt_2016,rel0_abs0,high,unfiltered,1466,ter,0.9865937430909885,454,0.018689265559304835
proteomics,schmidt_2016,rel0_abs0,high,unfiltered,1466,oriC,7.731555074683865e-6,519,0.13118949699140886
proteomics,schmidt_2016,rel0_abs0,high,unfiltered,1466,ter,0.4366013833810276,454,0.06539511168322602
proteomics,schmidt_2016,rel0_abs0,high,unfiltered,1466,oriC,2.4172070617322334e-4,519,0.07683399437929854
proteomics,schmidt_2016,rel0_abs0,high,unfiltered,1466,ter,0.9211138994157593,454,0.06346236034118685
proteomics,schmidt_2016,rel0_abs0,high,unfiltered,1466,oriC,0.02827452549942846,519,0.019568777266437524
proteomics,schmidt_2016,rel0_abs0,high,unfiltered,1466,ter,0.11422463755556791,454,-0.017516546004803894
proteomics,schmidt_2016,rel0_abs0,high,unfiltered,1466,oriC,3.713249485335081e-5,519,0.08518415269843509
proteomics,schmidt_2016,rel0_abs0,high,unfiltered,1466,ter,0.0669679467074513,454,0.10887638393994187
proteomics,schmidt_2016,rel0_abs0,high,unfiltered,1466,oriC,2.981727275547235e-7,519,0.11444389043071794
proteomics,schmidt_2016,rel0_abs0,high,unfiltered,1466,ter,0.24936128281045963,454,0.06100582614116373
proteomics,schmidt_2016,rel0_abs0,high,unfiltered,1466,oriC,0.0031002543068393185,519,0.04837246808642621
proteomics,schmidt_2016,rel0_abs0,high,unfiltered,1466,ter,0.9900164079318977,454,0.01755782646956627
proteomics,schmidt_2016,rel0_abs0,high,unfiltered,1466,oriC,0.0011784998760597531,519,0.054797974522287074
proteomics,schmidt_2016,rel0_abs0,high,unfiltered,1466,ter,0.9381621502543199,454,0.01516149145085757
proteomics,schmidt_2016,rel0_abs0,high,unfiltered,1466,oriC,0.5483839802690458,519,-0.034888124179549576
proteomics,schmidt_2016,rel0_abs0,high,unfiltered,1466,ter,0.7311707560042096,454,-0.009232858724374482
proteomics,schmidt_2016,rel0_abs0,high,unfiltered,1466,oriC,1.8133778896058617e-5,519,0.10821484321310415
proteomics,schmidt_2016,rel0_abs0,high,unfiltered,1466,ter,0.7330538955226032,454,0.06436666061921877
proteomics,schmidt_2016,rel0_abs0,high,unfiltered,1466,oriC,8.538338182918333e-4,519,0.10577483032755482
proteomics,schmidt_2016,rel0_abs0,high,unfiltered,1466,ter,0.5049260815218436,454,0.11053041066968336
proteomics,schmidt_2016,rel0_abs0,high,unfiltered,1466,oriC,0.18541492853137936,519,4.9589690510374935e-5
proteomics,schmidt_2016,rel0_abs0,high,unfiltered,1466,ter,0.11745564399775556,454,0.050386416032222756
proteomics,schmidt_2016,rel0_abs0,high,unfiltered,1466,oriC,0.009601140584668226,519,0.04762965331022453
proteomics,schmidt_2016,rel0_abs0,high,unfiltered,1466,ter,0.7847465144432813,454,0.008956315754238766
proteomics,schmidt_2016,rel0_abs0,high,unfiltered,1466,oriC,1.1605648530563761e-4,519,0.12073616292088829
proteomics,schmidt_2016,rel0_abs0,high,unfiltered,1466,ter,0.08204600531892452,454,0.1081583864057899
proteomics,schmidt_2016,rel0_abs0,high,unfiltered,1466,oriC,0.20216482538201666,519,-0.017872931564699254
proteomics,schmidt_2016,rel0_abs0,high,unfiltered,1466,ter,8.170329229020998e-6,454,-0.2702945252672315
proteomics,schmidt_2016,rel0_abs0,high,unfiltered,1466,oriC,0.3827460231439832,519,-0.012237291317324166
proteomics,schmidt_2016,rel0_abs0,high,unfiltered,1466,ter,5.068256446469693e-11,454,-0.43461687886204536
proteomics,schmidt_2016,rel0_abs0,high,unfiltered,1466,oriC,6.387696767085014e-4,519,0.0655240227327751
proteomics,schmidt_2016,rel0_abs0,high,unfiltered,1466,ter,0.0784634769718178,454,0.02090015276061446
proteomics,schmidt_2016,rel0_abs0,high,unfiltered,1466,oriC,3.600066000565084e-17,519,0.19876150036592427
proteomics,schmidt_2016,rel0_abs0,high,unfiltered,1466,ter,0.1415380796819843,454,0.06260614520565988
proteomics,schmidt_2016,rel0_abs0,high,unfiltered,1466,oriC,1.5722022833906915e-20,519,0.17765352530013814
proteomics,schmidt_2016,rel0_abs0,high,unfiltered,1466,ter,0.02003923146988248,454,0.040028976961776055
proteomics,schmidt_2016,rel0_abs0,high,unfiltered,1466,oriC,5.156512462071594e-8,519,0.12895141565922827
proteomics,schmidt_2016,rel0_abs0,high,unfiltered,1466,ter,0.9123193208106797,454,-0.013914981877996325
proteomics,schmidt_2016,rel0_abs0,high,unfiltered,1466,oriC,4.395932571021058e-16,519,0.1430536879954704
proteomics,schmidt_2016,rel0_abs0,high,unfiltered,1466,ter,4.560843155239017e-5,454,0.12608161101281956
proteomics,schmidt_2016,rel0_abs0,high,unfiltered,1466,oriC,1.5664880931335831e-18,519,0.199044151064656
proteomics,schmidt_2016,rel0_abs0,high,unfiltered,1466,ter,0.005556611633746294,454,0.08277088666309208
proteomics,schmidt_2016,rel0_abs0,high,unfiltered,1466,oriC,5.142087638360341e-12,519,0.15066460300818432
proteomics,schmidt_2016,rel0_abs0,high,unfiltered,1466,ter,0.07338677896247389,454,0.04965167169974702
proteomics,schmidt_2016,rel0_abs0,high,unfiltered,1466,oriC,5.269290140227324e-10,519,0.11461639825681558
proteomics,schmidt_2016,rel0_abs0,high,unfiltered,1466,ter,0.23965265298694874,454,0.007347073128359876
proteomics,schmidt_2016,rel0_abs0,high,unfiltered,1466,oriC,0.011495463001200324,519,0.021724560622460608
proteomics,schmidt_2016,rel0_abs0,high,unfiltered,1466,ter,0.18961806584138508,454,-0.028470406064126978
proteomics,schmidt_2016,rel0_abs0,high,unfiltered,1466,oriC,2.1099471365032923e-9,519,0.12961807009167006
proteomics,schmidt_2016,rel0_abs0,high,unfiltered,1466,ter,0.23230354158898658,454,0.06234015170480933
proteomics,schmidt_2016,rel0_abs0,high,unfiltered,1466,oriC,2.1579656415055973e-8,519,0.18969500338832448
proteomics,schmidt_2016,rel0_abs0,high,unfiltered,1466,ter,0.13638390020852229,454,0.09099228643257248
proteomics,schmidt_2016,rel0_abs0,high,unfiltered,1466,oriC,1.655601052355217e-5,519,0.07062824485116159
proteomics,schmidt_2016,rel0_abs0,high,unfiltered,1466,ter,5.495810324979464e-4,454,0.07844575995834219
proteomics,schmidt_2016,rel0_abs0,high,unfiltered,1466,oriC,1.8495238084042303e-5,519,0.09791491833106296
proteomics,schmidt_2016,rel0_abs0,high,unfiltered,1466,ter,0.8057070552656018,454,-0.0037990769431999346
proteomics,schmidt_2016,rel0_abs0,high,unfiltered,1466,oriC,3.820568014009314e-10,519,0.19609709439526973
proteomics,schmidt_2016,rel0_abs0,high,unfiltered,1466,ter,0.05001002637741781,454,0.0777273322107648
proteomics,schmidt_2016,rel0_abs0,high,unfiltered,1466,oriC,0.002038336471673781,519,0.04781011015301835
proteomics,schmidt_2016,rel0_abs0,high,unfiltered,1466,ter,2.206036912525536e-5,454,-0.23672761091120426
proteomics,schmidt_2016,rel0_abs0,high,unfiltered,1466,oriC,0.005824366025488293,519,0.08439785087193605
proteomics,schmidt_2016,rel0_abs0,high,unfiltered,1466,ter,6.802741691180519e-11,454,-0.44830800895035516
proteomics,schmidt_2016,rel0_abs0,high,unfiltered,1466,oriC,2.027049159246102e-6,519,0.13140926426588526
proteomics,schmidt_2016,rel0_abs0,high,unfiltered,1466,ter,0.5680363050204258,454,-0.006232602438805308
proteomics,schmidt_2016,rel0_abs0,high,unfiltered,1466,oriC,5.569273790851469e-6,519,0.08707046032611535
proteomics,schmidt_2016,rel0_abs0,high,unfiltered,1466,ter,0.6230174474612256,454,0.0256008554838058
proteomics,schmidt_2016,rel0_abs0,high,unfiltered,1466,oriC,0.04347771588161864,519,0.014603028272824715
proteomics,schmidt_2016,rel0_abs0,high,unfiltered,1466,ter,0.0038905091725823637,454,-0.08634404852393278
proteomics,schmidt_2016,rel0_abs0,high,unfiltered,1466,oriC,3.4771143867507956e-6,519,0.10457180306192185
proteomics,schmidt_2016,rel0_abs0,high,unfiltered,1466,ter,0.13349117227991764,454,0.050370424303697814
proteomics,schmidt_2016,rel0_abs0,high,unfiltered,1466,oriC,5.274209143626369e-7,519,0.13237080129626919
proteomics,schmidt_2016,rel0_abs0,high,unfiltered,1466,ter,0.5576612246107048,454,0.039139784286103964
proteomics,schmidt_2016,rel0_abs0,high,unfiltered,1466,oriC,0.0017676978349459725,519,0.07260658876155288
proteomics,schmidt_2016,rel0_abs0,high,unfiltered,1466,ter,0.6676530005721085,454,-0.03449914153231812
proteomics,schmidt_2016,rel0_abs0,high,unfiltered,1466,oriC,7.497082451036762e-8,519,0.05689961019313699
proteomics,schmidt_2016,rel0_abs0,high,unfiltered,1466,ter,0.9469820307530784,454,-6.196914928806642e-4
proteomics,schmidt_2016,rel0_abs0,high,unfiltered,1466,oriC,0.16530215887774552,519,0.02182760256505176
proteomics,schmidt_2016,rel0_abs0,high,unfiltered,1466,ter,0.7470925700901869,454,-0.039773980523920144
proteomics,schmidt_2016,rel0_abs0,high,unfiltered,1466,oriC,1.1358392062587485e-4,519,0.09105609970782606
proteomics,schmidt_2016,rel0_abs0,high,unfiltered,1466,ter,0.3180225664404642,454,-0.03635693599659506
proteomics,schmidt_2016,rel0_abs0,high,unfiltered,1466,oriC,0.0013569252460425907,519,0.09282037072821496
proteomics,schmidt_2016,rel0_abs0,high,unfiltered,1466,ter,0.8312670032795008,454,0.05092185554994582
proteomics,schmidt_2016,rel0_abs0,high,unfiltered,1466,oriC,0.029914411253053677,519,0.01587386238721676
