assay,dataset,cutoff,gene_filter,fc_mode,n_total,group,p,n_genes,med_log2fc
proteomics,schmidt_2016,rel50_abs0.25,high,unfiltered,1466,oriC,7.815885100790497e-5,519,0.16239739780245696
proteomics,schmidt_2016,rel50_abs0.25,high,unfiltered,1466,ter,0.7704935211597638,454,0.028655185188965954
proteomics,schmidt_2016,rel50_abs0.25,high,unfiltered,1466,oriC,0.0036252430311905282,519,0.06407637222824124
proteomics,schmidt_2016,rel50_abs0.25,high,unfiltered,1466,ter,0.09282864205358371,454,-0.00932675182561827
proteomics,schmidt_2016,rel50_abs0.25,high,unfiltered,1466,oriC,0.06252240424799443,519,0.0603910679420926
proteomics,schmidt_2016,rel50_abs0.25,high,unfiltered,1466,ter,0.016428250230643128,454,-0.10169196335701021
proteomics,schmidt_2016,rel50_abs0.25,high,unfiltered,1466,oriC,7.378903598642047e-4,519,0.09721990793743872
proteomics,schmidt_2016,rel50_abs0.25,high,unfiltered,1466,ter,0.313538478389714,454,0.06423434339501519
proteomics,schmidt_2016,rel50_abs0.25,high,unfiltered,1466,oriC,6.431356828664175e-6,519,0.17536211912804484
proteomics,schmidt_2016,rel50_abs0.25,high,unfiltered,1466,ter,0.5992064981418292,454,0.02074283017674458
proteomics,schmidt_2016,rel50_abs0.25,high,unfiltered,1466,oriC,0.021667637703127424,519,0.06399511902719067
proteomics,schmidt_2016,rel50_abs0.25,high,unfiltered,1466,ter,0.1564315613200504,454,-0.028803920882958415
proteomics,schmidt_2016,rel50_abs0.25,high,unfiltered,1466,oriC,2.523428797200921e-5,519,0.1046824572034998
proteomics,schmidt_2016,rel50_abs0.25,high,unfiltered,1466,ter,0.7249947483853245,454,0.041246932984312354
proteomics,schmidt_2016,rel50_abs0.25,high,unfiltered,1466,oriC,0.253453389967059,519,-0.003917892177421581
proteomics,schmidt_2016,rel50_abs0.25,high,unfiltered,1466,ter,0.6446623847695607,454,-0.058900804947654775
proteomics,schmidt_2016,rel50_abs0.25,high,unfiltered,1466,oriC,3.037605993969433e-4,519,0.10581273115444115
proteomics,schmidt_2016,rel50_abs0.25,high,unfiltered,1466,ter,0.5770369717299263,454,-0.012757732072470523
proteomics,schmidt_2016,rel50_abs0.25,high,unfiltered,1466,oriC,7.863768846458133e-4,519,0.11454445903562177
proteomics,schmidt_2016,rel50_abs0.25,high,unfiltered,1466,ter,0.7087022684740953,454,-0.0013310213161119087
proteomics,schmidt_2016,rel50_abs0.25,high,unfiltered,1466,oriC,0.021835421798431003,519,0.048728275786942735
proteomics,schmidt_2016,rel50_abs0.25,high,unfiltered,1466,ter,0.9279292935021719,454,0.018948162496583966
proteomics,schmidt_2016,rel50_abs0.25,high,unfiltered,1466,oriC,0.00598797011689909,519,0.06279677127668282
proteomics,schmidt_2016,rel50_abs0.25,high,unfiltered,1466,ter,0.33083599419630466,454,-0.051749742862491344
proteomics,schmidt_2016,rel50_abs0.25,high,unfiltered,1466,oriC,8.775011877708229e-5,519,0.17937697922766957
proteomics,schmidt_2016,rel50_abs0.25,high,unfiltered,1466,ter,0.8871336562184483,454,-0.055300558049468415
proteomics,schmidt_2016,rel50_abs0.25,high,unfiltered,1466,oriC,0.1979538542286691,519,0.007502335044559719
proteomics,schmidt_2016,rel50_abs0.25,high,unfiltered,1466,ter,5.220352223519003e-7,454,-0.30025349065253504
proteomics,schmidt_2016,rel50_abs0.25,high,unfiltered,1466,oriC,0.19907727694367802,519,0.02341430862016229
proteomics,schmidt_2016,rel50_abs0.25,high,unfiltered,1466,ter,3.698802698777645e-12,454,-0.47185794419478777
proteomics,schmidt_2016,rel50_abs0.25,high,unfiltered,1466,oriC,3.6471080223147523e-4,519,0.10361163746020936
proteomics,schmidt_2016,rel50_abs0.25,high,unfiltered,1466,ter,0.4242682199233338,454,0.001758263431458183
proteomics,schmidt_2016,rel50_abs0.25,high,unfiltered,1466,oriC,1.3894900016245475e-5,519,0.10225518631458962
proteomics,schmidt_2016,rel50_abs0.25,high,unfiltered,1466,ter,0.11795902739387652,454,-0.02993105577239656
proteomics,schmidt_2016,rel50_abs0.25,high,unfiltered,1466,oriC,0.04811198971306526,519,0.037022689838439496
proteomics,schmidt_2016,rel50_abs0.25,high,unfiltered,1466,ter,0.006144509592857875,454,-0.06568043319774516
proteomics,schmidt_2016,rel50_abs0.25,high,unfiltered,1466,oriC,6.098963809351573e-4,519,0.047337625386765544
proteomics,schmidt_2016,rel50_abs0.25,high,unfiltered,1466,ter,0.09947315691824149,454,-0.019187300984327974
proteomics,schmidt_2016,rel50_abs0.25,high,unfiltered,1466,oriC,0.3759259210117242,519,-0.05427487104522547
proteomics,schmidt_2016,rel50_abs0.25,high,unfiltered,1466,ter,0.5755728480415135,454,-0.08000866962408654
proteomics,schmidt_2016,rel50_abs0.25,high,unfiltered,1466,oriC,2.0457669636123554e-4,519,0.08673351069185897
proteomics,schmidt_2016,rel50_abs0.25,high,unfiltered,1466,ter,0.055696644816116685,454,-0.08852083265111632
proteomics,schmidt_2016,rel50_abs0.25,high,unfiltered,1466,oriC,0.001182136417257531,519,0.08564271068108437
proteomics,schmidt_2016,rel50_abs0.25,high,unfiltered,1466,ter,0.3904824875406826,454,-0.020280766710389017
proteomics,schmidt_2016,rel50_abs0.25,high,unfiltered,1466,oriC,0.03689130009112415,519,0.03171819260922518
proteomics,schmidt_2016,rel50_abs0.25,high,unfiltered,1466,ter,0.6588317064426643,454,-0.03608131040970272
