assay,dataset,gene_filter,n_genes,term,estimate,se,p,p_wald_diff,R2_efron_full,vif
proteomics,schmidt_2016,all,2043,z_slope,-0.10700228350155831,0.024430528167929164,1.1875579445867242e-5,0.8499140640807309,0.012206124427921905,1.0080982210552327
proteomics,schmidt_2016,all,2043,z_mean,-0.10077362359169643,0.02442564015638165,3.6955884485381266e-5,0.8499140640807309,0.012206124427921905,1.0080982210552327
proteomics,schmidt_2016,high,1466,z_slope,-0.13815958716379173,0.028504660286008544,1.2539785750174714e-6,0.2744025210123666,0.020441857654490803,1.0002840161739044
proteomics,schmidt_2016,high,1466,z_mean,-0.09457532810519786,0.028468957344812442,8.935836064169715e-4,0.2744025210123666,0.020441857654490803,1.0002840161739044
proteomics,peebo_2015,all,1096,z_slope,-0.0951005215722259,0.03415506404132034,0.005363091529186187,0.06612544132838692,0.003653366893879406,1.0857205940202344
proteomics,peebo_2015,all,1096,z_mean,0.0052921906050712965,0.03411180198206236,0.8767089691698166,0.06612544132838692,0.003653366893879406,1.0857205940202344
proteomics,peebo_2015,high,867,z_slope,-0.08578772020757533,0.037752142689334904,0.02306275947651446,0.5626387899326928,0.009404189250343142,1.0564635482090698
proteomics,peebo_2015,high,867,z_mean,-0.05152370711559872,0.037723311454788085,0.17199169011264348,0.5626387899326928,0.009404189250343142,1.0564635482090698
proteomics,li_2014_all,all,3742,z_slope,-0.1520778230356231,0.0198754299342948,1.985728502486825e-14,5.932879616513777e-4,0.022188624975719495,1.2242969311790792
proteomics,li_2014_all,all,3742,z_mean,-0.036943980033062714,0.019825233771096375,0.06239438517186642,5.932879616513777e-4,0.022188624975719495,1.2242969311790792
proteomics,li_2014_all,high,2127,z_slope,-0.10236973745353638,0.02408540451647565,2.1350248655337874e-5,0.17830242858721207,0.011876060070185379,1.0288317230874007
proteomics,li_2014_all,high,2127,z_mean,-0.052891969231363974,0.024062026403741762,0.02793834175800704,0.17830242858721207,0.011876060070185379,1.0288317230874007
proteomics,valgepea_2013_prot,all,1203,z_slope,-0.11968751345740632,0.033220100137250665,3.147298313564507e-4,0.2416638416816599,0.006094605740282533,1.1177753003217998
proteomics,valgepea_2013_prot,all,1203,z_mean,-0.056525680650905956,0.033133138946833195,0.08800501368738231,0.2416638416816599,0.006094605740282533,1.1177753003217998
proteomics,valgepea_2013_prot,high,1148,z_slope,-0.06583743789200822,0.032889922512785254,0.045311509768642816,0.9352891061468939,0.003979365723914219,1.056894863070823
proteomics,valgepea_2013_prot,high,1148,z_mean,-0.061649496321541195,0.03286363849045452,0.060666518291789956,0.9352891061468939,0.003979365723914219,1.056894863070823
proteomics,Goelzer_2015,all,1002,z_slope,-0.034636482446679356,0.03528495480437985,0.3262861812598074,0.12162469002243417,0.002075976584678174,1.050598877626121
proteomics,Goelzer_2015,all,1002,z_mean,-0.10289467794386127,0.03532533128570401,0.0035823469232420897,0.12162469002243417,0.002075976584678174,1.050598877626121
proteomics,Goelzer_2015,high,805,z_slope,-0.08972161863567239,0.04190722252209709,0.03227739570819528,0.5523218633580372,0.006122621692956076,1.1568909726389476
proteomics,Goelzer_2015,high,805,z_mean,-0.11769184048204845,0.041933795300572355,0.005006569973167562,0.5523218633580372,0.006122621692956076,1.1568909726389476
proteomics,zhu_B_subtilis,all,1777,z_slope,-0.06927676514597196,0.0322844764781336,0.031887120269064574,0.12997775701294464,-2.9031515322630597e-4,1.5597833660905724
proteomics,zhu_B_subtilis,all,1777,z_mean,0.018127858740819708,0.03227197966809179,0.5743059119577836,0.12997775701294464,-2.9031515322630597e-4,1.5597833660905724
proteomics,zhu_B_subtilis,high,941,z_slope,-0.006415506194975471,0.04077426511187931,0.8749752869684629,0.005643993684275701,0.029382221604664416,1.3166639695682956
proteomics,zhu_B_subtilis,high,941,z_mean,-0.2015038477312783,0.04093669258376763,8.552051005037885e-7,0.005643993684275701,0.029382221604664416,1.3166639695682956
proteomics,zhu_E_coli,all,1710,z_slope,0.0073366301934788,0.03322186935971562,0.8252190662576654,0.0012962358203072216,0.005702599710502132,1.5717652910208226
proteomics,zhu_E_coli,all,1710,z_mean,-0.08795558712132785,0.033243172225225194,0.008149217340833185,0.0012962358203072216,0.005702599710502132,1.5717652910208226
proteomics,zhu_E_coli,high,1145,z_slope,0.005488556714566608,0.03302987931839089,0.8680236044813718,0.6478776087731126,-3.2549168616435864e-4,1.0487028632827633
proteomics,zhu_E_coli,high,1145,z_mean,-0.018032376331648538,0.033031710077957244,0.5851270656428714,0.6478776087731126,-3.2549168616435864e-4,1.0487028632827633
proteomics,zhu_V_natriegens,all,1443,z_slope,0.002663173109231577,0.027945668519276528,0.9240779381903979,3.0248884396235587e-6,0.029663497808134265,1.0079896818461362
proteomics,zhu_V_natriegens,all,1443,z_mean,-0.1737704938898153,0.02804824606583226,5.813205909922908e-10,3.0248884396235587e-6,0.029663497808134265,1.0079896818461362
proteomics,zhu_V_natriegens,high,1054,z_slope,0.057059031557400754,0.03315231246294813,0.08522946923298237,7.027666083082823e-5,0.02104398602198365,1.0675655816802265
proteomics,zhu_V_natriegens,high,1054,z_mean,-0.1518335623964503,0.03326168264341602,4.999253728387458e-6,7.027666083082823e-5,0.02104398602198365,1.0675655816802265
