dataset,predictor,n_total,n_tt,beta_all,beta_nonTT,delta_TT,Z_TT,p_emp_lower,p_emp_upper,p_emp
schmidt_2016,z_slope,2043,58,-0.022853707169511142,-0.016532356772209055,-0.006321350397302087,-5.521597082355615,9.999000099990002e-5,1,9.999000099990002e-5
schmidt_2016,z_mean,2043,58,-0.020743136146514983,-0.009922608848966966,-0.010820527297548017,-9.643049162155956,9.999000099990002e-5,1,9.999000099990002e-5
peebo_2015,z_slope,1096,56,-0.019146215704311038,-0.01055556644638381,-0.008590649257927227,-3.8819100177252595,9.999000099990002e-5,1,9.999000099990002e-5
peebo_2015,z_mean,1096,56,-0.008467146662976162,0.011062973976007744,-0.019530120638983905,-9.519896849339169,9.999000099990002e-5,1,9.999000099990002e-5
li_2014_all,z_slope,3742,60,-0.04321488707686702,-0.03972091080677726,-0.003493976270089759,-5.4846934338425255,9.999000099990002e-5,1,9.999000099990002e-5
li_2014_all,z_mean,3742,60,-0.021954324722782925,-0.014494207633495713,-0.007460117089287212,-12.415446366580051,9.999000099990002e-5,1,9.999000099990002e-5
valgepea_2013_prot,z_slope,1203,56,-0.021153143480561774,-0.015284198644910742,-0.005868944835651032,-2.831192972356797,0.004399560043995601,0.9957004299570043,0.004399560043995601
valgepea_2013_prot,z_mean,1203,56,-0.020608576014457453,-0.002006561614246102,-0.01860201440021135,-9.826769472631788,9.999000099990002e-5,1,9.999000099990002e-5
Goelzer_2015,z_slope,1002,53,0.0058440878683856026,0.011364935910183428,-0.005520848041797826,-2.671596072460172,0.0047995200479952005,0.9953004699530047,0.0047995200479952005
Goelzer_2015,z_mean,1002,53,-0.021968206364600434,-0.007777146402433271,-0.014191059962167163,-6.855905803789052,9.999000099990002e-5,1,9.999000099990002e-5
zhu_B_subtilis,z_slope,1777,57,-0.007596561680649849,0.001980844320413008,-0.009577406001062857,-8.385938150574116,9.999000099990002e-5,1,9.999000099990002e-5
zhu_B_subtilis,z_mean,1777,57,9.421894801114164e-4,0.01626150998258044,-0.015319320502469024,-12.185392209302588,9.999000099990002e-5,1,9.999000099990002e-5
zhu_E_coli,z_slope,1710,56,0.016279733616935754,0.016412289293508946,-1.3255567657319278e-4,-0.12272691442909721,0.44725527447255276,0.5528447155284472,0.44725527447255276
zhu_E_coli,z_mean,1710,56,-0.02265216467886057,-0.01148557725020171,-0.01116658742865886,-8.872278209270949,9.999000099990002e-5,1,9.999000099990002e-5
zhu_V_natriegens,z_slope,1443,56,9.330561542071989e-4,0.004757407438720656,-0.003824351284513457,-2.465794545075943,0.011898810118988102,0.9882011798820118,0.011898810118988102
zhu_V_natriegens,z_mean,1443,56,-0.047034883550982315,-0.038946301081199716,-0.008088582469782599,-5.934496085212854,9.999000099990002e-5,1,9.999000099990002e-5
