dataset,metric,estimate,conf_low,conf_high,p_value,sig,species,dataset_clean
schmidt_2016,Mean Expression,-0.10892031336873889,-0.1820783112607503,-0.034563072809930574,0.004177454708404092,**,E. coli,Schmidt dataset
schmidt_2016,Growth-Dependent Slope,-0.14305031927473655,-0.21538883314542023,-0.06915041460072675,1.6310492993057202e-4,***,E. coli,Schmidt dataset
peebo_2015,Mean Expression,-0.052085377881329026,-0.14659156541860222,0.04336303452012358,0.28459055978864134,N.S.,E. coli,Peebo dataset
peebo_2015,Growth-Dependent Slope,-0.0860960567512275,-0.17985470993732455,0.00921280129728498,0.07658029807747121,N.S.,E. coli,Peebo dataset
li_2014_all,Mean Expression,-0.1241645655815771,-0.18528426919355095,-0.062087921916618195,9.57647655498662e-5,***,E. coli,Li dataset
li_2014_all,Growth-Dependent Slope,-0.14691799060440147,-0.207569134220181,-0.08514161189611053,3.7787180772959137e-6,***,E. coli,Li dataset
valgepea_2013_prot,Mean Expression,-0.11877545733150725,-0.20952109252113865,-0.026001299030531774,0.01226001101285477,*,E. coli,Valgepea dataset
valgepea_2013_prot,Growth-Dependent Slope,-0.05234377218087225,-0.14470047006477546,0.0409171047697214,0.27107202596327074,N.S.,E. coli,Valgepea dataset
Goelzer_2015,Mean Expression,-0.0834257905996491,-0.15304046306747035,-0.012987217457485562,0.02035340644774329,*,B. subtilis,Goelzer dataset
Goelzer_2015,Growth-Dependent Slope,-0.009482763265345043,-0.07994428030173552,0.06107304878802152,0.7923753381226815,N.S.,B. subtilis,Goelzer dataset
zhu_B_subtilis,Mean Expression,-0.03205966302623178,-0.086678104245861,0.02275092772950628,0.2515370991561802,N.S.,B. subtilis,Zhu B. subtilis dataset
zhu_B_subtilis,Growth-Dependent Slope,-0.04358657078799384,-0.0981229670740368,0.01121083419544762,0.118942507919008,N.S.,B. subtilis,Zhu B. subtilis dataset
zhu_E_coli,Mean Expression,-0.17044846657566315,-0.24737483447531305,-0.09138674952666107,2.8757352354586215e-5,***,E. coli,Zhu E. coli dataset
zhu_E_coli,Growth-Dependent Slope,0.10299386090484951,0.022870310846131028,0.181802766538497,0.011875734259701976,*,E. coli,Zhu E. coli dataset
zhu_V_natriegens,Mean Expression,-0.1741185708987656,-0.2273061855121602,-0.11989523676053121,5.479932822418074e-10,***,V. natriegens,Zhu V. natriegens dataset
zhu_V_natriegens,Growth-Dependent Slope,0.0035470949815280396,-0.05184252327103552,0.05891495646515078,0.900179794773293,N.S.,V. natriegens,Zhu V. natriegens dataset
