assay,cutoff,gene_filter,fc_mode,dataset,group,m_pairs,frac_raw,frac_bonf
proteomics,rel0_abs0,all,filtered,Goelzer_2015,oriC,10,0.4,0.2
proteomics,rel0_abs0,all,filtered,Goelzer_2015,ter,10,0.5,0.4
proteomics,rel0_abs0,all,filtered,li_2014_all,oriC,3,1,1
proteomics,rel0_abs0,all,filtered,li_2014_all,ter,3,0.6666666666666666,0.6666666666666666
proteomics,rel0_abs0,all,filtered,peebo_2015,oriC,249,0.9598393574297188,0.8232931726907631
proteomics,rel0_abs0,all,filtered,peebo_2015,ter,249,0.357429718875502,0.008032128514056224
proteomics,rel0_abs0,all,filtered,schmidt_2016,oriC,188,0.824468085106383,0.5585106382978723
proteomics,rel0_abs0,all,filtered,schmidt_2016,ter,188,0.4946808510638298,0.06382978723404255
proteomics,rel0_abs0,all,filtered,valgepea_2013_prot,oriC,10,0.9,0.9
proteomics,rel0_abs0,all,filtered,valgepea_2013_prot,ter,10,0.1,0.1
proteomics,rel0_abs0,all,filtered,zhu_B_subtilis,oriC,45,0.7111111111111111,0.5555555555555556
proteomics,rel0_abs0,all,filtered,zhu_B_subtilis,ter,45,0.7111111111111111,0.5333333333333333
proteomics,rel0_abs0,all,filtered,zhu_E_coli,oriC,55,0.8545454545454545,0.5272727272727272
proteomics,rel0_abs0,all,filtered,zhu_E_coli,ter,55,0.18181818181818182,0.01818181818181818
proteomics,rel0_abs0,all,filtered,zhu_V_natriegens,oriC,55,0.41818181818181815,0.2
proteomics,rel0_abs0,all,filtered,zhu_V_natriegens,ter,55,0.18181818181818182,0.07272727272727272
