assay,cutoff,gene_filter,fc_mode,dataset,group,m_pairs,frac_raw,frac_bonf
proteomics,rel50_abs0.25,high,filtered,Goelzer_2015,oriC,8,0.375,0.25
proteomics,rel50_abs0.25,high,filtered,Goelzer_2015,ter,8,0.375,0.375
proteomics,rel50_abs0.25,high,filtered,li_2014_all,oriC,2,1,1
proteomics,rel50_abs0.25,high,filtered,li_2014_all,ter,2,1,1
proteomics,rel50_abs0.25,high,filtered,peebo_2015,oriC,97,1,0.9896907216494846
proteomics,rel50_abs0.25,high,filtered,peebo_2015,ter,97,0.4020618556701031,0
proteomics,rel50_abs0.25,high,filtered,schmidt_2016,oriC,75,1,0.92
proteomics,rel50_abs0.25,high,filtered,schmidt_2016,ter,75,0.6933333333333334,0.13333333333333333
proteomics,rel50_abs0.25,high,filtered,valgepea_2013_prot,oriC,3,1,1
proteomics,rel50_abs0.25,high,filtered,valgepea_2013_prot,ter,3,0,0
proteomics,rel50_abs0.25,high,filtered,zhu_B_subtilis,oriC,29,0.9310344827586207,0.8275862068965517
proteomics,rel50_abs0.25,high,filtered,zhu_B_subtilis,ter,29,0.5862068965517241,0.3448275862068966
proteomics,rel50_abs0.25,high,filtered,zhu_E_coli,oriC,33,0.8787878787878788,0.696969696969697
proteomics,rel50_abs0.25,high,filtered,zhu_E_coli,ter,33,0.030303030303030304,0
proteomics,rel50_abs0.25,high,filtered,zhu_V_natriegens,oriC,36,0.3611111111111111,0.1388888888888889
proteomics,rel50_abs0.25,high,filtered,zhu_V_natriegens,ter,36,0.16666666666666666,0.027777777777777776
