assay,cutoff,gene_filter,fc_mode,dataset,group,m_pairs,frac_raw,frac_bonf
proteomics,rel0_abs0,high,unfiltered,Goelzer_2015,oriC,10,0.7,0.4
proteomics,rel0_abs0,high,unfiltered,Goelzer_2015,ter,10,0.2,0
proteomics,rel0_abs0,high,unfiltered,li_2014_all,oriC,3,1,1
proteomics,rel0_abs0,high,unfiltered,li_2014_all,ter,3,0.6666666666666666,0.6666666666666666
proteomics,rel0_abs0,high,unfiltered,peebo_2015,oriC,249,0.963855421686747,0.8795180722891566
proteomics,rel0_abs0,high,unfiltered,peebo_2015,ter,249,0.3333333333333333,0.004016064257028112
proteomics,rel0_abs0,high,unfiltered,schmidt_2016,oriC,188,0.8351063829787234,0.601063829787234
proteomics,rel0_abs0,high,unfiltered,schmidt_2016,ter,188,0.48936170212765956,0.07446808510638298
proteomics,rel0_abs0,high,unfiltered,valgepea_2013_prot,oriC,10,0.9,0.9
proteomics,rel0_abs0,high,unfiltered,valgepea_2013_prot,ter,10,0.1,0.1
proteomics,rel0_abs0,high,unfiltered,zhu_B_subtilis,oriC,45,0.7333333333333333,0.4888888888888889
proteomics,rel0_abs0,high,unfiltered,zhu_B_subtilis,ter,45,0.7333333333333333,0.5111111111111111
proteomics,rel0_abs0,high,unfiltered,zhu_E_coli,oriC,55,0.8545454545454545,0.5272727272727272
proteomics,rel0_abs0,high,unfiltered,zhu_E_coli,ter,55,0.2,0.05454545454545454
proteomics,rel0_abs0,high,unfiltered,zhu_V_natriegens,oriC,55,0.4727272727272727,0.2
proteomics,rel0_abs0,high,unfiltered,zhu_V_natriegens,ter,55,0.4909090909090909,0.10909090909090909
