assay,dataset,cutoff,gene_filter,fc_mode,n_total,group,p,n_genes,med_log2fc
proteomics,schmidt_2016,rel50_abs0.25,all,filtered,687,oriC,5.657824904730571e-9,281,0.24223789412454494
proteomics,schmidt_2016,rel50_abs0.25,all,filtered,687,ter,0.3721232630082383,139,0.08573711428202761
proteomics,schmidt_2016,rel50_abs0.25,all,filtered,684,oriC,2.43111808027387e-6,279,0.15605072029228484
proteomics,schmidt_2016,rel50_abs0.25,all,filtered,684,ter,0.6325143357614611,138,0.056226826875242636
proteomics,schmidt_2016,rel50_abs0.25,all,filtered,676,oriC,3.279582865770646e-4,280,0.15100781702903723
proteomics,schmidt_2016,rel50_abs0.25,all,filtered,676,ter,0.8509605076873622,136,-0.0071715107823963065
proteomics,schmidt_2016,rel50_abs0.25,all,filtered,680,oriC,4.704005921084636e-8,280,0.23945894336005508
proteomics,schmidt_2016,rel50_abs0.25,all,filtered,680,ter,0.007093781622972434,136,0.12335781377829347
proteomics,schmidt_2016,rel50_abs0.25,all,filtered,681,oriC,2.671326961727742e-10,278,0.28212263375615176
proteomics,schmidt_2016,rel50_abs0.25,all,filtered,681,ter,0.4316575452820083,137,0.07701096417412631
proteomics,schmidt_2016,rel50_abs0.25,all,filtered,681,oriC,1.3519408762408618e-4,279,0.14114058679056712
proteomics,schmidt_2016,rel50_abs0.25,all,filtered,681,ter,0.33566913942476373,138,0.08727810350548597
proteomics,schmidt_2016,rel50_abs0.25,all,filtered,688,oriC,3.809640305042904e-8,282,0.19284110579056485
proteomics,schmidt_2016,rel50_abs0.25,all,filtered,688,ter,0.40119400656561255,138,0.048348041396373984
proteomics,schmidt_2016,rel50_abs0.25,all,filtered,655,oriC,6.136359141121179e-4,276,0.1246714753042572
proteomics,schmidt_2016,rel50_abs0.25,all,filtered,655,ter,0.0066929994794464286,130,0.20726046400531511
proteomics,schmidt_2016,rel50_abs0.25,all,filtered,664,oriC,1.4896058052921228e-7,277,0.21351470166963668
proteomics,schmidt_2016,rel50_abs0.25,all,filtered,664,ter,0.044449452905971,134,0.0923674181546675
proteomics,schmidt_2016,rel50_abs0.25,all,filtered,666,oriC,9.205938806614228e-10,272,0.2869045718587333
proteomics,schmidt_2016,rel50_abs0.25,all,filtered,666,ter,0.24829100017431985,136,0.12697359970176209
