assay,dataset,cutoff,gene_filter,fc_mode,n_total,group,p,n_genes,med_log2fc
proteomics,schmidt_2016,rel0_abs0,all,unfiltered,690,oriC,0.007210005444880292,282,0.018899149996480145
proteomics,schmidt_2016,rel0_abs0,all,unfiltered,690,ter,0.023564209597312095,140,0.051673986123860774
proteomics,schmidt_2016,rel0_abs0,all,unfiltered,690,oriC,7.46118262989904e-4,282,0.07807978037947806
proteomics,schmidt_2016,rel0_abs0,all,unfiltered,690,ter,0.6375429966407331,140,0.0370666921336064
proteomics,schmidt_2016,rel0_abs0,all,unfiltered,690,oriC,0.5917997245419285,282,0.010008715503205397
proteomics,schmidt_2016,rel0_abs0,all,unfiltered,690,ter,0.9444463746885695,140,0.002574204089293848
proteomics,schmidt_2016,rel0_abs0,all,unfiltered,690,oriC,2.9286475446575932e-5,282,0.07788942782637305
proteomics,schmidt_2016,rel0_abs0,all,unfiltered,690,ter,0.3794926604765451,140,0.023204162900142614
proteomics,schmidt_2016,rel0_abs0,all,unfiltered,690,oriC,9.787195775881648e-9,282,0.24222448580029776
proteomics,schmidt_2016,rel0_abs0,all,unfiltered,690,ter,0.3672097231659215,140,0.09153156599909305
proteomics,schmidt_2016,rel0_abs0,all,unfiltered,690,oriC,2.756445251569613e-6,282,0.15224201125539955
proteomics,schmidt_2016,rel0_abs0,all,unfiltered,690,ter,0.559583075934323,140,0.07767946669924025
proteomics,schmidt_2016,rel0_abs0,all,unfiltered,690,oriC,3.704677527673774e-4,282,0.13489749550736063
proteomics,schmidt_2016,rel0_abs0,all,unfiltered,690,ter,0.9279032117944318,140,0.010249497962023783
proteomics,schmidt_2016,rel0_abs0,all,unfiltered,690,oriC,5.841651632539103e-8,282,0.23348160842466878
proteomics,schmidt_2016,rel0_abs0,all,unfiltered,690,ter,0.005263972002951362,140,0.14745573207091878
proteomics,schmidt_2016,rel0_abs0,all,unfiltered,690,oriC,3.065862721177696e-10,282,0.28212263375615176
proteomics,schmidt_2016,rel0_abs0,all,unfiltered,690,ter,0.3828859135483567,140,0.08916596063098134
proteomics,schmidt_2016,rel0_abs0,all,unfiltered,690,oriC,2.519943465632102e-4,282,0.11996682476570891
proteomics,schmidt_2016,rel0_abs0,all,unfiltered,690,ter,0.3444578391287414,140,0.08727810350548597
proteomics,schmidt_2016,rel0_abs0,all,unfiltered,690,oriC,3.809640305042904e-8,282,0.19284110579056485
proteomics,schmidt_2016,rel0_abs0,all,unfiltered,690,ter,0.38402111661923255,140,0.056592152879434206
proteomics,schmidt_2016,rel0_abs0,all,unfiltered,690,oriC,8.119150274829691e-4,282,0.1246714753042572
proteomics,schmidt_2016,rel0_abs0,all,unfiltered,690,ter,0.008274604057311275,140,0.20726046400531511
proteomics,schmidt_2016,rel0_abs0,all,unfiltered,690,oriC,2.7293082631497204e-7,282,0.20918815271866947
proteomics,schmidt_2016,rel0_abs0,all,unfiltered,690,ter,0.035926783154273806,140,0.09828428020572993
proteomics,schmidt_2016,rel0_abs0,all,unfiltered,690,oriC,9.374643202380581e-9,282,0.2750521442427959
proteomics,schmidt_2016,rel0_abs0,all,unfiltered,690,ter,0.2320859394951862,140,0.12697359970176209
proteomics,schmidt_2016,rel0_abs0,all,unfiltered,690,oriC,7.156588647134e-5,282,0.17862963559759032
proteomics,schmidt_2016,rel0_abs0,all,unfiltered,690,ter,0.001296130310258449,140,0.30710479308078764
proteomics,schmidt_2016,rel0_abs0,all,unfiltered,690,oriC,7.846348281358308e-7,282,0.21115659308079837
proteomics,schmidt_2016,rel0_abs0,all,unfiltered,690,ter,0.8376601491645315,140,0.038811179515053036
proteomics,schmidt_2016,rel0_abs0,all,unfiltered,690,oriC,3.420513775751345e-8,282,0.2873842833851523
proteomics,schmidt_2016,rel0_abs0,all,unfiltered,690,ter,0.015691780624024123,140,0.24093181117455453
proteomics,schmidt_2016,rel0_abs0,all,unfiltered,690,oriC,1.8173151892648842e-7,282,0.317445508473284
proteomics,schmidt_2016,rel0_abs0,all,unfiltered,690,ter,0.08865400587798837,140,-0.15171415765552987
proteomics,schmidt_2016,rel0_abs0,all,unfiltered,690,oriC,4.474949045084358e-8,282,0.40085973264078656
proteomics,schmidt_2016,rel0_abs0,all,unfiltered,690,ter,0.024080604476399915,140,-0.15232876034891246
proteomics,schmidt_2016,rel0_abs0,all,unfiltered,690,oriC,0.003917898253112807,282,0.06822647932072712
proteomics,schmidt_2016,rel0_abs0,all,unfiltered,690,ter,0.35193978486662975,140,-0.0676040483821124
proteomics,schmidt_2016,rel0_abs0,all,unfiltered,690,oriC,0.605992691405316,282,0.0010125724153232205
proteomics,schmidt_2016,rel0_abs0,all,unfiltered,690,ter,0.13021510471063372,140,-0.061448684312380535
proteomics,schmidt_2016,rel0_abs0,all,unfiltered,690,oriC,0.009517823518587399,282,0.01870483680443183
proteomics,schmidt_2016,rel0_abs0,all,unfiltered,690,ter,0.020777529580475202,140,-0.04890286097939596
proteomics,schmidt_2016,rel0_abs0,all,unfiltered,690,oriC,6.210806260608421e-9,282,0.21193646257257964
proteomics,schmidt_2016,rel0_abs0,all,unfiltered,690,ter,0.8653828678342627,140,0.018789203679897573
proteomics,schmidt_2016,rel0_abs0,all,unfiltered,690,oriC,1.797082362080972e-6,282,0.14471871476530063
proteomics,schmidt_2016,rel0_abs0,all,unfiltered,690,ter,0.29687542105474174,140,-0.018801686747582966
proteomics,schmidt_2016,rel0_abs0,all,unfiltered,690,oriC,0.0010457029356393274,282,0.08968195963089239
