assay,dataset,cutoff,gene_filter,fc_mode,n_total,group,p,n_genes,med_log2fc
proteomics,schmidt_2016,rel50_abs0.25,all,unfiltered,690,oriC,9.787195775881648e-9,282,0.24222448580029776
proteomics,schmidt_2016,rel50_abs0.25,all,unfiltered,690,ter,0.3672097231659215,140,0.09153156599909305
proteomics,schmidt_2016,rel50_abs0.25,all,unfiltered,690,oriC,2.756445251569613e-6,282,0.15224201125539955
proteomics,schmidt_2016,rel50_abs0.25,all,unfiltered,690,ter,0.559583075934323,140,0.07767946669924025
proteomics,schmidt_2016,rel50_abs0.25,all,unfiltered,690,oriC,3.704677527673774e-4,282,0.13489749550736063
proteomics,schmidt_2016,rel50_abs0.25,all,unfiltered,690,ter,0.9279032117944318,140,0.010249497962023783
proteomics,schmidt_2016,rel50_abs0.25,all,unfiltered,690,oriC,5.841651632539103e-8,282,0.23348160842466878
proteomics,schmidt_2016,rel50_abs0.25,all,unfiltered,690,ter,0.005263972002951362,140,0.14745573207091878
proteomics,schmidt_2016,rel50_abs0.25,all,unfiltered,690,oriC,3.065862721177696e-10,282,0.28212263375615176
proteomics,schmidt_2016,rel50_abs0.25,all,unfiltered,690,ter,0.3828859135483567,140,0.08916596063098134
proteomics,schmidt_2016,rel50_abs0.25,all,unfiltered,690,oriC,2.519943465632102e-4,282,0.11996682476570891
proteomics,schmidt_2016,rel50_abs0.25,all,unfiltered,690,ter,0.3444578391287414,140,0.08727810350548597
proteomics,schmidt_2016,rel50_abs0.25,all,unfiltered,690,oriC,3.809640305042904e-8,282,0.19284110579056485
proteomics,schmidt_2016,rel50_abs0.25,all,unfiltered,690,ter,0.38402111661923255,140,0.056592152879434206
proteomics,schmidt_2016,rel50_abs0.25,all,unfiltered,690,oriC,8.119150274829691e-4,282,0.1246714753042572
proteomics,schmidt_2016,rel50_abs0.25,all,unfiltered,690,ter,0.008274604057311275,140,0.20726046400531511
proteomics,schmidt_2016,rel50_abs0.25,all,unfiltered,690,oriC,2.7293082631497204e-7,282,0.20918815271866947
proteomics,schmidt_2016,rel50_abs0.25,all,unfiltered,690,ter,0.035926783154273806,140,0.09828428020572993
proteomics,schmidt_2016,rel50_abs0.25,all,unfiltered,690,oriC,9.374643202380581e-9,282,0.2750521442427959
proteomics,schmidt_2016,rel50_abs0.25,all,unfiltered,690,ter,0.2320859394951862,140,0.12697359970176209
proteomics,schmidt_2016,rel50_abs0.25,all,unfiltered,690,oriC,7.156588647134e-5,282,0.17862963559759032
proteomics,schmidt_2016,rel50_abs0.25,all,unfiltered,690,ter,0.001296130310258449,140,0.30710479308078764
proteomics,schmidt_2016,rel50_abs0.25,all,unfiltered,690,oriC,7.846348281358308e-7,282,0.21115659308079837
proteomics,schmidt_2016,rel50_abs0.25,all,unfiltered,690,ter,0.8376601491645315,140,0.038811179515053036
proteomics,schmidt_2016,rel50_abs0.25,all,unfiltered,690,oriC,3.420513775751345e-8,282,0.2873842833851523
proteomics,schmidt_2016,rel50_abs0.25,all,unfiltered,690,ter,0.015691780624024123,140,0.24093181117455453
proteomics,schmidt_2016,rel50_abs0.25,all,unfiltered,690,oriC,1.8173151892648842e-7,282,0.317445508473284
proteomics,schmidt_2016,rel50_abs0.25,all,unfiltered,690,ter,0.08865400587798837,140,-0.15171415765552987
proteomics,schmidt_2016,rel50_abs0.25,all,unfiltered,690,oriC,4.474949045084358e-8,282,0.40085973264078656
proteomics,schmidt_2016,rel50_abs0.25,all,unfiltered,690,ter,0.024080604476399915,140,-0.15232876034891246
proteomics,schmidt_2016,rel50_abs0.25,all,unfiltered,690,oriC,5.91987740339909e-9,282,0.2177107633074405
proteomics,schmidt_2016,rel50_abs0.25,all,unfiltered,690,ter,0.15389979060235034,140,0.040584051145615974
proteomics,schmidt_2016,rel50_abs0.25,all,unfiltered,690,oriC,1.3942576975573714e-10,282,0.2591452493991205
proteomics,schmidt_2016,rel50_abs0.25,all,unfiltered,690,ter,0.7908480793982791,140,0.04944977155693327
proteomics,schmidt_2016,rel50_abs0.25,all,unfiltered,690,oriC,2.20307715856899e-4,282,0.07445822418431225
proteomics,schmidt_2016,rel50_abs0.25,all,unfiltered,690,ter,0.5651962150433246,140,-0.010145357777568026
proteomics,schmidt_2016,rel50_abs0.25,all,unfiltered,690,oriC,2.0708856298807585e-8,282,0.15774550119011893
proteomics,schmidt_2016,rel50_abs0.25,all,unfiltered,690,ter,0.44958500032440085,140,-0.01772230177876901
proteomics,schmidt_2016,rel50_abs0.25,all,unfiltered,690,oriC,0.004228109003013792,282,0.027657154222997738
proteomics,schmidt_2016,rel50_abs0.25,all,unfiltered,690,ter,0.006956977894333485,140,0.12614007041537434
proteomics,schmidt_2016,rel50_abs0.25,all,unfiltered,690,oriC,7.955510972998955e-8,282,0.21190577629754642
proteomics,schmidt_2016,rel50_abs0.25,all,unfiltered,690,ter,0.3036691669542092,140,-0.010611206375734554
proteomics,schmidt_2016,rel50_abs0.25,all,unfiltered,690,oriC,1.847882744806132e-8,282,0.2687952801749882
proteomics,schmidt_2016,rel50_abs0.25,all,unfiltered,690,ter,0.31756426136553356,140,0.09113115859187629
proteomics,schmidt_2016,rel50_abs0.25,all,unfiltered,690,oriC,2.038376328836181e-4,282,0.15123427314061694
proteomics,schmidt_2016,rel50_abs0.25,all,unfiltered,690,ter,0.004535998489062983,140,0.15917572365629323
proteomics,schmidt_2016,rel50_abs0.25,all,unfiltered,690,oriC,3.7777486486747834e-6,282,0.15819300059850666
proteomics,schmidt_2016,rel50_abs0.25,all,unfiltered,690,ter,0.514334502517287,140,-0.011509723573954706
proteomics,schmidt_2016,rel50_abs0.25,all,unfiltered,690,oriC,1.8015910077286312e-8,282,0.2495939148361662
proteomics,schmidt_2016,rel50_abs0.25,all,unfiltered,690,ter,0.01431390621145336,140,0.24624721308447162
proteomics,schmidt_2016,rel50_abs0.25,all,unfiltered,690,oriC,2.2717121686849537e-8,282,0.24585672086064414
proteomics,schmidt_2016,rel50_abs0.25,all,unfiltered,690,ter,0.012157833245474727,140,-0.16268121003790514
proteomics,schmidt_2016,rel50_abs0.25,all,unfiltered,690,oriC,1.0009596945154807e-7,282,0.33437829098003086
proteomics,schmidt_2016,rel50_abs0.25,all,unfiltered,690,ter,0.009693574106573122,140,-0.23457914870650554
proteomics,schmidt_2016,rel50_abs0.25,all,unfiltered,690,oriC,0.0066920809001964196,282,0.06552213629255692
proteomics,schmidt_2016,rel50_abs0.25,all,unfiltered,690,ter,1.4513109245658807e-4,140,0.22003078507287588
proteomics,schmidt_2016,rel50_abs0.25,all,unfiltered,690,oriC,2.1940643339178716e-7,282,0.17165197034744603
proteomics,schmidt_2016,rel50_abs0.25,all,unfiltered,690,ter,0.06764784792522688,140,0.12712240187364693
proteomics,schmidt_2016,rel50_abs0.25,all,unfiltered,690,oriC,1.0449742658431026e-6,282,0.23221452389201613
proteomics,schmidt_2016,rel50_abs0.25,all,unfiltered,690,ter,0.10140945830618191,140,0.2087467955566124
proteomics,schmidt_2016,rel50_abs0.25,all,unfiltered,690,oriC,0.0188877922676775,282,0.034292807283003456
proteomics,schmidt_2016,rel50_abs0.25,all,unfiltered,690,ter,2.9700648172368704e-5,140,0.1760361841586678
proteomics,schmidt_2016,rel50_abs0.25,all,unfiltered,690,oriC,2.995109669511898e-5,282,0.13695835535580875
proteomics,schmidt_2016,rel50_abs0.25,all,unfiltered,690,ter,0.898208658193784,140,0.004370323480106265
proteomics,schmidt_2016,rel50_abs0.25,all,unfiltered,690,oriC,1.2612369130768416e-6,282,0.2679916521360105
proteomics,schmidt_2016,rel50_abs0.25,all,unfiltered,690,ter,7.667679370333797e-4,140,0.15989770369995812
proteomics,schmidt_2016,rel50_abs0.25,all,unfiltered,690,oriC,1.037266114324012e-6,282,0.26584475142831243
proteomics,schmidt_2016,rel50_abs0.25,all,unfiltered,690,ter,0.09101637717176227,140,-0.06194732308469708
proteomics,schmidt_2016,rel50_abs0.25,all,unfiltered,690,oriC,3.3745783363991427e-6,282,0.35686683768767324
proteomics,schmidt_2016,rel50_abs0.25,all,unfiltered,690,ter,0.06702511504990948,140,-0.13574130384945998
proteomics,schmidt_2016,rel50_abs0.25,all,unfiltered,690,oriC,4.110017278063921e-6,282,0.1415143886031638
proteomics,schmidt_2016,rel50_abs0.25,all,unfiltered,690,ter,1.9580096675811946e-4,140,0.19643095930100274
proteomics,schmidt_2016,rel50_abs0.25,all,unfiltered,690,oriC,1.7720914669145878e-11,282,0.23580191919921917
proteomics,schmidt_2016,rel50_abs0.25,all,unfiltered,690,ter,0.010294650842354973,140,0.1517151815526083
proteomics,schmidt_2016,rel50_abs0.25,all,unfiltered,690,oriC,5.432590700609981e-14,282,0.3211506469867006
proteomics,schmidt_2016,rel50_abs0.25,all,unfiltered,690,ter,0.0487386816821858,140,0.08258787287962924
proteomics,schmidt_2016,rel50_abs0.25,all,unfiltered,690,oriC,1.853501456674491e-9,282,0.17792274690725152
proteomics,schmidt_2016,rel50_abs0.25,all,unfiltered,690,ter,4.006455379658874e-5,140,0.25013409985109525
proteomics,schmidt_2016,rel50_abs0.25,all,unfiltered,690,oriC,2.9942760747652684e-8,282,0.16690975484404402
proteomics,schmidt_2016,rel50_abs0.25,all,unfiltered,690,ter,0.9908720728740932,140,-0.002239433062415497
proteomics,schmidt_2016,rel50_abs0.25,all,unfiltered,690,oriC,2.623660078459233e-13,282,0.32945687140235264
proteomics,schmidt_2016,rel50_abs0.25,all,unfiltered,690,ter,0.002030118068686234,140,0.23880495091712073
proteomics,schmidt_2016,rel50_abs0.25,all,unfiltered,690,oriC,7.701663920250192e-10,282,0.30422712893625586
proteomics,schmidt_2016,rel50_abs0.25,all,unfiltered,690,ter,0.07148492570123212,140,-0.16252007694610057
proteomics,schmidt_2016,rel50_abs0.25,all,unfiltered,690,oriC,1.9657877611254911e-10,282,0.3998861951541277
proteomics,schmidt_2016,rel50_abs0.25,all,unfiltered,690,ter,0.023692399137730413,140,-0.17066861088739332
proteomics,schmidt_2016,rel50_abs0.25,all,unfiltered,690,oriC,4.0257914283650426e-4,282,0.05169136534997212
proteomics,schmidt_2016,rel50_abs0.25,all,unfiltered,690,ter,0.001497158701773414,140,0.3075304331643357
proteomics,schmidt_2016,rel50_abs0.25,all,unfiltered,690,oriC,6.773555807237162e-6,282,0.13379070821212136
proteomics,schmidt_2016,rel50_abs0.25,all,unfiltered,690,ter,0.5821961248321721,140,0.06233411865550974
proteomics,schmidt_2016,rel50_abs0.25,all,unfiltered,690,oriC,3.4779636705009793e-9,282,0.23466761984188647
proteomics,schmidt_2016,rel50_abs0.25,all,unfiltered,690,ter,3.6786156730210274e-4,140,0.2968381039493147
proteomics,schmidt_2016,rel50_abs0.25,all,unfiltered,690,oriC,2.491689117250093e-9,282,0.2244355345038435
proteomics,schmidt_2016,rel50_abs0.25,all,unfiltered,690,ter,0.01312023771135033,140,-0.1878430404163947
proteomics,schmidt_2016,rel50_abs0.25,all,unfiltered,690,oriC,1.5465960243746778e-8,282,0.2574939282286343
proteomics,schmidt_2016,rel50_abs0.25,all,unfiltered,690,ter,0.012742385192941743,140,-0.2703560351678221
proteomics,schmidt_2016,rel50_abs0.25,all,unfiltered,690,oriC,9.01901028655013e-5,282,0.10954761830342066
proteomics,schmidt_2016,rel50_abs0.25,all,unfiltered,690,ter,1.0429384158332839e-4,140,0.2583288761298314
proteomics,schmidt_2016,rel50_abs0.25,all,unfiltered,690,oriC,0.02696395542415143,282,-0.033737524017716576
proteomics,schmidt_2016,rel50_abs0.25,all,unfiltered,690,ter,0.0021767745489305024,140,-0.268014995270795
proteomics,schmidt_2016,rel50_abs0.25,all,unfiltered,690,oriC,0.0011355748374757952,282,0.12069974925334626
proteomics,schmidt_2016,rel50_abs0.25,all,unfiltered,690,ter,0.002131788856318154,140,-0.25397210713861157
proteomics,schmidt_2016,rel50_abs0.25,all,unfiltered,690,oriC,5.283315217448264e-6,282,0.08177376077228832
proteomics,schmidt_2016,rel50_abs0.25,all,unfiltered,690,ter,7.218021716380549e-4,140,-0.22438512208597267
proteomics,schmidt_2016,rel50_abs0.25,all,unfiltered,690,oriC,4.1287914529802656e-5,282,0.21073947378898644
proteomics,schmidt_2016,rel50_abs0.25,all,unfiltered,690,ter,0.003578091978900978,140,-0.2593198910528791
