assay,dataset,cutoff,gene_filter,fc_mode,n_total,group,p,n_genes,med_log2fc
proteomics,schmidt_2016,rel0_abs0,high,filtered,552,oriC,0.0022649242294171365,236,0.03718517448426366
proteomics,schmidt_2016,rel0_abs0,high,filtered,552,ter,0.052189905112097666,106,0.05786178506984505
proteomics,schmidt_2016,rel0_abs0,high,filtered,549,oriC,3.578974450875163e-4,236,0.13357110829226748
proteomics,schmidt_2016,rel0_abs0,high,filtered,549,ter,0.5010220206024636,104,0.08079908580286205
proteomics,schmidt_2016,rel0_abs0,high,filtered,551,oriC,0.4091995682888225,236,0.04593580272332605
proteomics,schmidt_2016,rel0_abs0,high,filtered,551,ter,0.8698112373956524,106,0.01716441560178954
proteomics,schmidt_2016,rel0_abs0,high,filtered,552,oriC,8.535095210982411e-6,236,0.09959460466111411
proteomics,schmidt_2016,rel0_abs0,high,filtered,552,ter,0.4900282937819992,106,0.06401036461652648
proteomics,schmidt_2016,rel0_abs0,high,filtered,550,oriC,4.602951008682527e-9,235,0.27850243743781655
proteomics,schmidt_2016,rel0_abs0,high,filtered,550,ter,0.4900282937819992,106,0.12864833195662184
proteomics,schmidt_2016,rel0_abs0,high,filtered,551,oriC,5.169332188417682e-7,236,0.2248902693822628
proteomics,schmidt_2016,rel0_abs0,high,filtered,551,ter,0.8500039579672225,106,0.09059090809976554
proteomics,schmidt_2016,rel0_abs0,high,filtered,549,oriC,6.187248390270788e-5,236,0.24315362677727434
proteomics,schmidt_2016,rel0_abs0,high,filtered,549,ter,0.9006438181917186,104,0.04952356165504854
proteomics,schmidt_2016,rel0_abs0,high,filtered,550,oriC,7.685427113629729e-9,236,0.2630949567722938
proteomics,schmidt_2016,rel0_abs0,high,filtered,550,ter,0.011038935530258405,105,0.1683252147490883
proteomics,schmidt_2016,rel0_abs0,high,filtered,549,oriC,1.031213460038115e-10,234,0.3234137822350974
proteomics,schmidt_2016,rel0_abs0,high,filtered,549,ter,0.5747727577320638,106,0.11797916216189405
proteomics,schmidt_2016,rel0_abs0,high,filtered,548,oriC,3.978333759743149e-5,235,0.19710066114939417
proteomics,schmidt_2016,rel0_abs0,high,filtered,548,ter,0.3445167812003851,104,0.1399957495830238
proteomics,schmidt_2016,rel0_abs0,high,filtered,552,oriC,1.114238328850046e-8,236,0.19814090754696218
proteomics,schmidt_2016,rel0_abs0,high,filtered,552,ter,0.5855630881218026,106,0.058807115527676854
proteomics,schmidt_2016,rel0_abs0,high,filtered,542,oriC,1.1361143694562513e-4,235,0.17621128569820488
proteomics,schmidt_2016,rel0_abs0,high,filtered,542,ter,0.00450015464326761,102,0.3368814308158654
proteomics,schmidt_2016,rel0_abs0,high,filtered,545,oriC,2.4307710100761172e-8,235,0.29105850814208495
proteomics,schmidt_2016,rel0_abs0,high,filtered,545,ter,0.02716209502795346,103,0.21731401983420007
proteomics,schmidt_2016,rel0_abs0,high,filtered,546,oriC,5.560786317742734e-10,232,0.36550660317009853
proteomics,schmidt_2016,rel0_abs0,high,filtered,546,ter,0.2910216639970268,106,0.3071942968969593
proteomics,schmidt_2016,rel0_abs0,high,filtered,543,oriC,7.603525032628381e-6,234,0.2294291511769938
proteomics,schmidt_2016,rel0_abs0,high,filtered,543,ter,0.0013680122595235,102,0.36318120598605247
proteomics,schmidt_2016,rel0_abs0,high,filtered,547,oriC,5.0450217324487236e-8,235,0.3008385104918122
proteomics,schmidt_2016,rel0_abs0,high,filtered,547,ter,0.8750272079311915,104,0.07426153698406505
proteomics,schmidt_2016,rel0_abs0,high,filtered,547,oriC,1.3775119324292122e-8,236,0.30678167792562316
proteomics,schmidt_2016,rel0_abs0,high,filtered,547,ter,0.009435248550444234,104,0.3678146722685121
proteomics,schmidt_2016,rel0_abs0,high,filtered,543,oriC,1.6930374040169737e-8,233,0.42608368098551813
proteomics,schmidt_2016,rel0_abs0,high,filtered,543,ter,0.08404297123559855,101,-0.1919305460320701
proteomics,schmidt_2016,rel0_abs0,high,filtered,538,oriC,1.0919829121059403e-8,232,0.417546937922036
proteomics,schmidt_2016,rel0_abs0,high,filtered,538,ter,0.03316812617865294,100,-0.2552736735855488
proteomics,schmidt_2016,rel0_abs0,high,filtered,550,oriC,0.002323109762645021,236,0.0941793575566131
proteomics,schmidt_2016,rel0_abs0,high,filtered,550,ter,0.6338430891748155,105,-0.003790575425554293
proteomics,schmidt_2016,rel0_abs0,high,filtered,551,oriC,0.7284634757234414,236,0.004526927604531627
proteomics,schmidt_2016,rel0_abs0,high,filtered,551,ter,0.12172398092200107,106,-0.059357501798544016
