assay,dataset,cutoff,gene_filter,fc_mode,n_total,group,p,n_genes,med_log2fc
proteomics,schmidt_2016,rel50_abs0.25,high,filtered,550,oriC,4.602951008682527e-9,235,0.27850243743781655
proteomics,schmidt_2016,rel50_abs0.25,high,filtered,550,ter,0.4900282937819992,106,0.12864833195662184
proteomics,schmidt_2016,rel50_abs0.25,high,filtered,551,oriC,5.169332188417682e-7,236,0.2248902693822628
proteomics,schmidt_2016,rel50_abs0.25,high,filtered,551,ter,0.8500039579672225,106,0.09059090809976554
proteomics,schmidt_2016,rel50_abs0.25,high,filtered,549,oriC,6.187248390270788e-5,236,0.24315362677727434
proteomics,schmidt_2016,rel50_abs0.25,high,filtered,549,ter,0.9006438181917186,104,0.04952356165504854
proteomics,schmidt_2016,rel50_abs0.25,high,filtered,550,oriC,7.685427113629729e-9,236,0.2630949567722938
proteomics,schmidt_2016,rel50_abs0.25,high,filtered,550,ter,0.011038935530258405,105,0.1683252147490883
proteomics,schmidt_2016,rel50_abs0.25,high,filtered,549,oriC,1.031213460038115e-10,234,0.3234137822350974
proteomics,schmidt_2016,rel50_abs0.25,high,filtered,549,ter,0.5747727577320638,106,0.11797916216189405
proteomics,schmidt_2016,rel50_abs0.25,high,filtered,548,oriC,3.978333759743149e-5,235,0.19710066114939417
proteomics,schmidt_2016,rel50_abs0.25,high,filtered,548,ter,0.3445167812003851,104,0.1399957495830238
proteomics,schmidt_2016,rel50_abs0.25,high,filtered,552,oriC,1.114238328850046e-8,236,0.19814090754696218
proteomics,schmidt_2016,rel50_abs0.25,high,filtered,552,ter,0.5855630881218026,106,0.058807115527676854
proteomics,schmidt_2016,rel50_abs0.25,high,filtered,542,oriC,1.1361143694562513e-4,235,0.17621128569820488
proteomics,schmidt_2016,rel50_abs0.25,high,filtered,542,ter,0.00450015464326761,102,0.3368814308158654
proteomics,schmidt_2016,rel50_abs0.25,high,filtered,545,oriC,2.4307710100761172e-8,235,0.29105850814208495
proteomics,schmidt_2016,rel50_abs0.25,high,filtered,545,ter,0.02716209502795346,103,0.21731401983420007
proteomics,schmidt_2016,rel50_abs0.25,high,filtered,546,oriC,5.560786317742734e-10,232,0.36550660317009853
proteomics,schmidt_2016,rel50_abs0.25,high,filtered,546,ter,0.2910216639970268,106,0.3071942968969593
proteomics,schmidt_2016,rel50_abs0.25,high,filtered,543,oriC,7.603525032628381e-6,234,0.2294291511769938
proteomics,schmidt_2016,rel50_abs0.25,high,filtered,543,ter,0.0013680122595235,102,0.36318120598605247
proteomics,schmidt_2016,rel50_abs0.25,high,filtered,547,oriC,5.0450217324487236e-8,235,0.3008385104918122
proteomics,schmidt_2016,rel50_abs0.25,high,filtered,547,ter,0.8750272079311915,104,0.07426153698406505
proteomics,schmidt_2016,rel50_abs0.25,high,filtered,547,oriC,1.3775119324292122e-8,236,0.30678167792562316
proteomics,schmidt_2016,rel50_abs0.25,high,filtered,547,ter,0.009435248550444234,104,0.3678146722685121
proteomics,schmidt_2016,rel50_abs0.25,high,filtered,543,oriC,1.6930374040169737e-8,233,0.42608368098551813
proteomics,schmidt_2016,rel50_abs0.25,high,filtered,543,ter,0.08404297123559855,101,-0.1919305460320701
proteomics,schmidt_2016,rel50_abs0.25,high,filtered,538,oriC,1.0919829121059403e-8,232,0.417546937922036
proteomics,schmidt_2016,rel50_abs0.25,high,filtered,538,ter,0.03316812617865294,100,-0.2552736735855488
proteomics,schmidt_2016,rel50_abs0.25,high,filtered,551,oriC,8.153409598682412e-10,236,0.24196578117030598
proteomics,schmidt_2016,rel50_abs0.25,high,filtered,551,ter,0.11576677742369335,106,0.07034961587963873
proteomics,schmidt_2016,rel50_abs0.25,high,filtered,550,oriC,7.916369379005546e-11,235,0.28796469648955153
proteomics,schmidt_2016,rel50_abs0.25,high,filtered,550,ter,0.9397012553386545,106,0.06620197964935087
proteomics,schmidt_2016,rel50_abs0.25,high,filtered,548,oriC,3.9618568342176435e-5,235,0.14594889221414847
proteomics,schmidt_2016,rel50_abs0.25,high,filtered,548,ter,0.6072624942454847,104,0.03034999254300308
proteomics,schmidt_2016,rel50_abs0.25,high,filtered,552,oriC,7.2624178184892916e-09,236,0.16071918089116402
proteomics,schmidt_2016,rel50_abs0.25,high,filtered,552,ter,0.49201219472541835,106,-0.01612564112156788
proteomics,schmidt_2016,rel50_abs0.25,high,filtered,543,oriC,8.676428579475082e-4,236,0.11402634968077474
proteomics,schmidt_2016,rel50_abs0.25,high,filtered,543,ter,0.0014327853666013196,102,0.19659192060664593
proteomics,schmidt_2016,rel50_abs0.25,high,filtered,549,oriC,1.2390989181165804e-8,236,0.21718775337131074
proteomics,schmidt_2016,rel50_abs0.25,high,filtered,549,ter,0.17167441821601817,104,0.10448263778477809
proteomics,schmidt_2016,rel50_abs0.25,high,filtered,547,oriC,1.3929679481212466e-9,233,0.34083332580946296
proteomics,schmidt_2016,rel50_abs0.25,high,filtered,547,ter,0.40180461036783954,106,0.1944224268932036
proteomics,schmidt_2016,rel50_abs0.25,high,filtered,544,oriC,3.42427309911839e-5,234,0.19974170598220142
proteomics,schmidt_2016,rel50_abs0.25,high,filtered,544,ter,0.0019937858819342436,102,0.18459319721970938
proteomics,schmidt_2016,rel50_abs0.25,high,filtered,549,oriC,3.4669404211176503e-7,236,0.19374203003470486
proteomics,schmidt_2016,rel50_abs0.25,high,filtered,549,ter,0.5388770412899627,104,0.017360229114261494
proteomics,schmidt_2016,rel50_abs0.25,high,filtered,547,oriC,9.052167603965564e-9,236,0.25253018333250843
proteomics,schmidt_2016,rel50_abs0.25,high,filtered,547,ter,0.007429848686999566,104,0.29994335779327885
proteomics,schmidt_2016,rel50_abs0.25,high,filtered,547,oriC,2.995285189804704e-9,235,0.35523864013196177
proteomics,schmidt_2016,rel50_abs0.25,high,filtered,547,ter,0.02716209502795346,103,-0.16476037455333803
proteomics,schmidt_2016,rel50_abs0.25,high,filtered,541,oriC,1.2756048544372593e-8,233,0.3470837056827308
proteomics,schmidt_2016,rel50_abs0.25,high,filtered,541,ter,0.015655739686539872,102,-0.3048642867454495
proteomics,schmidt_2016,rel50_abs0.25,high,filtered,547,oriC,0.0027273793997337078,236,0.0978627453226619
proteomics,schmidt_2016,rel50_abs0.25,high,filtered,547,ter,4.533587085697665e-4,105,0.2233047042740169
proteomics,schmidt_2016,rel50_abs0.25,high,filtered,551,oriC,3.446377883115317e-8,236,0.1908891865209329
proteomics,schmidt_2016,rel50_abs0.25,high,filtered,551,ter,0.15886632097861628,106,0.11881765297187655
proteomics,schmidt_2016,rel50_abs0.25,high,filtered,549,oriC,3.1288359098071627e-7,233,0.25345913996162084
proteomics,schmidt_2016,rel50_abs0.25,high,filtered,549,ter,0.41973346848750925,106,0.19853740721172466
proteomics,schmidt_2016,rel50_abs0.25,high,filtered,547,oriC,0.003850681102623477,234,0.08477095315540582
proteomics,schmidt_2016,rel50_abs0.25,high,filtered,547,ter,4.739765165452157e-5,104,0.19346318753862524
proteomics,schmidt_2016,rel50_abs0.25,high,filtered,552,oriC,1.1317071819385219e-5,236,0.15205472557789323
proteomics,schmidt_2016,rel50_abs0.25,high,filtered,552,ter,0.5986342372354823,106,-0.027008670784473075
proteomics,schmidt_2016,rel50_abs0.25,high,filtered,552,oriC,1.8301538449439752e-6,236,0.26201161824034525
proteomics,schmidt_2016,rel50_abs0.25,high,filtered,552,ter,0.0017679555786779418,106,0.21709750733840252
proteomics,schmidt_2016,rel50_abs0.25,high,filtered,546,oriC,3.156298039126864e-7,232,0.33688038777102847
proteomics,schmidt_2016,rel50_abs0.25,high,filtered,546,ter,0.021774061711567153,104,-0.21473748938895645
proteomics,schmidt_2016,rel50_abs0.25,high,filtered,545,oriC,1.001551516235976e-6,231,0.36285923697853933
proteomics,schmidt_2016,rel50_abs0.25,high,filtered,545,ter,0.01158545731637862,104,-0.24211975457685325
proteomics,schmidt_2016,rel50_abs0.25,high,filtered,545,oriC,4.2226484296137944e-7,235,0.1521993258823564
proteomics,schmidt_2016,rel50_abs0.25,high,filtered,545,ter,1.617913239801975e-4,105,0.25882339060923165
proteomics,schmidt_2016,rel50_abs0.25,high,filtered,551,oriC,3.051954024757099e-12,236,0.25273793030293734
proteomics,schmidt_2016,rel50_abs0.25,high,filtered,551,ter,0.02264772587791516,105,0.15622781056582344
proteomics,schmidt_2016,rel50_abs0.25,high,filtered,551,oriC,1.13389919269404e-13,235,0.2857695609208484
proteomics,schmidt_2016,rel50_abs0.25,high,filtered,551,ter,0.08816229914318985,106,0.20084053117378448
proteomics,schmidt_2016,rel50_abs0.25,high,filtered,546,oriC,1.350823554604011e-10,233,0.20760433712411464
proteomics,schmidt_2016,rel50_abs0.25,high,filtered,546,ter,2.300974420997539e-5,104,0.23695713968605098
proteomics,schmidt_2016,rel50_abs0.25,high,filtered,549,oriC,3.737016745329383e-9,235,0.1942046207147757
proteomics,schmidt_2016,rel50_abs0.25,high,filtered,549,ter,0.9754237206339261,104,-0.03365800589291863
proteomics,schmidt_2016,rel50_abs0.25,high,filtered,548,oriC,7.84153042090514e-13,236,0.30497048108752633
proteomics,schmidt_2016,rel50_abs0.25,high,filtered,548,ter,0.0011860455879087527,103,0.277907343508253
proteomics,schmidt_2016,rel50_abs0.25,high,filtered,546,oriC,1.1418489894273414e-10,234,0.3591280628030745
proteomics,schmidt_2016,rel50_abs0.25,high,filtered,546,ter,0.14927569919161426,102,-0.1394193628664076
proteomics,schmidt_2016,rel50_abs0.25,high,filtered,543,oriC,3.458842912949891e-10,233,0.3368092558273451
proteomics,schmidt_2016,rel50_abs0.25,high,filtered,543,ter,0.03721509063001237,101,-0.19087042177903105
proteomics,schmidt_2016,rel50_abs0.25,high,filtered,544,oriC,8.254794460107994e-5,233,0.09522901774958738
proteomics,schmidt_2016,rel50_abs0.25,high,filtered,544,ter,7.492350673109298e-4,104,0.3441576502146956
proteomics,schmidt_2016,rel50_abs0.25,high,filtered,549,oriC,5.623235869949006e-7,236,0.1811934028132367
proteomics,schmidt_2016,rel50_abs0.25,high,filtered,549,ter,0.5324696994253468,104,0.0977965527353405
proteomics,schmidt_2016,rel50_abs0.25,high,filtered,549,oriC,3.182536750223673e-9,236,0.2282750188568492
proteomics,schmidt_2016,rel50_abs0.25,high,filtered,549,ter,2.9598506293241445e-4,105,0.3794221728447512
proteomics,schmidt_2016,rel50_abs0.25,high,filtered,547,oriC,3.716048262081908e-10,234,0.29368284699429986
proteomics,schmidt_2016,rel50_abs0.25,high,filtered,547,ter,0.03490608269517036,104,-0.17773486075189623
proteomics,schmidt_2016,rel50_abs0.25,high,filtered,545,oriC,6.276322991177431e-9,234,0.27584725596068205
