assay,dataset,cutoff,gene_filter,fc_mode,n_total,group,p,n_genes,med_log2fc
proteomics,schmidt_2016,rel0_abs0,high,unfiltered,552,oriC,0.0022649242294171365,236,0.03718517448426366
proteomics,schmidt_2016,rel0_abs0,high,unfiltered,552,ter,0.052189905112097666,106,0.05786178506984505
proteomics,schmidt_2016,rel0_abs0,high,unfiltered,552,oriC,3.578974450875163e-4,236,0.13357110829226748
proteomics,schmidt_2016,rel0_abs0,high,unfiltered,552,ter,0.5120860065385653,106,0.08079908580286205
proteomics,schmidt_2016,rel0_abs0,high,unfiltered,552,oriC,0.4091995682888225,236,0.04593580272332605
proteomics,schmidt_2016,rel0_abs0,high,unfiltered,552,ter,0.8698112373956524,106,0.01716441560178954
proteomics,schmidt_2016,rel0_abs0,high,unfiltered,552,oriC,8.535095210982411e-6,236,0.09959460466111411
proteomics,schmidt_2016,rel0_abs0,high,unfiltered,552,ter,0.4900282937819992,106,0.06401036461652648
proteomics,schmidt_2016,rel0_abs0,high,unfiltered,552,oriC,8.132356283807237e-9,236,0.2764810038884566
proteomics,schmidt_2016,rel0_abs0,high,unfiltered,552,ter,0.4900282937819992,106,0.12864833195662184
proteomics,schmidt_2016,rel0_abs0,high,unfiltered,552,oriC,5.169332188417682e-7,236,0.2248902693822628
proteomics,schmidt_2016,rel0_abs0,high,unfiltered,552,ter,0.8500039579672225,106,0.09059090809976554
proteomics,schmidt_2016,rel0_abs0,high,unfiltered,552,oriC,6.187248390270788e-5,236,0.24315362677727434
proteomics,schmidt_2016,rel0_abs0,high,unfiltered,552,ter,0.914658679199122,106,0.04952356165504854
proteomics,schmidt_2016,rel0_abs0,high,unfiltered,552,oriC,7.685427113629729e-9,236,0.2630949567722938
proteomics,schmidt_2016,rel0_abs0,high,unfiltered,552,ter,0.0093139872436988555,106,0.16942333303977705
proteomics,schmidt_2016,rel0_abs0,high,unfiltered,552,oriC,1.217190209244664e-10,236,0.3234137822350974
proteomics,schmidt_2016,rel0_abs0,high,unfiltered,552,ter,0.5747727577320638,106,0.11797916216189405
proteomics,schmidt_2016,rel0_abs0,high,unfiltered,552,oriC,5.7535374980421806e-05,236,0.19685425814505092
proteomics,schmidt_2016,rel0_abs0,high,unfiltered,552,ter,0.3557447971947565,106,0.1399957495830238
proteomics,schmidt_2016,rel0_abs0,high,unfiltered,552,oriC,1.114238328850046e-8,236,0.19814090754696218
proteomics,schmidt_2016,rel0_abs0,high,unfiltered,552,ter,0.5855630881218026,106,0.058807115527676854
proteomics,schmidt_2016,rel0_abs0,high,unfiltered,552,oriC,1.6556079779281654e-4,236,0.17020379973162997
proteomics,schmidt_2016,rel0_abs0,high,unfiltered,552,ter,0.007312702711998825,106,0.3368814308158654
proteomics,schmidt_2016,rel0_abs0,high,unfiltered,552,oriC,3.840104046016907e-8,236,0.28066157298146766
proteomics,schmidt_2016,rel0_abs0,high,unfiltered,552,ter,0.024221276201555734,106,0.2212827868451699
proteomics,schmidt_2016,rel0_abs0,high,unfiltered,552,oriC,5.161242357802361e-9,236,0.34970735917101614
proteomics,schmidt_2016,rel0_abs0,high,unfiltered,552,ter,0.2910216639970268,106,0.3071942968969593
proteomics,schmidt_2016,rel0_abs0,high,unfiltered,552,oriC,1.6091095257069772e-5,236,0.21872334392741544
proteomics,schmidt_2016,rel0_abs0,high,unfiltered,552,ter,0.0025850298637585685,106,0.36318120598605247
proteomics,schmidt_2016,rel0_abs0,high,unfiltered,552,oriC,8.065360899833784e-8,236,0.28486466312156944
proteomics,schmidt_2016,rel0_abs0,high,unfiltered,552,ter,0.8648512485629392,106,0.07426153698406505
proteomics,schmidt_2016,rel0_abs0,high,unfiltered,552,oriC,1.3775119324292122e-8,236,0.30678167792562316
proteomics,schmidt_2016,rel0_abs0,high,unfiltered,552,ter,0.010205427356460295,106,0.3678146722685121
proteomics,schmidt_2016,rel0_abs0,high,unfiltered,552,oriC,1.3546998821863472e-8,236,0.42845073868791156
proteomics,schmidt_2016,rel0_abs0,high,unfiltered,552,ter,0.11359283397484757,106,-0.17564416736812727
proteomics,schmidt_2016,rel0_abs0,high,unfiltered,552,oriC,1.9850533726596416e-8,236,0.417546937922036
proteomics,schmidt_2016,rel0_abs0,high,unfiltered,552,ter,0.02122088663495855,106,-0.26790222520446655
proteomics,schmidt_2016,rel0_abs0,high,unfiltered,552,oriC,0.002323109762645021,236,0.0941793575566131
proteomics,schmidt_2016,rel0_abs0,high,unfiltered,552,ter,0.7454500459908215,106,0.0022629959335540273
proteomics,schmidt_2016,rel0_abs0,high,unfiltered,552,oriC,0.7284634757234414,236,0.004526927604531627
proteomics,schmidt_2016,rel0_abs0,high,unfiltered,552,ter,0.12172398092200107,106,-0.059357501798544016
