assay,dataset,gene_filter,n_genes,term,estimate,se,p,p_wald_diff,R2_efron_full,vif
proteomics,schmidt_2016,all,690,z_slope,-0.14341598318650373,0.04047828541970876,3.9555015710473015e-4,0.7767932751601432,0.032982199948722646,1.0027469198641472
proteomics,schmidt_2016,all,690,z_mean,-0.12766025013538335,0.04045082078364208,0.0015998330137272788,0.7767932751601432,0.032982199948722646,1.0027469198641472
proteomics,schmidt_2016,high,552,z_slope,-0.15475208927374312,0.04539404704513472,6.518156495298427e-4,0.32765848193812264,0.0400204621847402,1.0108874122261315
proteomics,schmidt_2016,high,552,z_mean,-0.08890711243117289,0.04533322602041711,0.04985675263138092,0.32765848193812264,0.0400204621847402,1.0108874122261315
proteomics,peebo_2015,all,424,z_slope,-0.08194056993628225,0.055171156646453175,0.13748908522928688,0.4417992001575886,0.007279924245208291,1.1673645273651385
proteomics,peebo_2015,all,424,z_mean,-0.011452284940187022,0.05520315110489848,0.835652902938856,0.4417992001575886,0.007279924245208291,1.1673645273651385
proteomics,peebo_2015,high,345,z_slope,-0.11982958368805063,0.06097130883827502,0.04937445958599556,0.8784579161080874,0.03286197796468282,1.1733038410453265
proteomics,peebo_2015,high,345,z_mean,-0.10433056647840414,0.06098509103621202,0.08712629818429819,0.8784579161080874,0.03286197796468282,1.1733038410453265
proteomics,li_2014_all,all,982,z_slope,-0.12017146603944748,0.03712367815172791,0.0012076924317788442,0.5590166779339584,0.026556436646695825,1.181936342561016
proteomics,li_2014_all,all,982,z_mean,-0.08403459503709915,0.03708396821841592,0.0234475480799164,0.5590166779339584,0.026556436646695825,1.181936342561016
proteomics,li_2014_all,high,781,z_slope,-0.1362007062442077,0.039528685601403594,5.697575189596953e-4,0.9300237582540566,0.040423537035651935,1.0776762643647102
proteomics,li_2014_all,high,781,z_mean,-0.13068276699829742,0.039547584879424225,9.516509377707608e-4,0.9300237582540566,0.040423537035651935,1.0776762643647102
proteomics,valgepea_2013_prot,all,444,z_slope,-0.011549595327763278,0.050282254554435385,0.8183285815894497,0.20716780804185764,0.014073156772331563,1.065384775281388
proteomics,valgepea_2013_prot,all,444,z_mean,-0.11190412784364731,0.050471394219578615,0.02661084513594089,0.20716780804185764,0.014073156772331563,1.065384775281388
proteomics,valgepea_2013_prot,high,433,z_slope,-0.026789296766142008,0.05135433859346233,0.6019098935345079,0.300233095489499,0.016515178131454533,1.0767696080690896
proteomics,valgepea_2013_prot,high,433,z_mean,-0.11160366529271645,0.05155038344180748,0.030392015734608313,0.300233095489499,0.016515178131454533,1.0767696080690896
proteomics,Goelzer_2015,all,773,z_slope,-0.07738469872787482,0.0403430839365557,0.05509007025083882,0.3363620204401756,6.752061193039394e-4,1.0820548931256881
proteomics,Goelzer_2015,all,773,z_mean,-0.12404567564901635,0.04038612571886976,0.0021299163148725533,0.3363620204401756,6.752061193039394e-4,1.0820548931256881
proteomics,Goelzer_2015,high,638,z_slope,-0.10146575887953799,0.04876603119648822,0.03746460877040213,0.7017962930612339,0.0025029238632209294,1.2601133929110702
proteomics,Goelzer_2015,high,638,z_mean,-0.12095171350676388,0.04878902510569685,0.0131723142695376,0.7017962930612339,0.0025029238632209294,1.2601133929110702
proteomics,zhu_B_subtilis,all,1281,z_slope,-0.06112151731515804,0.03815372293720485,0.10915993806074366,0.5554607805788762,-0.0022025711405209147,1.5945644647539448
proteomics,zhu_B_subtilis,all,1281,z_mean,-0.020757425093403538,0.03814451421566909,0.5863186351981742,0.5554607805788762,-0.0022025711405209147,1.5945644647539448
proteomics,zhu_B_subtilis,high,722,z_slope,-0.014372097218741395,0.04595439089690976,0.7544728956812095,0.010988213322375165,0.03413721661116931,1.3140393585109504
proteomics,zhu_B_subtilis,high,722,z_mean,-0.21632556612324613,0.04617395901607988,2.799431148606215e-6,0.010988213322375165,0.03413721661116931,1.3140393585109504
proteomics,zhu_E_coli,all,596,z_slope,0.013828796873017357,0.054237174918521126,0.7987470621363737,1.5675366411923043e-4,0.028649301803407745,1.5639763836972023
proteomics,zhu_E_coli,all,596,z_mean,-0.16991832877152988,0.05438854598000075,0.0017831559480396214,1.5675366411923043e-4,0.028649301803407745,1.5639763836972023
proteomics,zhu_E_coli,high,412,z_slope,0.025316599841571488,0.05243266666304659,0.6292091968767001,0.07808218535335605,0.017368100600957836,1.0416928955476163
proteomics,zhu_E_coli,high,412,z_mean,-0.11798628021019492,0.05258108553993541,0.024839347314638213,0.07808218535335605,0.017368100600957836,1.0416928955476163
proteomics,zhu_V_natriegens,all,1253,z_slope,0.00805704131891903,0.03005156231696806,0.7886167759316003,1.2236550446172036e-5,0.02918435993906998,1.0070429795547309
proteomics,zhu_V_natriegens,all,1253,z_mean,-0.17018361916266186,0.030155498612551745,1.6659340619815972e-8,1.2236550446172036e-5,0.02918435993906998,1.0070429795547309
proteomics,zhu_V_natriegens,high,928,z_slope,0.07540743990582072,0.03553719515220849,0.033843618172572656,1.659514253609785e-5,0.025143999861747868,1.0731012420966926
proteomics,zhu_V_natriegens,high,928,z_mean,-0.1681330876709664,0.03565483629306901,2.410279893105379e-6,1.659514253609785e-5,0.025143999861747868,1.0731012420966926
