dataset,metric,estimate,conf_low,conf_high,p_value,sig,species,dataset_clean
schmidt_2016,Mean Expression,-0.03334614920503003,-0.07722911134039273,0.010665764032130239,0.1375015888692095,N.S.,E. coli,Schmidt dataset
schmidt_2016,Growth-Dependent Slope,-0.05707174010327062,-0.10081486511087942,-0.013108389096281363,0.010983986148223743,*,E. coli,Schmidt dataset
peebo_2015,Mean Expression,0.03747245330865097,-0.023369487616557254,0.09803784023839791,0.2272700104602647,N.S.,E. coli,Peebo dataset
peebo_2015,Growth-Dependent Slope,-0.03762181143193199,-0.09818596947916149,0.023219999795718132,0.22542164735421819,N.S.,E. coli,Peebo dataset
li_2014_all,Mean Expression,-0.048319241595614494,-0.08049580044662075,-0.01604208223942364,0.0033602388107297257,**,E. coli,Li dataset
li_2014_all,Growth-Dependent Slope,-0.13676416223071983,-0.16832274697212896,-0.10492550221509271,7.739803175970429e-17,***,E. coli,Li dataset
valgepea_2013_prot,Mean Expression,-0.006675588774696341,-0.06453342889145477,0.05122698135087259,0.8213252711444667,N.S.,E. coli,Valgepea dataset
valgepea_2013_prot,Growth-Dependent Slope,-0.05433384771663425,-0.11186480950693123,0.0035601247917728626,0.06584196790727795,N.S.,E. coli,Valgepea dataset
Goelzer_2015,Mean Expression,-0.027996178346155656,-0.0914710223618201,0.035705244876426734,0.3889747961698451,N.S.,B. subtilis,Goelzer dataset
Goelzer_2015,Growth-Dependent Slope,0.04213353463896051,-0.021562089693138792,0.10548850001873851,0.1946916504668597,N.S.,B. subtilis,Goelzer dataset
zhu_B_subtilis,Mean Expression,0.05694590225258489,0.009707076457675662,0.10393111975869211,0.018181029898751356,*,B. subtilis,Zhu B. subtilis dataset
zhu_B_subtilis,Growth-Dependent Slope,0.007088238166404702,-0.040190179389935694,0.05433498740580799,0.7689415715443775,N.S.,B. subtilis,Zhu B. subtilis dataset
zhu_E_coli,Mean Expression,-0.038407921534984804,-0.0864468755785603,0.009809224003509531,0.11842414528557592,N.S.,E. coli,Zhu E. coli dataset
zhu_E_coli,Growth-Dependent Slope,0.057495453978300644,0.009322301672984843,0.10540234708949656,0.019362759648018993,*,E. coli,Zhu E. coli dataset
zhu_V_natriegens,Mean Expression,-0.1394727948211957,-0.1907082331128406,-0.08747953234878247,1.8368414761035704e-7,***,V. natriegens,Zhu V. natriegens dataset
zhu_V_natriegens,Growth-Dependent Slope,0.017905433467198167,-0.03476279771715858,0.07047448263158611,0.5052229578706136,N.S.,V. natriegens,Zhu V. natriegens dataset
