assay,cutoff,gene_filter,fc_mode,dataset,group,m_pairs,frac_raw,frac_bonf
proteomics,rel20_abs0.1,all,unfiltered,Goelzer_2015,oriC,10,0,0
proteomics,rel20_abs0.1,all,unfiltered,Goelzer_2015,ter,10,0.5,0.4
proteomics,rel20_abs0.1,all,unfiltered,li_2014_all,oriC,3,1,1
proteomics,rel20_abs0.1,all,unfiltered,li_2014_all,ter,3,0.6666666666666666,0.6666666666666666
proteomics,rel20_abs0.1,all,unfiltered,peebo_2015,oriC,184,0.592391304347826,0.33695652173913043
proteomics,rel20_abs0.1,all,unfiltered,peebo_2015,ter,184,0.8586956521739131,0.6521739130434783
proteomics,rel20_abs0.1,all,unfiltered,schmidt_2016,oriC,136,0.45588235294117646,0.17647058823529413
proteomics,rel20_abs0.1,all,unfiltered,schmidt_2016,ter,136,0.5,0.3161764705882353
proteomics,rel20_abs0.1,all,unfiltered,valgepea_2013_prot,oriC,6,0.8333333333333334,0.8333333333333334
proteomics,rel20_abs0.1,all,unfiltered,valgepea_2013_prot,ter,6,1,1
proteomics,rel20_abs0.1,all,unfiltered,zhu_B_subtilis,oriC,41,0.8536585365853658,0.8048780487804879
proteomics,rel20_abs0.1,all,unfiltered,zhu_B_subtilis,ter,41,0.7073170731707317,0.5609756097560976
proteomics,rel20_abs0.1,all,unfiltered,zhu_E_coli,oriC,46,0.6956521739130435,0.5434782608695652
proteomics,rel20_abs0.1,all,unfiltered,zhu_E_coli,ter,46,0.8260869565217391,0.8043478260869565
proteomics,rel20_abs0.1,all,unfiltered,zhu_V_natriegens,oriC,50,0.82,0.64
proteomics,rel20_abs0.1,all,unfiltered,zhu_V_natriegens,ter,50,0.74,0.6
