assay,cutoff,gene_filter,fc_mode,dataset,group,m_pairs,frac_raw,frac_bonf
proteomics,rel0_abs0,high,filtered,Goelzer_2015,oriC,10,0.2,0
proteomics,rel0_abs0,high,filtered,Goelzer_2015,ter,10,0.6,0.6
proteomics,rel0_abs0,high,filtered,li_2014_all,oriC,3,0.3333333333333333,0.3333333333333333
proteomics,rel0_abs0,high,filtered,li_2014_all,ter,3,1,0.6666666666666666
proteomics,rel0_abs0,high,filtered,peebo_2015,oriC,249,0.357429718875502,0.0642570281124498
proteomics,rel0_abs0,high,filtered,peebo_2015,ter,249,0.6867469879518072,0.42971887550200805
proteomics,rel0_abs0,high,filtered,schmidt_2016,oriC,188,0.44680851063829785,0.12234042553191489
proteomics,rel0_abs0,high,filtered,schmidt_2016,ter,188,0.44148936170212766,0.23404255319148937
proteomics,rel0_abs0,high,filtered,valgepea_2013_prot,oriC,10,0.6,0.6
proteomics,rel0_abs0,high,filtered,valgepea_2013_prot,ter,10,0.5,0.5
proteomics,rel0_abs0,high,filtered,zhu_B_subtilis,oriC,45,0.6888888888888889,0.5111111111111111
proteomics,rel0_abs0,high,filtered,zhu_B_subtilis,ter,45,0.7111111111111111,0.5111111111111111
proteomics,rel0_abs0,high,filtered,zhu_E_coli,oriC,55,0.6,0.2909090909090909
proteomics,rel0_abs0,high,filtered,zhu_E_coli,ter,55,0.6727272727272727,0.45454545454545453
proteomics,rel0_abs0,high,filtered,zhu_V_natriegens,oriC,55,0.6727272727272727,0.36363636363636365
proteomics,rel0_abs0,high,filtered,zhu_V_natriegens,ter,55,0.16363636363636364,0.05454545454545454
