assay,cutoff,gene_filter,fc_mode,dataset,group,m_pairs,frac_raw,frac_bonf
proteomics,rel50_abs0.25,high,unfiltered,Goelzer_2015,oriC,8,0,0
proteomics,rel50_abs0.25,high,unfiltered,Goelzer_2015,ter,8,0.375,0.25
proteomics,rel50_abs0.25,high,unfiltered,li_2014_all,oriC,2,1,1
proteomics,rel50_abs0.25,high,unfiltered,li_2014_all,ter,2,1,1
proteomics,rel50_abs0.25,high,unfiltered,peebo_2015,oriC,97,0.4742268041237113,0.09278350515463918
proteomics,rel50_abs0.25,high,unfiltered,peebo_2015,ter,97,0.8969072164948454,0.8041237113402062
proteomics,rel50_abs0.25,high,unfiltered,schmidt_2016,oriC,75,0.41333333333333333,0.12
proteomics,rel50_abs0.25,high,unfiltered,schmidt_2016,ter,75,0.56,0.48
proteomics,rel50_abs0.25,high,unfiltered,valgepea_2013_prot,oriC,3,0.3333333333333333,0.3333333333333333
proteomics,rel50_abs0.25,high,unfiltered,valgepea_2013_prot,ter,3,0.3333333333333333,0.3333333333333333
proteomics,rel50_abs0.25,high,unfiltered,zhu_B_subtilis,oriC,29,0.6896551724137931,0.41379310344827586
proteomics,rel50_abs0.25,high,unfiltered,zhu_B_subtilis,ter,29,0.7586206896551724,0.6206896551724138
proteomics,rel50_abs0.25,high,unfiltered,zhu_E_coli,oriC,33,0.6666666666666666,0.5454545454545454
proteomics,rel50_abs0.25,high,unfiltered,zhu_E_coli,ter,33,0.7272727272727273,0.5757575757575758
proteomics,rel50_abs0.25,high,unfiltered,zhu_V_natriegens,oriC,36,0.8611111111111112,0.6666666666666666
proteomics,rel50_abs0.25,high,unfiltered,zhu_V_natriegens,ter,36,0.6666666666666666,0.25
