assay,dataset,cutoff,gene_filter,fc_mode,n_total,group,p,n_genes,med_log2fc
proteomics,schmidt_2016,rel0_abs0,all,filtered,1972,oriC,0.6142939891193804,660,-0.0011226339719781606
proteomics,schmidt_2016,rel0_abs0,all,filtered,1972,ter,0.011430691089270016,646,0.027762722862686388
proteomics,schmidt_2016,rel0_abs0,all,filtered,1923,oriC,0.8750871462979188,644,-0.01216770490646571
proteomics,schmidt_2016,rel0_abs0,all,filtered,1923,ter,0.10936882958660349,631,-0.04667792110722329
proteomics,schmidt_2016,rel0_abs0,all,filtered,1942,oriC,4.277464706420751e-4,649,-0.11670533546783059
proteomics,schmidt_2016,rel0_abs0,all,filtered,1942,ter,0.004445091249525905,640,-0.09638547582284795
proteomics,schmidt_2016,rel0_abs0,all,filtered,1961,oriC,0.27623266290567255,660,-0.01365984436212502
proteomics,schmidt_2016,rel0_abs0,all,filtered,1961,ter,0.6817356861995705,639,-0.003256155771324958
proteomics,schmidt_2016,rel0_abs0,all,filtered,1940,oriC,0.06928964288505961,649,0.05147497696503003
proteomics,schmidt_2016,rel0_abs0,all,filtered,1940,ter,0.41546281617828057,640,-0.010977064011669957
proteomics,schmidt_2016,rel0_abs0,all,filtered,1947,oriC,0.8005919285438884,651,-0.03201309705125561
proteomics,schmidt_2016,rel0_abs0,all,filtered,1947,ter,0.0321541492312004,641,-0.025424283565046626
proteomics,schmidt_2016,rel0_abs0,all,filtered,1927,oriC,0.12983604843398602,649,-0.08200836806283787
proteomics,schmidt_2016,rel0_abs0,all,filtered,1927,ter,8.717648450809815e-4,634,-0.11815424223440632
proteomics,schmidt_2016,rel0_abs0,all,filtered,1942,oriC,0.8089471916344755,650,-0.012999435272690821
proteomics,schmidt_2016,rel0_abs0,all,filtered,1942,ter,0.6053455175315474,637,0.0026056153539508417
proteomics,schmidt_2016,rel0_abs0,all,filtered,1932,oriC,0.17552169378043367,644,0.014613071802710063
proteomics,schmidt_2016,rel0_abs0,all,filtered,1932,ter,0.3893667198870108,633,-0.017839809250337974
proteomics,schmidt_2016,rel0_abs0,all,filtered,1925,oriC,0.5611855941752157,645,-0.022170706300516495
proteomics,schmidt_2016,rel0_abs0,all,filtered,1925,ter,0.05161505513706366,629,-0.044899845462202576
proteomics,schmidt_2016,rel0_abs0,all,filtered,1963,oriC,0.8548318035268317,659,-0.005903873807653017
proteomics,schmidt_2016,rel0_abs0,all,filtered,1963,ter,0.9777891037260512,644,-0.0011613399031725397
proteomics,schmidt_2016,rel0_abs0,all,filtered,1824,oriC,0.2542848222902068,616,-0.12174433302636459
proteomics,schmidt_2016,rel0_abs0,all,filtered,1824,ter,0.2706724517907046,596,-0.12730590887398496
