assay,dataset,cutoff,gene_filter,fc_mode,n_total,group,p,n_genes,med_log2fc
proteomics,schmidt_2016,rel50_abs0.25,all,unfiltered,1985,oriC,0.14731300099333014,664,0.030138449383117934
proteomics,schmidt_2016,rel50_abs0.25,all,unfiltered,1985,ter,0.3589737631165045,654,-0.022256110332687304
proteomics,schmidt_2016,rel50_abs0.25,all,unfiltered,1985,oriC,0.5855358111757865,664,-0.044008326655881766
proteomics,schmidt_2016,rel50_abs0.25,all,unfiltered,1985,ter,0.0356130839831885,654,-0.023930370132895173
proteomics,schmidt_2016,rel50_abs0.25,all,unfiltered,1985,oriC,0.08169975479601084,664,-0.10881194864529545
proteomics,schmidt_2016,rel50_abs0.25,all,unfiltered,1985,ter,5.111988845216152e-4,654,-0.13057639817301292
proteomics,schmidt_2016,rel50_abs0.25,all,unfiltered,1985,oriC,0.5802624820506639,664,-0.028737697494510085
proteomics,schmidt_2016,rel50_abs0.25,all,unfiltered,1985,ter,0.5823901091550374,654,0.002407334566613282
proteomics,schmidt_2016,rel50_abs0.25,all,unfiltered,1985,oriC,0.3492591090191874,664,-0.010343500102807037
proteomics,schmidt_2016,rel50_abs0.25,all,unfiltered,1985,ter,0.32923123254195885,654,-0.022343432304969643
proteomics,schmidt_2016,rel50_abs0.25,all,unfiltered,1985,oriC,0.32245945643446794,664,-0.05641861108500008
proteomics,schmidt_2016,rel50_abs0.25,all,unfiltered,1985,ter,0.020724851712130538,654,-0.06702085280181752
proteomics,schmidt_2016,rel50_abs0.25,all,unfiltered,1985,oriC,0.9368945947457727,664,-0.009178637601040773
proteomics,schmidt_2016,rel50_abs0.25,all,unfiltered,1985,ter,0.940136116216635,654,2.03599756773023e-4
proteomics,schmidt_2016,rel50_abs0.25,all,unfiltered,1985,oriC,0.01567654911233561,664,-0.18493341459584844
proteomics,schmidt_2016,rel50_abs0.25,all,unfiltered,1985,ter,0.06917632979951956,654,-0.17201085229163315
proteomics,schmidt_2016,rel50_abs0.25,all,unfiltered,1985,oriC,0.741750721563182,664,-0.048031161846222914
proteomics,schmidt_2016,rel50_abs0.25,all,unfiltered,1985,ter,0.09841494751831409,654,-0.10313724282281345
proteomics,schmidt_2016,rel50_abs0.25,all,unfiltered,1985,oriC,0.9438135360499007,664,-0.04842963491393447
proteomics,schmidt_2016,rel50_abs0.25,all,unfiltered,1985,ter,0.31120552835031906,654,-0.06054822728119154
