assay,dataset,cutoff,gene_filter,fc_mode,n_total,group,p,n_genes,med_log2fc
proteomics,schmidt_2016,rel0_abs0,high,filtered,1408,oriC,0.9467877914724987,469,0.006295542684326708
proteomics,schmidt_2016,rel0_abs0,high,filtered,1408,ter,0.017684577574391295,449,0.04493700512229051
proteomics,schmidt_2016,rel0_abs0,high,filtered,1403,oriC,0.5262764912224474,469,0.018321112839426317
proteomics,schmidt_2016,rel0_abs0,high,filtered,1403,ter,0.282679991858969,446,-0.02969914795671636
proteomics,schmidt_2016,rel0_abs0,high,filtered,1404,oriC,0.023757647946942212,469,-0.08637876125762893
proteomics,schmidt_2016,rel0_abs0,high,filtered,1404,ter,0.023074657228356905,449,-0.05204664174098647
proteomics,schmidt_2016,rel0_abs0,high,filtered,1407,oriC,0.7337244081299383,469,0.012230449349504017
proteomics,schmidt_2016,rel0_abs0,high,filtered,1407,ter,0.5032247196974213,448,0.038700903745494994
proteomics,schmidt_2016,rel0_abs0,high,filtered,1400,oriC,0.015087105722523088,467,0.13732079749701512
proteomics,schmidt_2016,rel0_abs0,high,filtered,1400,ter,0.6339488862660472,449,0.02262399225432558
proteomics,schmidt_2016,rel0_abs0,high,filtered,1405,oriC,0.42972839316664807,469,0.030104961218944185
proteomics,schmidt_2016,rel0_abs0,high,filtered,1405,ter,0.058784527051420295,449,-0.014323479728410606
proteomics,schmidt_2016,rel0_abs0,high,filtered,1402,oriC,0.6693742174565444,469,-0.027083424313799367
proteomics,schmidt_2016,rel0_abs0,high,filtered,1402,ter,0.00934561174574629,446,-0.10855712583357
proteomics,schmidt_2016,rel0_abs0,high,filtered,1406,oriC,0.5396983240858753,469,0.03379281071651597
proteomics,schmidt_2016,rel0_abs0,high,filtered,1406,ter,0.4216062707793651,448,0.05643382936885348
proteomics,schmidt_2016,rel0_abs0,high,filtered,1394,oriC,0.016866636671164247,463,0.10653186605442691
proteomics,schmidt_2016,rel0_abs0,high,filtered,1394,ter,0.590143658897683,446,0.02074283017674458
proteomics,schmidt_2016,rel0_abs0,high,filtered,1400,oriC,0.7361206050641698,468,0.026323583590566
proteomics,schmidt_2016,rel0_abs0,high,filtered,1400,ter,0.124482720386028,445,-0.02910806013284961
proteomics,schmidt_2016,rel0_abs0,high,filtered,1406,oriC,0.33692688588300085,469,0.04064338209071311
proteomics,schmidt_2016,rel0_abs0,high,filtered,1406,ter,0.9799903280337372,449,0.030959539439649335
proteomics,schmidt_2016,rel0_abs0,high,filtered,1352,oriC,0.8842665436613655,455,-0.018752195300843977
proteomics,schmidt_2016,rel0_abs0,high,filtered,1352,ter,0.9189666451402381,428,-0.04893230570086556
proteomics,schmidt_2016,rel0_abs0,high,filtered,1370,oriC,0.12298092545868683,457,0.03826768313135158
proteomics,schmidt_2016,rel0_abs0,high,filtered,1370,ter,0.5272144966024661,436,-0.021662563686842
proteomics,schmidt_2016,rel0_abs0,high,filtered,1374,oriC,0.053693093595903754,457,0.08606023367202312
proteomics,schmidt_2016,rel0_abs0,high,filtered,1374,ter,0.9779542582655392,439,0.010416638912056495
proteomics,schmidt_2016,rel0_abs0,high,filtered,1357,oriC,0.32136270502183023,452,0.0010912536185046504
proteomics,schmidt_2016,rel0_abs0,high,filtered,1357,ter,0.42097647552147766,430,0.036137686177275224
proteomics,schmidt_2016,rel0_abs0,high,filtered,1384,oriC,0.6928836762263705,462,-4.6480187361205773e-4
proteomics,schmidt_2016,rel0_abs0,high,filtered,1384,ter,0.23528744698364204,438,-0.05495263171203048
proteomics,schmidt_2016,rel0_abs0,high,filtered,1370,oriC,0.05122320176808253,459,0.10192412207761892
proteomics,schmidt_2016,rel0_abs0,high,filtered,1370,ter,0.5496361000940875,432,-0.015901029107579078
proteomics,schmidt_2016,rel0_abs0,high,filtered,1358,oriC,0.0809397321977451,452,-0.08963849295605478
proteomics,schmidt_2016,rel0_abs0,high,filtered,1358,ter,8.935940721771978e-7,432,-0.2906784204168084
proteomics,schmidt_2016,rel0_abs0,high,filtered,1335,oriC,0.17662918054241203,447,-0.07593214665073379
proteomics,schmidt_2016,rel0_abs0,high,filtered,1335,ter,7.163162797621847e-11,426,-0.44644193757647754
proteomics,schmidt_2016,rel0_abs0,high,filtered,1404,oriC,0.22843309712836624,469,0.03667868033464212
proteomics,schmidt_2016,rel0_abs0,high,filtered,1404,ter,0.010581511424557745,447,-0.072391371438989
proteomics,schmidt_2016,rel0_abs0,high,filtered,1403,oriC,0.00897199278550033,469,-0.07462779774162613
proteomics,schmidt_2016,rel0_abs0,high,filtered,1403,ter,1.2940728174779567e-4,449,-0.11266891847913969
proteomics,schmidt_2016,rel0_abs0,high,filtered,1408,oriC,0.003971400310433875,469,-0.03821750285686079
proteomics,schmidt_2016,rel0_abs0,high,filtered,1408,ter,0.004256344869659216,449,-0.029620209391970576
proteomics,schmidt_2016,rel0_abs0,high,filtered,1402,oriC,0.005163422241133493,469,0.0939882978079738
proteomics,schmidt_2016,rel0_abs0,high,filtered,1402,ter,0.022479278241319428,448,-0.0243732357023248
proteomics,schmidt_2016,rel0_abs0,high,filtered,1406,oriC,0.399162720413594,469,0.007739815944116604
proteomics,schmidt_2016,rel0_abs0,high,filtered,1406,ter,6.293169614825693e-4,449,-0.0682968922575141
proteomics,schmidt_2016,rel0_abs0,high,filtered,1404,oriC,0.49563585732390425,469,-0.042303343202552336
proteomics,schmidt_2016,rel0_abs0,high,filtered,1404,ter,1.920727842120341e-5,447,-0.143525568843699
proteomics,schmidt_2016,rel0_abs0,high,filtered,1405,oriC,0.275716847090666,469,0.033182806768352634
proteomics,schmidt_2016,rel0_abs0,high,filtered,1405,ter,0.3228091434249121,449,9.360944609914197e-4
proteomics,schmidt_2016,rel0_abs0,high,filtered,1401,oriC,0.02632859779459106,466,0.059516065134373894
proteomics,schmidt_2016,rel0_abs0,high,filtered,1401,ter,0.07530988248053819,449,-0.033852398618318416
proteomics,schmidt_2016,rel0_abs0,high,filtered,1401,oriC,0.9731576321367003,468,-0.003162584131457865
proteomics,schmidt_2016,rel0_abs0,high,filtered,1401,ter,0.0031498403724403387,446,-0.06960264583170273
proteomics,schmidt_2016,rel0_abs0,high,filtered,1406,oriC,0.9478721923917078,469,-0.009230109441362306
proteomics,schmidt_2016,rel0_abs0,high,filtered,1406,ter,0.044921129919990054,449,-0.023519108837395563
proteomics,schmidt_2016,rel0_abs0,high,filtered,1360,oriC,0.7299547001219809,459,-0.09054323370379011
proteomics,schmidt_2016,rel0_abs0,high,filtered,1360,ter,0.916912379020951,430,-0.06914607879777455
proteomics,schmidt_2016,rel0_abs0,high,filtered,1379,oriC,0.11404744161027236,457,0.0386163252809653
proteomics,schmidt_2016,rel0_abs0,high,filtered,1379,ter,0.03560161148193521,440,-0.09106327501418683
proteomics,schmidt_2016,rel0_abs0,high,filtered,1374,oriC,0.0635605268465535,458,0.045166728597761364
proteomics,schmidt_2016,rel0_abs0,high,filtered,1374,ter,0.6929697050487507,437,-0.006508580221803895
proteomics,schmidt_2016,rel0_abs0,high,filtered,1354,oriC,0.4503454873245398,451,-0.002182703879169854
proteomics,schmidt_2016,rel0_abs0,high,filtered,1354,ter,0.8154918118691372,428,-0.007235073422707145
proteomics,schmidt_2016,rel0_abs0,high,filtered,1390,oriC,0.9493968242779468,465,-0.047925925762991414
proteomics,schmidt_2016,rel0_abs0,high,filtered,1390,ter,0.011725106366906204,439,-0.11727592958586122
proteomics,schmidt_2016,rel0_abs0,high,filtered,1371,oriC,0.03771186977149714,459,0.0650444368712098
proteomics,schmidt_2016,rel0_abs0,high,filtered,1371,ter,0.9366109513293941,432,-0.018437006659327692
proteomics,schmidt_2016,rel0_abs0,high,filtered,1371,oriC,0.09140398375955489,452,-0.13590360872786028
proteomics,schmidt_2016,rel0_abs0,high,filtered,1371,ter,2.563987422588736e-10,441,-0.34648240431149796
proteomics,schmidt_2016,rel0_abs0,high,filtered,1353,oriC,0.15864990512508967,449,-0.07638489511167092
proteomics,schmidt_2016,rel0_abs0,high,filtered,1353,ter,8.151241103652621e-15,437,-0.5252941571171938
proteomics,schmidt_2016,rel0_abs0,high,filtered,1403,oriC,5.533358702584929e-4,469,-0.09919269793944012
proteomics,schmidt_2016,rel0_abs0,high,filtered,1403,ter,0.04523762542542895,448,-0.03451614837624546
proteomics,schmidt_2016,rel0_abs0,high,filtered,1402,oriC,0.03651833702458194,469,-0.053490563508078307
proteomics,schmidt_2016,rel0_abs0,high,filtered,1402,ter,0.6723514997148532,445,0.00156341418954856
proteomics,schmidt_2016,rel0_abs0,high,filtered,1402,oriC,9.91987661686387e-4,469,0.1256975336276632
proteomics,schmidt_2016,rel0_abs0,high,filtered,1402,ter,0.5727381859660059,448,0.06456915231547439
proteomics,schmidt_2016,rel0_abs0,high,filtered,1406,oriC,0.1026598951583959,469,0.04628239888091251
proteomics,schmidt_2016,rel0_abs0,high,filtered,1406,ter,0.8910715315590343,448,0.05819305209551551
proteomics,schmidt_2016,rel0_abs0,high,filtered,1406,oriC,0.5231694502257362,469,-0.029947023074956322
proteomics,schmidt_2016,rel0_abs0,high,filtered,1406,ter,0.05811243015506432,448,-0.01902119711228089
proteomics,schmidt_2016,rel0_abs0,high,filtered,1407,oriC,0.13160452434343722,469,0.04194028807006971
proteomics,schmidt_2016,rel0_abs0,high,filtered,1407,ter,0.10079514298516083,448,0.10626609781160798
proteomics,schmidt_2016,rel0_abs0,high,filtered,1399,oriC,0.011374369221398395,465,0.06636705865477285
proteomics,schmidt_2016,rel0_abs0,high,filtered,1399,ter,0.44146620645893186,448,0.0581264764765735
proteomics,schmidt_2016,rel0_abs0,high,filtered,1406,oriC,0.4456090728347457,469,0.01971409560599162
proteomics,schmidt_2016,rel0_abs0,high,filtered,1406,ter,0.6873476778040191,448,0.015944587430596728
proteomics,schmidt_2016,rel0_abs0,high,filtered,1399,oriC,0.7393727569310768,469,-0.009796982905892787
proteomics,schmidt_2016,rel0_abs0,high,filtered,1399,ter,0.591179999151862,445,-0.007406215547631576
proteomics,schmidt_2016,rel0_abs0,high,filtered,1378,oriC,0.22738531403645681,464,-0.0702589352593945
proteomics,schmidt_2016,rel0_abs0,high,filtered,1378,ter,0.6590700916365365,440,-0.009232858724374482
proteomics,schmidt_2016,rel0_abs0,high,filtered,1393,oriC,0.24913659399227073,464,0.029840848790515684
proteomics,schmidt_2016,rel0_abs0,high,filtered,1393,ter,0.8729712755107367,445,0.06306775376362732
proteomics,schmidt_2016,rel0_abs0,high,filtered,1389,oriC,0.15664742481384691,462,0.05748279190004123
proteomics,schmidt_2016,rel0_abs0,high,filtered,1389,ter,0.4229477490846411,443,0.11624778279499624
proteomics,schmidt_2016,rel0_abs0,high,filtered,1373,oriC,0.6288111913946984,459,-0.0367513625152404
proteomics,schmidt_2016,rel0_abs0,high,filtered,1373,ter,0.05446136934419731,435,0.05738184061720596
proteomics,schmidt_2016,rel0_abs0,high,filtered,1395,oriC,0.674497835419116,467,0.0072505186911087285
