assay,dataset,cutoff,gene_filter,fc_mode,n_total,group,p,n_genes,med_log2fc
proteomics,schmidt_2016,rel50_abs0.25,high,unfiltered,1408,oriC,0.023173600991538708,469,0.13575116298964873
proteomics,schmidt_2016,rel50_abs0.25,high,unfiltered,1408,ter,0.6339488862660472,449,0.02262399225432558
proteomics,schmidt_2016,rel50_abs0.25,high,unfiltered,1408,oriC,0.42972839316664807,469,0.030104961218944185
proteomics,schmidt_2016,rel50_abs0.25,high,unfiltered,1408,ter,0.058784527051420295,449,-0.014323479728410606
proteomics,schmidt_2016,rel50_abs0.25,high,unfiltered,1408,oriC,0.6693742174565444,469,-0.027083424313799367
proteomics,schmidt_2016,rel50_abs0.25,high,unfiltered,1408,ter,0.008523413104898334,449,-0.11019070253966926
proteomics,schmidt_2016,rel50_abs0.25,high,unfiltered,1408,oriC,0.5396983240858753,469,0.03379281071651597
proteomics,schmidt_2016,rel50_abs0.25,high,unfiltered,1408,ter,0.40374924520221356,449,0.059964888542072464
proteomics,schmidt_2016,rel50_abs0.25,high,unfiltered,1408,oriC,0.02684981754947905,469,0.10021223744756563
proteomics,schmidt_2016,rel50_abs0.25,high,unfiltered,1408,ter,0.4627925095947021,449,0.0015727135612363524
proteomics,schmidt_2016,rel50_abs0.25,high,unfiltered,1408,oriC,0.787137821943066,469,0.0252736276273368
proteomics,schmidt_2016,rel50_abs0.25,high,unfiltered,1408,ter,0.10404716410827014,449,-0.03447208171990664
proteomics,schmidt_2016,rel50_abs0.25,high,unfiltered,1408,oriC,0.33692688588300085,469,0.04064338209071311
proteomics,schmidt_2016,rel50_abs0.25,high,unfiltered,1408,ter,0.9799903280337372,449,0.030959539439649335
proteomics,schmidt_2016,rel50_abs0.25,high,unfiltered,1408,oriC,0.4025991817094744,469,-0.05366034400807502
proteomics,schmidt_2016,rel50_abs0.25,high,unfiltered,1408,ter,0.5318342988204925,449,-0.06350348597144756
proteomics,schmidt_2016,rel50_abs0.25,high,unfiltered,1408,oriC,0.3455636735258627,469,0.03209620660328117
proteomics,schmidt_2016,rel50_abs0.25,high,unfiltered,1408,ter,0.3937950954041703,449,-0.037157736928244554
proteomics,schmidt_2016,rel50_abs0.25,high,unfiltered,1408,oriC,0.2916184002547254,469,0.061969814205336426
proteomics,schmidt_2016,rel50_abs0.25,high,unfiltered,1408,ter,0.5758777706047546,449,-0.007951217163472643
proteomics,schmidt_2016,rel50_abs0.25,high,unfiltered,1408,oriC,0.9989132306215943,469,-0.03584381017123571
proteomics,schmidt_2016,rel50_abs0.25,high,unfiltered,1408,ter,0.9180672677102132,449,0.00921834842994343
proteomics,schmidt_2016,rel50_abs0.25,high,unfiltered,1408,oriC,0.9124199579491962,469,-0.013197931339772167
proteomics,schmidt_2016,rel50_abs0.25,high,unfiltered,1408,ter,0.1842306941797705,449,-0.08309733394641683
proteomics,schmidt_2016,rel50_abs0.25,high,unfiltered,1408,oriC,0.18361224652398303,469,0.07698252675571254
proteomics,schmidt_2016,rel50_abs0.25,high,unfiltered,1408,ter,0.6391366205567488,449,-0.06634274968725216
proteomics,schmidt_2016,rel50_abs0.25,high,unfiltered,1408,oriC,0.03912729085294268,469,-0.11524957335105405
proteomics,schmidt_2016,rel50_abs0.25,high,unfiltered,1408,ter,7.72139455530558e-8,449,-0.3111617559812082
proteomics,schmidt_2016,rel50_abs0.25,high,unfiltered,1408,oriC,0.0328416730942295,469,-0.1027421797909343
proteomics,schmidt_2016,rel50_abs0.25,high,unfiltered,1408,ter,2.0954089289710825e-13,449,-0.48198299937820904
proteomics,schmidt_2016,rel50_abs0.25,high,unfiltered,1408,oriC,0.275716847090666,469,0.033182806768352634
proteomics,schmidt_2016,rel50_abs0.25,high,unfiltered,1408,ter,0.3228091434249121,449,9.360944609914197e-4
proteomics,schmidt_2016,rel50_abs0.25,high,unfiltered,1408,oriC,0.02248119555268946,469,0.060266636626692995
proteomics,schmidt_2016,rel50_abs0.25,high,unfiltered,1408,ter,0.07530988248053819,449,-0.033852398618318416
proteomics,schmidt_2016,rel50_abs0.25,high,unfiltered,1408,oriC,0.9932077713230409,469,-0.003992514584460801
proteomics,schmidt_2016,rel50_abs0.25,high,unfiltered,1408,ter,0.0030266874165175922,449,-0.07081766545171929
proteomics,schmidt_2016,rel50_abs0.25,high,unfiltered,1408,oriC,0.9478721923917078,469,-0.009230109441362306
proteomics,schmidt_2016,rel50_abs0.25,high,unfiltered,1408,ter,0.044921129919990054,449,-0.023519108837395563
proteomics,schmidt_2016,rel50_abs0.25,high,unfiltered,1408,oriC,0.30090832127553663,469,-0.10130648666108451
proteomics,schmidt_2016,rel50_abs0.25,high,unfiltered,1408,ter,0.516914802317084,449,-0.0954716848793917
proteomics,schmidt_2016,rel50_abs0.25,high,unfiltered,1408,oriC,0.2694659438603234,469,0.03158677958356638
proteomics,schmidt_2016,rel50_abs0.25,high,unfiltered,1408,ter,0.025842056076141536,449,-0.09862520012666255
proteomics,schmidt_2016,rel50_abs0.25,high,unfiltered,1408,oriC,0.2953738311787609,469,0.02636221312541717
proteomics,schmidt_2016,rel50_abs0.25,high,unfiltered,1408,ter,0.29466116814005183,449,-0.02855250028128942
proteomics,schmidt_2016,rel50_abs0.25,high,unfiltered,1408,oriC,0.8081697244833632,469,-0.04743464193163798
proteomics,schmidt_2016,rel50_abs0.25,high,unfiltered,1408,ter,0.5235188252170049,449,-0.04597183696886553
proteomics,schmidt_2016,rel50_abs0.25,high,unfiltered,1408,oriC,0.8290757373039803,469,-0.059232529418691254
proteomics,schmidt_2016,rel50_abs0.25,high,unfiltered,1408,ter,0.010663401003047275,449,-0.11917539155596285
proteomics,schmidt_2016,rel50_abs0.25,high,unfiltered,1408,oriC,0.14689183333665948,469,0.037522966225570206
proteomics,schmidt_2016,rel50_abs0.25,high,unfiltered,1408,ter,0.42199982915700557,449,-0.05052537851482271
proteomics,schmidt_2016,rel50_abs0.25,high,unfiltered,1408,oriC,0.04920394348649131,469,-0.15242355597002244
proteomics,schmidt_2016,rel50_abs0.25,high,unfiltered,1408,ter,9.532932304005074e-11,449,-0.3596957144146977
proteomics,schmidt_2016,rel50_abs0.25,high,unfiltered,1408,oriC,0.028509831943129355,469,-0.11747363298008587
proteomics,schmidt_2016,rel50_abs0.25,high,unfiltered,1408,ter,7.57804716043397e-16,449,-0.5562256186636645
proteomics,schmidt_2016,rel50_abs0.25,high,unfiltered,1408,oriC,0.1230257796841953,469,-0.08771713741051475
proteomics,schmidt_2016,rel50_abs0.25,high,unfiltered,1408,ter,0.8592062205977726,449,-0.016237992809679233
proteomics,schmidt_2016,rel50_abs0.25,high,unfiltered,1408,oriC,0.22179413567979445,469,0.030808299981645016
proteomics,schmidt_2016,rel50_abs0.25,high,unfiltered,1408,ter,0.9828897982463264,449,0.06013349372215043
proteomics,schmidt_2016,rel50_abs0.25,high,unfiltered,1408,oriC,0.3506370929176335,469,0.04482370490917086
proteomics,schmidt_2016,rel50_abs0.25,high,unfiltered,1408,ter,0.7035168312769648,449,0.1076238550631696
proteomics,schmidt_2016,rel50_abs0.25,high,unfiltered,1408,oriC,0.3086101332569328,469,-0.0472170763541398
proteomics,schmidt_2016,rel50_abs0.25,high,unfiltered,1408,ter,0.20666985677476024,449,0.041122783292389616
proteomics,schmidt_2016,rel50_abs0.25,high,unfiltered,1408,oriC,0.5765397478796109,469,0.00520298828168975
proteomics,schmidt_2016,rel50_abs0.25,high,unfiltered,1408,ter,0.5299277350270981,449,0.006013057755293616
proteomics,schmidt_2016,rel50_abs0.25,high,unfiltered,1408,oriC,0.42913188033724636,469,0.04277134803515774
proteomics,schmidt_2016,rel50_abs0.25,high,unfiltered,1408,ter,0.1534536890452821,449,0.09386285409095733
proteomics,schmidt_2016,rel50_abs0.25,high,unfiltered,1408,oriC,0.02956296350429205,469,-0.10946598898580391
proteomics,schmidt_2016,rel50_abs0.25,high,unfiltered,1408,ter,1.5002932976277035e-6,449,-0.2729994227580501
proteomics,schmidt_2016,rel50_abs0.25,high,unfiltered,1408,oriC,0.005267747793857318,469,-0.11565573386401651
proteomics,schmidt_2016,rel50_abs0.25,high,unfiltered,1408,ter,3.4162380873106032e-12,449,-0.44128978137478847
proteomics,schmidt_2016,rel50_abs0.25,high,unfiltered,1408,oriC,0.758732704372055,469,-0.03503401463071496
proteomics,schmidt_2016,rel50_abs0.25,high,unfiltered,1408,ter,0.30243281448499326,449,-0.034953114518937164
proteomics,schmidt_2016,rel50_abs0.25,high,unfiltered,1408,oriC,0.001875621480707985,469,0.06572542171957632
proteomics,schmidt_2016,rel50_abs0.25,high,unfiltered,1408,ter,0.38319730273299063,449,0.05635494374761932
proteomics,schmidt_2016,rel50_abs0.25,high,unfiltered,1408,oriC,0.0014162648694105056,469,0.11399752181364646
proteomics,schmidt_2016,rel50_abs0.25,high,unfiltered,1408,ter,0.23473121751207696,449,0.08608601196023993
proteomics,schmidt_2016,rel50_abs0.25,high,unfiltered,1408,oriC,0.1584165550408679,469,-0.0051471105280139415
proteomics,schmidt_2016,rel50_abs0.25,high,unfiltered,1408,ter,0.0015963363060838356,449,0.07726031644741069
proteomics,schmidt_2016,rel50_abs0.25,high,unfiltered,1408,oriC,0.2574007176471175,469,0.018437644233617174
proteomics,schmidt_2016,rel50_abs0.25,high,unfiltered,1408,ter,0.9154712525204767,449,-0.016655858619825593
proteomics,schmidt_2016,rel50_abs0.25,high,unfiltered,1408,oriC,4.924307523616147e-4,469,0.12855175445529668
proteomics,schmidt_2016,rel50_abs0.25,high,unfiltered,1408,ter,0.10038511008059615,449,0.06627916895888783
proteomics,schmidt_2016,rel50_abs0.25,high,unfiltered,1408,oriC,0.7275789781666422,469,-0.044018725575025855
proteomics,schmidt_2016,rel50_abs0.25,high,unfiltered,1408,ter,4.094047982271459e-6,449,-0.23911678920894613
proteomics,schmidt_2016,rel50_abs0.25,high,unfiltered,1408,oriC,0.4267506475209294,469,-0.040420405146886725
proteomics,schmidt_2016,rel50_abs0.25,high,unfiltered,1408,ter,4.251915509933411e-12,449,-0.46406867198138574
proteomics,schmidt_2016,rel50_abs0.25,high,unfiltered,1408,oriC,0.921337063225009,469,-0.0317428053790874
proteomics,schmidt_2016,rel50_abs0.25,high,unfiltered,1408,ter,0.6070122414420902,449,0.010079684042022438
proteomics,schmidt_2016,rel50_abs0.25,high,unfiltered,1408,oriC,0.7365468030815717,469,0.008512060975147628
proteomics,schmidt_2016,rel50_abs0.25,high,unfiltered,1408,ter,0.1093353400034182,449,-0.08260088800029393
proteomics,schmidt_2016,rel50_abs0.25,high,unfiltered,1408,oriC,0.02441912635428183,469,0.0760310535660072
proteomics,schmidt_2016,rel50_abs0.25,high,unfiltered,1408,ter,0.6892724722531887,449,-0.018326264962170855
proteomics,schmidt_2016,rel50_abs0.25,high,unfiltered,1408,oriC,0.20794798115796648,469,-0.14550770533403615
proteomics,schmidt_2016,rel50_abs0.25,high,unfiltered,1408,ter,2.996212979365782e-10,449,-0.3610789730444583
proteomics,schmidt_2016,rel50_abs0.25,high,unfiltered,1408,oriC,0.06251542309477462,469,-0.07127647347566154
proteomics,schmidt_2016,rel50_abs0.25,high,unfiltered,1408,ter,7.783569061717876e-16,449,-0.5493626735094985
proteomics,schmidt_2016,rel50_abs0.25,high,unfiltered,1408,oriC,0.6986328390656118,469,-0.028551217836953982
proteomics,schmidt_2016,rel50_abs0.25,high,unfiltered,1408,ter,0.17330972371019104,449,0.004809155449654674
proteomics,schmidt_2016,rel50_abs0.25,high,unfiltered,1408,oriC,1.7427099281531112e-7,469,-0.21173405291301944
proteomics,schmidt_2016,rel50_abs0.25,high,unfiltered,1408,ter,1.9058399547658872e-9,449,-0.3198328352753821
proteomics,schmidt_2016,rel50_abs0.25,high,unfiltered,1408,oriC,1.6032932583504763e-5,469,-0.2473628858634745
proteomics,schmidt_2016,rel50_abs0.25,high,unfiltered,1408,ter,5.183272501808043e-14,449,-0.3963537896601909
proteomics,schmidt_2016,rel50_abs0.25,high,unfiltered,1408,oriC,7.542366021178001e-4,469,-0.15115573892350717
proteomics,schmidt_2016,rel50_abs0.25,high,unfiltered,1408,ter,4.292664366970661e-10,449,-0.2711406754975127
proteomics,schmidt_2016,rel50_abs0.25,high,unfiltered,1408,oriC,7.607022267901005e-5,469,-0.1358680742692262
proteomics,schmidt_2016,rel50_abs0.25,high,unfiltered,1408,ter,1.0507816090505721e-14,449,-0.4212766636450994
proteomics,schmidt_2016,rel50_abs0.25,high,unfiltered,1408,oriC,0.07058475184166439,469,-0.06811855397898067
proteomics,schmidt_2016,rel50_abs0.25,high,unfiltered,1408,ter,2.99437303614433e-7,449,-0.21160865584861532
proteomics,schmidt_2016,rel50_abs0.25,high,unfiltered,1408,oriC,0.016169623197594296,469,-0.05928129497729487
proteomics,schmidt_2016,rel50_abs0.25,high,unfiltered,1408,ter,1.0776245010698312e-10,449,-0.37648426506937394
proteomics,schmidt_2016,rel50_abs0.25,high,unfiltered,1408,oriC,5.653311739016098e-4,469,-0.18399362245858136
proteomics,schmidt_2016,rel50_abs0.25,high,unfiltered,1408,ter,2.568039310899943e-13,449,-0.34021952148143597
proteomics,schmidt_2016,rel50_abs0.25,high,unfiltered,1408,oriC,1.734318100251178e-4,469,-0.16920242418982467
proteomics,schmidt_2016,rel50_abs0.25,high,unfiltered,1408,ter,1.84524426308888e-18,449,-0.53875012585079
proteomics,schmidt_2016,rel50_abs0.25,high,unfiltered,1408,oriC,2.7350356839300635e-5,469,-0.15435653004077332
proteomics,schmidt_2016,rel50_abs0.25,high,unfiltered,1408,ter,1.7991760856449045e-12,449,-0.2759760604850283
proteomics,schmidt_2016,rel50_abs0.25,high,unfiltered,1408,oriC,2.7515162185917308e-5,469,-0.21399894695856167
proteomics,schmidt_2016,rel50_abs0.25,high,unfiltered,1408,ter,1.5188151971537098e-15,449,-0.40790212221497885
proteomics,schmidt_2016,rel50_abs0.25,high,unfiltered,1408,oriC,0.01465402109241773,469,-0.10982904883737231
proteomics,schmidt_2016,rel50_abs0.25,high,unfiltered,1408,ter,4.287764062974923e-8,449,-0.2606474651142977
proteomics,schmidt_2016,rel50_abs0.25,high,unfiltered,1408,oriC,0.005453479039635169,469,-0.10955359110184831
proteomics,schmidt_2016,rel50_abs0.25,high,unfiltered,1408,ter,2.8288097329599956e-12,449,-0.4307049864569164
proteomics,schmidt_2016,rel50_abs0.25,high,unfiltered,1408,oriC,0.031125383495805584,469,-0.13169243221994784
proteomics,schmidt_2016,rel50_abs0.25,high,unfiltered,1408,ter,1.9258187849003437e-11,449,-0.30123575873400643
proteomics,schmidt_2016,rel50_abs0.25,high,unfiltered,1408,oriC,0.002694246799882276,469,-0.11621115668781909
proteomics,schmidt_2016,rel50_abs0.25,high,unfiltered,1408,ter,8.162588010294173e-16,449,-0.43495538909849885
proteomics,schmidt_2016,rel50_abs0.25,high,unfiltered,1408,oriC,0.7483876997262233,469,0.014547796342138632
proteomics,schmidt_2016,rel50_abs0.25,high,unfiltered,1408,ter,1.0637757494766786e-4,449,-0.30847543866642463
proteomics,schmidt_2016,rel50_abs0.25,high,unfiltered,1408,oriC,0.7011552338911418,469,0.015819247371512305
proteomics,schmidt_2016,rel50_abs0.25,high,unfiltered,1408,ter,2.4459376485714525e-8,449,-0.43021948555682443
proteomics,schmidt_2016,rel50_abs0.25,high,unfiltered,1408,oriC,0.01840380763934563,469,-0.11243540052379038
proteomics,schmidt_2016,rel50_abs0.25,high,unfiltered,1408,ter,1.6724595848679708e-7,449,-0.2464016754622692
proteomics,schmidt_2016,rel50_abs0.25,high,unfiltered,1408,oriC,0.025519666613553864,469,-0.07238964749735374
proteomics,schmidt_2016,rel50_abs0.25,high,unfiltered,1408,ter,8.110739361423112e-11,449,-0.40386793635480656
proteomics,schmidt_2016,rel50_abs0.25,high,unfiltered,1408,oriC,0.03977910633854487,469,-0.09501834810356753
proteomics,schmidt_2016,rel50_abs0.25,high,unfiltered,1408,ter,4.003572409465129e-11,449,-0.2774684051703103
proteomics,schmidt_2016,rel50_abs0.25,high,unfiltered,1408,oriC,0.07735286054321788,469,-0.03745529976211884
proteomics,schmidt_2016,rel50_abs0.25,high,unfiltered,1408,ter,1.6266542739646597e-13,449,-0.40109344865665686
proteomics,schmidt_2016,rel50_abs0.25,high,unfiltered,1408,oriC,0.6523480673008721,469,0.01779421351295657
proteomics,schmidt_2016,rel50_abs0.25,high,unfiltered,1408,ter,5.902478105393966e-6,449,-0.24367256411296598
proteomics,schmidt_2016,rel50_abs0.25,high,unfiltered,1408,oriC,0.8862769889636353,469,0.05240229310725515
proteomics,schmidt_2016,rel50_abs0.25,high,unfiltered,1408,ter,8.651165741017355e-10,449,-0.35701053710083736
proteomics,schmidt_2016,rel50_abs0.25,high,unfiltered,1408,oriC,0.7416875235060836,469,-0.04726094153122231
proteomics,schmidt_2016,rel50_abs0.25,high,unfiltered,1408,ter,5.99155101315e-7,449,-0.18345708583157452
proteomics,schmidt_2016,rel50_abs0.25,high,unfiltered,1408,oriC,0.3889597575294213,469,-0.004340451788289286
proteomics,schmidt_2016,rel50_abs0.25,high,unfiltered,1408,ter,2.6529918178698124e-11,449,-0.32569224337749053
proteomics,schmidt_2016,rel50_abs0.25,high,unfiltered,1408,oriC,1.1006022872063296e-5,469,-0.1706668396101888
proteomics,schmidt_2016,rel50_abs0.25,high,unfiltered,1408,ter,1.893071332257338e-9,449,-0.2710142607127805
proteomics,schmidt_2016,rel50_abs0.25,high,unfiltered,1408,oriC,0.001309956019508805,469,-0.14640205871285192
proteomics,schmidt_2016,rel50_abs0.25,high,unfiltered,1408,ter,1.0026906088017216e-10,449,-0.36731466755980646
proteomics,peebo_2015,rel50_abs0.25,high,unfiltered,810,oriC,0.1779149487203765,262,0.06918648943793494
proteomics,peebo_2015,rel50_abs0.25,high,unfiltered,810,ter,0.11563990118438393,251,0.004140917194826323
proteomics,peebo_2015,rel50_abs0.25,high,unfiltered,810,oriC,0.2955797122331267,263,0.07894705279162827
proteomics,peebo_2015,rel50_abs0.25,high,unfiltered,810,ter,0.23221906961080496,251,0.010644161487906539
proteomics,peebo_2015,rel50_abs0.25,high,unfiltered,811,oriC,0.678688515340315,263,-0.02161619387172459
proteomics,peebo_2015,rel50_abs0.25,high,unfiltered,811,ter,3.011222350918939e-8,251,-0.20021825502532414
proteomics,peebo_2015,rel50_abs0.25,high,unfiltered,810,oriC,0.21690491591228125,262,-0.06040387674163854
proteomics,peebo_2015,rel50_abs0.25,high,unfiltered,810,ter,1.6034024714654378e-7,251,-0.17666409327536697
proteomics,peebo_2015,rel50_abs0.25,high,unfiltered,811,oriC,0.07592245840114363,263,-0.10162378695898995
