assay,dataset,gene_filter,n_genes,term,estimate,se,p,p_wald_diff,R2_efron_full,vif
proteomics,schmidt_2016,all,1985,z_slope,-0.09042896060705952,0.024998611336245126,2.9762395846145e-4,0.5979197148689633,0.004150327138998211,1.0210573858267076
proteomics,schmidt_2016,all,1985,z_mean,-0.07319219190003119,0.024988945446181337,0.0034007321813298405,0.5979197148689633,0.004150327138998211,1.0210573858267076
proteomics,schmidt_2016,high,1408,z_slope,-0.11541220049059964,0.0293861395502611,8.585603704814594e-5,0.14372634513512123,0.006349688198136305,1.014071104806873
proteomics,schmidt_2016,high,1408,z_mean,-0.05842645354982018,0.029348306485342132,0.046503460246072,0.14372634513512123,0.006349688198136305,1.014071104806873
proteomics,peebo_2015,all,1040,z_slope,-0.0830841682955615,0.03474844755610257,0.016801722908173455,0.01280153068757505,0.0018825247521914168,1.0614935412028248
proteomics,peebo_2015,all,1040,z_mean,0.05317708920258084,0.03472725252183766,0.12570061918942077,0.01280153068757505,0.0018825247521914168,1.0614935412028248
proteomics,peebo_2015,high,811,z_slope,-0.06622882213187645,0.03864739305339692,0.08658961547682881,0.1873117386929986,6.10517496834273e-4,1.0275952169228424
proteomics,peebo_2015,high,811,z_mean,0.01149810669157226,0.038621674573582655,0.7659235626955667,0.1873117386929986,6.10517496834273e-4,1.0275952169228424
proteomics,li_2014_all,all,3682,z_slope,-0.15019485089568496,0.01988462990517985,4.2432075074103846e-14,7.509901395359203e-5,0.018336253618894793,1.2028242724703764
proteomics,li_2014_all,all,3682,z_mean,-0.018190643712835766,0.019833068643526703,0.35904436767369335,7.509901395359203e-5,0.018336253618894793,1.2028242724703764
proteomics,li_2014_all,high,2067,z_slope,-0.09476948467067027,0.02428548027820635,9.52788257530782e-5,0.02229832220967878,0.006105970499325264,1.0117211477912256
proteomics,li_2014_all,high,2067,z_mean,-0.012232593398365533,0.024255827740721887,0.6140395855469953,0.02229832220967878,0.006105970499325264,1.0117211477912256
proteomics,valgepea_2013_prot,all,1147,z_slope,-0.12163625980248823,0.03388833152464552,3.31534394633256e-4,0.03378740407026203,1.6783482855609044e-4,1.102688890029679
proteomics,valgepea_2013_prot,all,1147,z_mean,-0.005626289940281234,0.03379539490920943,0.8677784622509507,0.03378740407026203,1.6783482855609044e-4,1.102688890029679
proteomics,valgepea_2013_prot,high,1092,z_slope,-0.05726420965052199,0.03351192226344716,0.08749332822941853,0.31008676534237767,-0.0016995054645880803,1.0382011284485053
proteomics,valgepea_2013_prot,high,1092,z_mean,-0.004774062887621329,0.03348279683707662,0.8866198718740891,0.31008676534237767,-0.0016995054645880803,1.0382011284485053
proteomics,Goelzer_2015,all,949,z_slope,4.1263804542742246e-4,0.03592049932819751,0.9908344736090865,0.35583853328086784,-0.0023521682908898,1.0563923222328166
proteomics,Goelzer_2015,all,949,z_mean,-0.04072287009678204,0.035927544224102985,0.2570160383383996,0.35583853328086784,-0.0023521682908898,1.0563923222328166
proteomics,Goelzer_2015,high,753,z_slope,-0.03150791545258763,0.04328185529732127,0.466631622030053,0.9035954583625364,-0.004059594213723816,1.1820384216992499
proteomics,Goelzer_2015,high,753,z_mean,-0.0372859452956208,0.04328342333467138,0.38899736769132137,0.9035954583625364,-0.004059594213723816,1.1820384216992499
proteomics,zhu_B_subtilis,all,1720,z_slope,-0.06452039172991192,0.03209286276857357,0.044385903484212924,0.018305489285280228,0.0023999981606167564,1.5147496537402927
proteomics,zhu_B_subtilis,all,1720,z_mean,0.07022101158457646,0.03209215145062849,0.02866192180983066,0.018305489285280228,0.0023999981606167564,1.5147496537402927
proteomics,zhu_B_subtilis,high,892,z_slope,-0.02933941850688747,0.04156772318802506,0.48029876423549384,0.39339019101452116,0.003387137096214521,1.3143952851199145
proteomics,zhu_B_subtilis,high,892,z_mean,-0.09056009578266848,0.041590978688670184,0.029450917103966374,0.39339019101452116,0.003387137096214521,1.3143952851199145
proteomics,zhu_E_coli,all,1654,z_slope,0.035537790337014166,0.034780017983442685,0.3068814499150885,0.012237025338509025,0.0017668221248302585,1.655869880841256
proteomics,zhu_E_coli,all,1654,z_mean,-0.03951105186344428,0.03477942569037785,0.2559370191457553,0.012237025338509025,0.0017668221248302585,1.655869880841256
proteomics,zhu_E_coli,high,1092,z_slope,0.006136591839439902,0.03379511929443898,0.855910625251379,0.40711838912255943,0.0025740713084191347,1.040574349833449
proteomics,zhu_E_coli,high,1092,z_mean,0.04949322457001963,0.033801650021788344,0.14313245277610845,0.40711838912255943,0.0025740713084191347,1.040574349833449
proteomics,zhu_V_natriegens,all,1387,z_slope,0.008877415319518743,0.028834969496196156,0.7581814321338183,3.275839806683487e-5,0.019049431254594018,1.0180179951289845
proteomics,zhu_V_natriegens,all,1387,z_mean,-0.14905184599867272,0.0289061257432181,2.5172891729396006e-07,3.275839806683487e-5,0.019049431254594018,1.0180179951289845
proteomics,zhu_V_natriegens,high,999,z_slope,0.0592260821392941,0.03401278997813421,0.08163301017844951,0.0010067370795698147,0.00843583709708573,1.0447665428425272
proteomics,zhu_V_natriegens,high,999,z_mean,-0.11472858333282919,0.0340559620798405,7.548928614895539e-4,0.0010067370795698147,0.00843583709708573,1.0447665428425272
