dataset,metric,estimate,conf_low,conf_high,p_value,sig,species,dataset_clean
schmidt_2016,Mean Expression,-0.26799094256648415,-0.49221512933154377,-0.010416185734209018,0.04196188576391965,*,E. coli,Schmidt dataset
schmidt_2016,Growth-Dependent Slope,-0.17354715133151577,-0.4133154431765993,0.08872589449375826,0.19263085240735087,N.S.,E. coli,Schmidt dataset
peebo_2015,Mean Expression,0.15240947265756014,-0.1151030698489357,0.39931022973086355,0.2621302390869106,N.S.,E. coli,Peebo dataset
peebo_2015,Growth-Dependent Slope,0.09649131839125379,-0.17074049290358514,0.35050048715202453,0.4792916612301884,N.S.,E. coli,Peebo dataset
li_2014_all,Mean Expression,0.029368193303090158,-0.22624367829065917,0.281195930556925,0.8237318964502793,N.S.,E. coli,Li dataset
li_2014_all,Growth-Dependent Slope,-0.21138032702723183,-0.4416021712736995,0.04495745255766374,0.10495766147342571,N.S.,E. coli,Li dataset
valgepea_2013_prot,Mean Expression,0.05596370475351364,-0.21002692941968296,0.31424084600811136,0.6820482559680369,N.S.,E. coli,Valgepea dataset
valgepea_2013_prot,Growth-Dependent Slope,-0.011421009963411125,-0.27350033225395204,0.2522368854240667,0.9334205523913606,N.S.,E. coli,Valgepea dataset
Goelzer_2015,Mean Expression,-0.038289008339943864,-0.3054219227012846,0.23443099612818885,0.7854673446186465,N.S.,B. subtilis,Goelzer dataset
Goelzer_2015,Growth-Dependent Slope,-0.13984549891712478,-0.3952009623115282,0.13557288303060752,0.3179242538835765,N.S.,B. subtilis,Goelzer dataset
zhu_B_subtilis,Mean Expression,-0.2734571455909042,-0.49850433070257366,-0.013878380610904217,0.03956823619181054,*,B. subtilis,Zhu B. subtilis dataset
zhu_B_subtilis,Growth-Dependent Slope,-0.34590778413182394,-0.5563319200882129,-0.09379400473970569,0.00839903597770752,**,B. subtilis,Zhu B. subtilis dataset
zhu_E_coli,Mean Expression,-0.06205627256540488,-0.3197403593924143,0.20417530289373806,0.6495762068787433,N.S.,E. coli,Zhu E. coli dataset
zhu_E_coli,Growth-Dependent Slope,0.2042547426623451,-0.061973694493502596,0.44334806798761445,0.1310440965832106,N.S.,E. coli,Zhu E. coli dataset
zhu_V_natriegens,Mean Expression,-0.39596833581158336,-0.5967473025158978,-0.14852979879880707,0.0025206857127620837,**,V. natriegens,Zhu V. natriegens dataset
zhu_V_natriegens,Growth-Dependent Slope,0.3934653267948411,0.14562898409560684,0.594834810945674,0.0026994196109584546,**,V. natriegens,Zhu V. natriegens dataset
