assay,dataset,gene_filter,n_genes,term,estimate,se,p,p_wald_diff,R2_efron_full,vif
proteomics,schmidt_2016,all,58,z_slope,-0.023432559231994426,0.129682920604989,0.8566099865191351,0.3558240952483082,0.07593543895516441,1.3808505988479651
proteomics,schmidt_2016,all,58,z_mean,-0.2328642279188063,0.129479795817543,0.07210414888781362,0.3558240952483082,0.07593543895516441,1.3808505988479651
proteomics,schmidt_2016,high,58,z_slope,-0.023432559231994426,0.129682920604989,0.8566099865191351,0.3558240952483082,0.07593543895516441,1.3808505988479651
proteomics,schmidt_2016,high,58,z_mean,-0.2328642279188063,0.129479795817543,0.07210414888781362,0.3558240952483082,0.07593543895516441,1.3808505988479651
proteomics,peebo_2015,all,56,z_slope,0.008331915220662784,0.13301306050426653,0.9500533135832363,0.5349853877681504,0.009334210927116504,1.4112295799866907
proteomics,peebo_2015,all,56,z_mean,0.15104707695719463,0.13060734021314274,0.24747767611953847,0.5349853877681504,0.009334210927116504,1.4112295799866907
proteomics,peebo_2015,high,56,z_slope,0.008331915220662784,0.13301306050426653,0.9500533135832363,0.5349853877681504,0.009334210927116504,1.4112295799866907
proteomics,peebo_2015,high,56,z_mean,0.15104707695719463,0.13060734021314274,0.24747767611953847,0.5349853877681504,0.009334210927116504,1.4112295799866907
proteomics,li_2014_all,all,60,z_slope,-0.31996921256114313,0.15510604823273996,0.039121550755068464,0.050379880284715996,0.08905994489338231,2.0145618871747084
proteomics,li_2014_all,all,60,z_mean,0.25178160640692426,0.15907817604418575,0.11347756370500699,0.050379880284715996,0.08905994489338231,2.0145618871747084
proteomics,li_2014_all,high,60,z_slope,-0.31996921256114313,0.15510604823273996,0.039121550755068464,0.050379880284715996,0.08905994489338231,2.0145618871747084
proteomics,li_2014_all,high,60,z_mean,0.25178160640692426,0.15907817604418575,0.11347756370500699,0.050379880284715996,0.08905994489338231,2.0145618871747084
proteomics,valgepea_2013_prot,all,56,z_slope,2.189351574604472e-4,0.11745588250963715,0.998512761753029,0.7545052467110226,-0.006563539814052888,1.123009857469546
proteomics,valgepea_2013_prot,all,56,z_mean,0.05992045938299595,0.11726018298058134,0.6093480358841887,0.7545052467110226,-0.006563539814052888,1.123009857469546
proteomics,valgepea_2013_prot,high,56,z_slope,2.189351574604472e-4,0.11745588250963715,0.998512761753029,0.7545052467110226,-0.006563539814052888,1.123009857469546
proteomics,valgepea_2013_prot,high,56,z_mean,0.05992045938299595,0.11726018298058134,0.6093480358841887,0.7545052467110226,-0.006563539814052888,1.123009857469546
proteomics,Goelzer_2015,all,53,z_slope,-0.23738308245357412,0.17418749503713407,0.1729448919780198,0.6109405528367958,0.028931694464099933,1.3501328726673825
proteomics,Goelzer_2015,all,53,z_mean,-0.14972802257175385,0.17368001553278037,0.3886373032284446,0.6109405528367958,0.028931694464099933,1.3501328726673825
proteomics,Goelzer_2015,high,52,z_slope,-0.2401185463178399,0.17445656533816392,0.168703983081727,0.7169653415683627,0.03421743628398555,1.3230152181688886
proteomics,Goelzer_2015,high,52,z_mean,-0.17663849762370337,0.17401923313298392,0.31008124062236936,0.7169653415683627,0.03421743628398555,1.3230152181688886
proteomics,zhu_B_subtilis,all,57,z_slope,-0.3285196491584992,0.23237127826023327,0.15742930931925808,0.3863619493033337,0.08849311424887807,2.6869577527876096
proteomics,zhu_B_subtilis,all,57,z_mean,0.05170896191596526,0.23169776574539716,0.8233999363504241,0.3863619493033337,0.08849311424887807,2.6869577527876096
proteomics,zhu_B_subtilis,high,49,z_slope,-0.12128216405163982,0.17536732574303565,0.48919529028275377,0.6625179680453446,0.0028861838999415523,1.3683410011208403
proteomics,zhu_B_subtilis,high,49,z_mean,0.012648662363846059,0.17651659330284816,0.9428748192977766,0.6625179680453446,0.0028861838999415523,1.3683410011208403
proteomics,zhu_E_coli,all,56,z_slope,0.8032527127344332,0.26001203719125127,0.0020063516244368013,0.1780963090325089,0.1275068291146757,6.1066562395370365
proteomics,zhu_E_coli,all,56,z_mean,0.6707362588443204,0.2662843480029576,0.011773135804649067,0.1780963090325089,0.1275068291146757,6.1066562395370365
proteomics,zhu_E_coli,high,53,z_slope,0.6114280942813768,0.20993392262179728,0.003585725655246628,0.019031194906721595,0.14430625189942103,3.575153321205186
proteomics,zhu_E_coli,high,53,z_mean,0.3736033128217856,0.21482882773923903,0.08202167851026819,0.019031194906721595,0.14430625189942103,3.575153321205186
proteomics,zhu_V_natriegens,all,56,z_slope,0.1776144717134035,0.11313733873013365,0.1164380410605558,2.2334612497348347e-4,0.18882054552748073,1.4511880953732696
proteomics,zhu_V_natriegens,all,56,z_mean,-0.19300807502228362,0.11036545473028629,0.08032408052173073,2.2334612497348347e-4,0.18882054552748073,1.4511880953732696
proteomics,zhu_V_natriegens,high,55,z_slope,0.16234105131802956,0.1028824147370045,0.11458213283598721,0.09944304954911276,0.05065786378148229,1.1876264907894556
proteomics,zhu_V_natriegens,high,55,z_mean,-0.005987737671239544,0.09875794148035992,0.9516535286767471,0.09944304954911276,0.05065786378148229,1.1876264907894556
