dataset,stage,rows_before,rows_after,row_count_change
schmidt_2016,identifier_eligibility_filter,2058,2043,-15
schmidt_2016,PanKB_annotation,2043,2043,0
schmidt_2016,transcription_translation_annotation,2043,2043,0
peebo_2015,identifier_eligibility_filter,1526,1526,0
peebo_2015,PanKB_annotation,1526,1526,0
peebo_2015,transcription_translation_annotation,1526,1526,0
li_2014_all,identifier_eligibility_filter,3926,3895,-31
li_2014_all,PanKB_annotation,3895,3895,0
li_2014_all,transcription_translation_annotation,3895,3895,0
valgepea_2013_prot,identifier_eligibility_filter,1344,1344,0
valgepea_2013_prot,PanKB_annotation,1344,1344,0
valgepea_2013_prot,transcription_translation_annotation,1344,1344,0
Goelzer_2015,identifier_eligibility_filter,1574,1574,0
Goelzer_2015,PanKB_annotation,1574,1574,0
Goelzer_2015,transcription_translation_annotation,1574,1574,0
zhu_B_subtilis,identifier_eligibility_filter,2017,2014,-3
zhu_B_subtilis,PanKB_annotation,2014,2014,0
zhu_B_subtilis,transcription_translation_annotation,2014,2014,0
zhu_E_coli,identifier_eligibility_filter,1808,1800,-8
zhu_E_coli,PanKB_annotation,1800,1800,0
zhu_E_coli,transcription_translation_annotation,1800,1800,0
zhu_V_natriegens,identifier_eligibility_filter,2000,1577,-423
zhu_V_natriegens,PanKB_annotation,1577,1577,0
zhu_V_natriegens,transcription_translation_annotation,1577,1577,0
