dataset,species,source_strain,source_identifier_type,source_identifier_raw,source_identifier_normalized,source_gene_name,source_gene_name_normalized,reference_strain,reference_genome_accession,reference_identifier,candidate_reference_identifiers,mapping_method,mapping_confidence,mapping_status,mapping_cardinality,ambiguity_n,identifier_well_formed,evidence_source,mapping_evidence
li_2014_all,Escherichia coli,K-12 MG1655,common gene name (unique RefSeq canonical/synonym match),ade,ade,ade,ade,K-12 MG1655,GCF_000005845.2,NA,b0523;b1131;b2312;b2476;b2500;b3665,unresolved_common_name,unresolved,ambiguous_one_to_many,one-to-many,6,FALSE,Revision_1/data/raw_extracted/Li_copy.csv + Revision_1/data/raw_data/reference_gff/GCF_000005845.2.gff,gene_synonym
li_2014_all,Escherichia coli,K-12 MG1655,common gene name (unique RefSeq canonical/synonym match),adrB,adrb,adrB,adrb,K-12 MG1655,GCF_000005845.2,NA,,unresolved_common_name,unresolved,unmatched,unresolved,0,FALSE,Revision_1/data/raw_extracted/Li_copy.csv + Revision_1/data/raw_data/reference_gff/GCF_000005845.2.gff,
li_2014_all,Escherichia coli,K-12 MG1655,common gene name (unique RefSeq canonical/synonym match),arrD,arrd,arrD,arrd,K-12 MG1655,GCF_000005845.2,NA,,unresolved_common_name,unresolved,unmatched,unresolved,0,FALSE,Revision_1/data/raw_extracted/Li_copy.csv + Revision_1/data/raw_data/reference_gff/GCF_000005845.2.gff,
li_2014_all,Escherichia coli,K-12 MG1655,common gene name (unique RefSeq canonical/synonym match),arrQ,arrq,arrQ,arrq,K-12 MG1655,GCF_000005845.2,NA,,unresolved_common_name,unresolved,unmatched,unresolved,0,FALSE,Revision_1/data/raw_extracted/Li_copy.csv + Revision_1/data/raw_data/reference_gff/GCF_000005845.2.gff,
li_2014_all,Escherichia coli,K-12 MG1655,common gene name (unique RefSeq canonical/synonym match),crl,crl,crl,crl,K-12 MG1655,GCF_000005845.2,NA,,unresolved_common_name,unresolved,unmatched,unresolved,0,FALSE,Revision_1/data/raw_extracted/Li_copy.csv + Revision_1/data/raw_data/reference_gff/GCF_000005845.2.gff,
li_2014_all,Escherichia coli,K-12 MG1655,common gene name (unique RefSeq canonical/synonym match),dnaXgamma,dnaxgamma,dnaXgamma,dnaxgamma,K-12 MG1655,GCF_000005845.2,NA,,unresolved_common_name,unresolved,unmatched,unresolved,0,FALSE,Revision_1/data/raw_extracted/Li_copy.csv + Revision_1/data/raw_data/reference_gff/GCF_000005845.2.gff,
li_2014_all,Escherichia coli,K-12 MG1655,common gene name (unique RefSeq canonical/synonym match),dnaXtau,dnaxtau,dnaXtau,dnaxtau,K-12 MG1655,GCF_000005845.2,NA,,unresolved_common_name,unresolved,unmatched,unresolved,0,FALSE,Revision_1/data/raw_extracted/Li_copy.csv + Revision_1/data/raw_data/reference_gff/GCF_000005845.2.gff,
li_2014_all,Escherichia coli,K-12 MG1655,common gene name (unique RefSeq canonical/synonym match),gatC,gatc,gatC,gatc,K-12 MG1655,GCF_000005845.2,NA,,unresolved_common_name,unresolved,unmatched,unresolved,0,FALSE,Revision_1/data/raw_extracted/Li_copy.csv + Revision_1/data/raw_data/reference_gff/GCF_000005845.2.gff,
li_2014_all,Escherichia coli,K-12 MG1655,common gene name (unique RefSeq canonical/synonym match),glpR,glpr,glpR,glpr,K-12 MG1655,GCF_000005845.2,NA,,unresolved_common_name,unresolved,unmatched,unresolved,0,FALSE,Revision_1/data/raw_extracted/Li_copy.csv + Revision_1/data/raw_data/reference_gff/GCF_000005845.2.gff,
li_2014_all,Escherichia coli,K-12 MG1655,common gene name (unique RefSeq canonical/synonym match),gtrA,gtra,gtrA,gtra,K-12 MG1655,GCF_000005845.2,NA,b1210;b2350,unresolved_common_name,unresolved,ambiguous_one_to_many,one-to-many,2,FALSE,Revision_1/data/raw_extracted/Li_copy.csv + Revision_1/data/raw_data/reference_gff/GCF_000005845.2.gff,gene_synonym
li_2014_all,Escherichia coli,K-12 MG1655,common gene name (unique RefSeq canonical/synonym match),insA,insa,insA,insa,K-12 MG1655,GCF_000005845.2,NA,,unresolved_common_name,unresolved,unmatched,unresolved,0,FALSE,Revision_1/data/raw_extracted/Li_copy.csv + Revision_1/data/raw_data/reference_gff/GCF_000005845.2.gff,
li_2014_all,Escherichia coli,K-12 MG1655,common gene name (unique RefSeq canonical/synonym match),insB,insb,insB,insb,K-12 MG1655,GCF_000005845.2,NA,,unresolved_common_name,unresolved,unmatched,unresolved,0,FALSE,Revision_1/data/raw_extracted/Li_copy.csv + Revision_1/data/raw_data/reference_gff/GCF_000005845.2.gff,
