species,reference_strain,reference_genome_accession,reference_identifier,reference_identifier_source,seqname,start,end,reference_feature_type,reference_gene_name,norm_pos,type
Escherichia coli,K-12 MG1655,GCF_000005845.2,b0001,locus_tag,NC_000913.3,190,255,gene,thrL,0.3085332549704286,oriC
Escherichia coli,K-12 MG1655,GCF_000005845.2,b0002,locus_tag,NC_000913.3,337,2799,gene,thrA,0.30911300545581616,oriC
Escherichia coli,K-12 MG1655,GCF_000005845.2,b0003,locus_tag,NC_000913.3,2801,3733,gene,thrB,0.3098450724009469,oriC
Escherichia coli,K-12 MG1655,GCF_000005845.2,b0004,locus_tag,NC_000913.3,3734,5020,gene,thrC,0.31032335039335135,oriC
Escherichia coli,K-12 MG1655,GCF_000005845.2,b0005,locus_tag,NC_000913.3,5234,5530,gene,yaaX,0.3107563858729607,oriC
Escherichia coli,K-12 MG1655,GCF_000005845.2,b0006,locus_tag,NC_000913.3,5683,6459,gene,yaaA,0.31105326293311086,oriC
Escherichia coli,K-12 MG1655,GCF_000005845.2,b0007,locus_tag,NC_000913.3,6529,7959,gene,yaaJ,0.31155868643319234,oriC
Escherichia coli,K-12 MG1655,GCF_000005845.2,b0008,locus_tag,NC_000913.3,8238,9191,gene,talB,0.3121922970528596,oriC
Escherichia coli,K-12 MG1655,GCF_000005845.2,b0009,locus_tag,NC_000913.3,9306,9893,gene,mog,0.31257362680356043,oriC
Escherichia coli,K-12 MG1655,GCF_000005845.2,b0010,locus_tag,NC_000913.3,9928,10494,gene,satP,0.31283711058045716,oriC
Escherichia coli,K-12 MG1655,GCF_000005845.2,b0011,locus_tag,NC_000913.3,10643,11356,gene,yaaW,0.313176860307494,oriC
Escherichia coli,K-12 MG1655,GCF_000005845.2,b0012,locus_tag,NC_000913.3,10830,11315,gene,mbiA,0.31320831462591336,oriC
Escherichia coli,K-12 MG1655,GCF_000005845.2,b0013,locus_tag,NC_000913.3,11382,11786,gene,yaaI,0.3134287102953862,oriC
Escherichia coli,K-12 MG1655,GCF_000005845.2,b0014,locus_tag,NC_000913.3,12163,14079,gene,dnaK,0.3140909745064904,oriC
Escherichia coli,K-12 MG1655,GCF_000005845.2,b0015,locus_tag,NC_000913.3,14168,15298,gene,dnaJ,0.3147855547981624,oriC
Escherichia coli,K-12 MG1655,GCF_000005845.2,b0016,locus_tag,NC_000913.3,15445,16557,gene,insL1,0.3153319120002964,oriC
Escherichia coli,K-12 MG1655,GCF_000005845.2,b0018,locus_tag,NC_000913.3,16751,16960,gene,mokC,0.315700099878233,oriC
Escherichia coli,K-12 MG1655,GCF_000005845.2,b0019,locus_tag,NC_000913.3,17489,18655,gene,nhaA,0.31622426670504383,oriC
Escherichia coli,K-12 MG1655,GCF_000005845.2,b0020,locus_tag,NC_000913.3,18715,19620,gene,nhaR,0.3166962969218718,oriC
Escherichia coli,K-12 MG1655,GCF_000005845.2,b0021,locus_tag,NC_000913.3,19811,20314,gene,insB1,0.317081935483315,oriC
Escherichia coli,K-12 MG1655,GCF_000005845.2,b0022,locus_tag,NC_000913.3,20233,20508,gene,insA1,0.3172146468541804,oriC
Escherichia coli,K-12 MG1655,GCF_000005845.2,b0023,locus_tag,NC_000913.3,20815,21078,gene,rpsT,0.3174628343529416,oriC
Escherichia coli,K-12 MG1655,GCF_000005845.2,b0024,locus_tag,NC_000913.3,21181,21399,gene,yaaY,0.3176108420019424,oriC
Escherichia coli,K-12 MG1655,GCF_000005845.2,b0025,locus_tag,NC_000913.3,21407,22348,gene,ribF,0.3178639846330574,oriC
Escherichia coli,K-12 MG1655,GCF_000005845.2,b0026,locus_tag,NC_000913.3,22391,25207,gene,ileS,0.31869192261720614,oriC
Escherichia coli,K-12 MG1655,GCF_000005845.2,b0027,locus_tag,NC_000913.3,25207,25701,gene,lspA,0.3194050307950704,oriC
Escherichia coli,K-12 MG1655,GCF_000005845.2,b0028,locus_tag,NC_000913.3,25826,26275,gene,fkpB,0.31966205135585346,oriC
Escherichia coli,K-12 MG1655,GCF_000005845.2,b0029,locus_tag,NC_000913.3,26277,27227,gene,ispH,0.3199643144294316,oriC
Escherichia coli,K-12 MG1655,GCF_000005845.2,b0030,locus_tag,NC_000913.3,27293,28207,gene,rihC,0.3203943337415213,oriC
Escherichia coli,K-12 MG1655,GCF_000005845.2,b0031,locus_tag,NC_000913.3,28374,29195,gene,dapB,0.3208400802128208,oriC
Escherichia coli,K-12 MG1655,GCF_000005845.2,b0032,locus_tag,NC_000913.3,29651,30799,gene,carA,0.32146076440026095,oriC
Escherichia coli,K-12 MG1655,GCF_000005845.2,b0033,locus_tag,NC_000913.3,30817,34038,gene,carB,0.3224097799662706,oriC
Escherichia coli,K-12 MG1655,GCF_000005845.2,b0034,locus_tag,NC_000913.3,34300,34695,gene,caiF,0.3233017037899438,oriC
Escherichia coli,K-12 MG1655,GCF_000005845.2,b0035,locus_tag,NC_000913.3,34781,35371,gene,caiE,0.3235509684913906,oriC
Escherichia coli,K-12 MG1655,GCF_000005845.2,b0036,locus_tag,NC_000913.3,35377,36162,gene,caiD,0.32384978451637475,oriC
Escherichia coli,K-12 MG1655,GCF_000005845.2,b0037,locus_tag,NC_000913.3,36271,37824,gene,caiC,0.3244004505292512,oriC
Escherichia coli,K-12 MG1655,GCF_000005845.2,b0038,locus_tag,NC_000913.3,37898,39115,gene,caiB,0.3250291060165648,oriC
Escherichia coli,K-12 MG1655,GCF_000005845.2,b0039,locus_tag,NC_000913.3,39244,40386,gene,caiA,0.3255929139022055,oriC
Escherichia coli,K-12 MG1655,GCF_000005845.2,b0040,locus_tag,NC_000913.3,40417,41931,gene,caiT,0.32617848128209526,oriC
Escherichia coli,K-12 MG1655,GCF_000005845.2,b0041,locus_tag,NC_000913.3,42403,43173,gene,fixA,0.32687392333591575,oriC
Escherichia coli,K-12 MG1655,GCF_000005845.2,b0042,locus_tag,NC_000913.3,43188,44129,gene,fixB,0.3272490053110401,oriC
Escherichia coli,K-12 MG1655,GCF_000005845.2,b0043,locus_tag,NC_000913.3,44180,45466,gene,fixC,0.3277507663219905,oriC
Escherichia coli,K-12 MG1655,GCF_000005845.2,b0044,locus_tag,NC_000913.3,45463,45750,gene,fixX,0.3280883616436562,oriC
Escherichia coli,K-12 MG1655,GCF_000005845.2,b0045,locus_tag,NC_000913.3,45807,47138,gene,yaaU,0.32846150465394647,oriC
Escherichia coli,K-12 MG1655,GCF_000005845.2,b0046,locus_tag,NC_000913.3,47246,47776,gene,kefF,0.3289089746495429,oriC
Escherichia coli,K-12 MG1655,GCF_000005845.2,b0047,locus_tag,NC_000913.3,47769,49631,gene,kefC,0.3294212922468121,oriC
Escherichia coli,K-12 MG1655,GCF_000005845.2,b0048,locus_tag,NC_000913.3,49823,50302,gene,folA,0.3300083677104617,oriC
Escherichia coli,K-12 MG1655,GCF_000005845.2,b0049,locus_tag,NC_000913.3,50380,51222,gene,apaH,0.3303265733837866,oriC
Escherichia coli,K-12 MG1655,GCF_000005845.2,b0050,locus_tag,NC_000913.3,51229,51606,gene,apaG,0.3305922115660545,oriC
Escherichia coli,K-12 MG1655,GCF_000005845.2,b0051,locus_tag,NC_000913.3,51609,52430,gene,rsmA,0.33085160197274593,oriC
Escherichia coli,K-12 MG1655,GCF_000005845.2,b0052,locus_tag,NC_000913.3,52427,53416,gene,pdxA,0.3312402567017088,oriC
Escherichia coli,K-12 MG1655,GCF_000005845.2,b0053,locus_tag,NC_000913.3,53416,54702,gene,surA,0.3317303839236548,oriC
Escherichia coli,K-12 MG1655,GCF_000005845.2,b0054,locus_tag,NC_000913.3,54755,57109,gene,lptD,0.332537424175703,oriC
Escherichia coli,K-12 MG1655,GCF_000005845.2,b0055,locus_tag,NC_000913.3,57364,58179,gene,djlA,0.3333300299117642,oriC
Escherichia coli,K-12 MG1655,GCF_000005845.2,b0056,locus_tag,NC_000913.3,58474,59124,gene,yabP,0.333772760215544,mid
Escherichia coli,K-12 MG1655,GCF_000005845.2,b0057,locus_tag,NC_000913.3,59121,59279,gene,yabQ,0.33394554352631345,mid
Escherichia coli,K-12 MG1655,GCF_000005845.2,b0058,locus_tag,NC_000913.3,59687,60346,gene,rluA,0.33429735792342896,mid
Escherichia coli,K-12 MG1655,GCF_000005845.2,b0059,locus_tag,NC_000913.3,60358,63264,gene,rapA,0.3350705740111495,mid
Escherichia coli,K-12 MG1655,GCF_000005845.2,b0060,locus_tag,NC_000913.3,63429,65780,gene,polB,0.33627424029203395,mid
Escherichia coli,K-12 MG1655,GCF_000005845.2,b0061,locus_tag,NC_000913.3,65855,66550,gene,araD,0.33696278824866666,mid
