dataset,normalized_row_number,gene,uniprot_accession,reference_identifier,mapping_status,reference_identifier_duplicated,reference_position_status,analysis_eligibility_status,locus_tag,source_protein_id
schmidt_2016,465,gatC,P69831,,unmatched,FALSE,missing_reference_position,unmatched,,
schmidt_2016,922,clpB,P63284,b2592,mapped_one_to_one,TRUE,mapped_reference_position,duplicated_reference_identifier,,
schmidt_2016,969,obgE,P42641,b3183,mapped_one_to_one,TRUE,mapped_reference_position,duplicated_reference_identifier,,
schmidt_2016,983,crl,P24251,,unmatched,FALSE,missing_reference_position,unmatched,,
schmidt_2016,1037,JW58,P0CE60,,unmatched,FALSE,missing_reference_position,unmatched,,
schmidt_2016,1573,addB,P23477,,unmatched,FALSE,missing_reference_position,unmatched,,
schmidt_2016,1595,glpR,P0ACL0,,unmatched,FALSE,missing_reference_position,unmatched,,
schmidt_2016,1696,,B8LFD5,,unmatched,FALSE,missing_reference_position,unmatched,,
schmidt_2016,1743,ilvG,P00892,,unmatched,FALSE,missing_reference_position,unmatched,,
schmidt_2016,1782,cgtA,Q6E0U3,b3183,mapped_one_to_one,TRUE,mapped_reference_position,duplicated_reference_identifier,,
schmidt_2016,1827,cas1,D8FH86,b2755,mapped_one_to_one,TRUE,mapped_reference_position,duplicated_reference_identifier,,
schmidt_2016,1842,,E1MTY0,,unmatched,FALSE,missing_reference_position,unmatched,,
schmidt_2016,1929,ygbT,D4HZR9,b2755,mapped_one_to_one,TRUE,mapped_reference_position,duplicated_reference_identifier,,
schmidt_2016,2030,gatR,P36930,,unmatched,FALSE,missing_reference_position,unmatched,,
schmidt_2016,2048,clpB,P63284,b2592,mapped_one_to_one,TRUE,mapped_reference_position,duplicated_reference_identifier,,
li_2014_all,38,ade,,,ambiguous_one_to_many,FALSE,missing_reference_position,ambiguous_one_to_many,,
li_2014_all,46,adrB,,,unmatched,FALSE,missing_reference_position,unmatched,,
li_2014_all,155,arrD,,,unmatched,FALSE,missing_reference_position,unmatched,,
li_2014_all,156,arrQ,,,unmatched,FALSE,missing_reference_position,unmatched,,
li_2014_all,356,crl,,,unmatched,FALSE,missing_reference_position,unmatched,,
li_2014_all,525,dnaXgamma,,,unmatched,FALSE,missing_reference_position,unmatched,,
li_2014_all,526,dnaXtau,,,unmatched,FALSE,missing_reference_position,unmatched,,
